University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,QS_Normalized_Rank,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,THE_Year,THE_Normalized_Rank,THE_Female_Percentage,THE_Male_Percentage
Aalborg University,Denmark,306.0,35.7,19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3,75.6,48.739495798319325,254.0,55.601,31.7,44.7,80.9,87.6,73.5,16871.0,14.4,13.0,,2025,87.90052606408418,,
Aalto University,Finland,113.0,57.9,45.7,40.6,33.2,73.6,95.2,40.1,78.2,95.1,94.7,81.17647058823529,196.0,58.921,41.7,43.1,81.3,88.2,82.7,14298.0,20.3,25.0,39 : 61,2025,90.67431850789096,39,61
Aarhus University,Denmark,144.0,53.3,54.7,27.6,30.8,63.8,89.8,11.9,96.1,69.5,76.4,75.96638655462185,111.0,65.498,44.2,59.4,84.3,99.7,79.4,25966.0,12.8,15.0,56 : 44,2025,94.73935915829746,56,44
Abu Dhabi University,United Arab Emirates,501.0,24.1,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,15.966386554621847,191.0,59.251,45.1,39.2,87.4,25.4,97.9,2344.0,10.7,60.0,50 : 50,2025,90.91343854615018,50,50
Ain Shams University,Egypt,592.0,21.0,24.0,32.2,11.3,1.9,23.1,7.5,74.2,56.3,9.8,0.6722689075630253,1122.0,32.088,26.8,16.4,46.2,39.4,53.2,169073.0,14.6,7.0,50 : 50,2025,46.38928742228599,50,50
Aix Marseille University,France,481.0,25.0,36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2,25.5,19.327731092436977,408.0,49.11449999999999,43.5,27.5,66.7,63.8,76.6,72381.0,15.5,15.0,60 : 40,2025,80.53562888570062,60,40
Ajman University,United Arab Emirates,477.0,25.1,17.3,42.2,9.6,3.2,100.0,100.0,48.4,9.8,1.4,20.0,473.0,46.78999999999999,25.9,25.2,78.9,18.1,99.3,4535.0,13.7,81.0,57 : 43,2025,77.42706838833094,57,43
Al Ain University,United Arab Emirates,552.0,22.5,22.6,15.7,13.4,5.9,100.0,100.0,27.5,5.9,5.2,7.394957983193278,460.0,47.32,34.9,38.0,59.7,17.3,98.7,2546.0,12.1,61.0,52 : 48,2025,78.04878048780488,52,48
Al Farabi Kazakh National University,Kazakhstan,163.0,51.0,54.2,79.6,99.3,1.4,49.0,54.2,64.7,59.6,29.8,72.77310924369748,1428.0,26.5885,29.4,11.9,24.2,18.3,86.3,19546.0,4.8,28.0,53 : 47,2025,31.755141080822575,53,47
American University of Beirut,Lebanon,250.0,40.6,28.6,29.5,48.5,28.9,63.2,37.0,73.1,97.0,80.5,58.15126050420169,521.0,45.1835,33.2,23.1,66.6,85.2,70.7,8100.0,8.5,19.0,49 : 51,2025,75.13151602104257,49,51
American University of Sharjah,United Arab Emirates,332.0,33.6,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,44.36974789915966,626.0,42.4445,23.9,24.0,65.5,54.6,88.0,5024.0,12.8,74.0,54 : 46,2025,70.10999521759923,54,46
Amirkabir University of Technology,Iran,403.0,29.5,5.2,20.5,4.6,100.0,24.6,2.8,70.2,5.8,1.6,32.436974789915965,383.0,49.91,35.3,33.0,76.3,90.6,45.5,9638.0,20.8,3.0,34 : 66,2025,81.73122907699664,34,66
Anna University,India,383.0,30.6,10.0,12.0,5.5,100.0,,1.3,89.2,5.9,24.7,35.79831932773109,488.0,46.3655,36.9,28.7,76.7,65.8,20.2,11855.0,12.8,1.0,42 : 58,2025,76.70970827355332,42,58
Aristotle University of Thessaloniki,Greece,508.0,23.9,28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3,44.3,14.789915966386555,892.0,36.4445,21.3,19.3,64.6,60.6,36.8,48660.0,17.6,5.0,58 : 42,2025,57.388809182209464,58,42
Arizona State University,United States,200.0,46.2,48.6,44.1,7.4,47.1,52.1,37.2,95.7,23.6,96.3,66.55462184873949,212.0,57.984,38.5,45.2,84.4,70.9,71.5,50855.0,19.8,15.0,46 : 54,2025,89.9091343854615,46,54
Aston University,United Kingdom,423.0,28.1,12.5,18.5,9.0,34.4,94.2,53.8,79.2,19.6,46.9,29.075630252100844,396.0,49.496,20.4,26.5,86.7,64.2,96.2,13850.0,19.5,30.0,48 : 52,2025,81.10951697752272,48,52
Ateneo de Manila University,Philippines,516.0,23.6,21.4,64.5,24.4,1.8,2.9,2.5,23.0,70.6,15.6,13.445378151260504,1094.0,32.5925,30.1,10.8,57.0,24.4,33.4,14282.0,10.2,1.0,55 : 45,2025,47.72835963653754,55,45
Auckland University of Technology,New Zealand,412.0,28.9,19.3,11.2,10.6,21.7,100.0,99.8,52.6,12.4,72.6,30.92436974789916,501.0,45.9545,22.5,21.4,81.5,44.4,91.8,17888.0,16.4,45.0,61 : 39,2025,76.0879961740794,61,39
Bandung Institute of Technology,Indonesia,256.0,39.9,43.2,72.7,55.8,2.6,94.4,3.8,26.3,49.2,37.6,57.14285714285714,1490.0,25.3705,22.6,17.5,30.3,39.4,39.5,28650.0,16.3,4.0,44 : 56,2025,28.790052606408416,44,56
