Country Name,Country Code,Indicator Code,year,value,country_clean,indicator_name
Grenada,GRD,SE.ADT.LITR.ZS,1970,97.7944717407227,grenada,adult_literacy_rate_pct
St. Vincent and the Grenadines,VCT,SE.ADT.LITR.ZS,1970,95.6321563720703,st. vincent and the grenadines,adult_literacy_rate_pct
Singapore,SGP,SE.TER.ENRR,1970,6.47805976867676,singapore,tertiary_enrollment_ratio_pct
Barbados,BRB,SE.ADT.LITR.ZS,1970,99.2680816650391,barbados,adult_literacy_rate_pct
Somalia,SOM,SE.XPD.TOTL.GD.ZS,1973,1.27727997303009,somalia,govt_expenditure_pct_gdp
Nigeria,NGA,SE.XPD.TOTL.GD.ZS,1975,3.0636899471283,nigeria,govt_expenditure_pct_gdp
Papua New Guinea,PNG,SE.XPD.TOTL.GD.ZS,1977,7.38970994949341,papua new guinea,govt_expenditure_pct_gdp
American Samoa,ASM,SE.ADT.LITR.ZS,1980,97.3441619873047,american samoa,adult_literacy_rate_pct
Israel,ISR,SE.ADT.LITR.ZS,1983,91.7514114379883,israel,adult_literacy_rate_pct
Andorra,AND,SE.PRM.ENRR,1983,114.375617980957,andorra,primary_enrollment_ratio_pct
Haiti,HTI,SE.TER.ENRR,1986,1.02658998966217,haiti,tertiary_enrollment_ratio_pct
Somalia,SOM,SE.TER.ENRR,1987,2.78397011756897,somalia,tertiary_enrollment_ratio_pct
Iraq,IRQ,SE.XPD.TOTL.GD.ZS,1989,3.55150008201599,iraq,govt_expenditure_pct_gdp
Trinidad and Tobago,TTO,SE.ADT.LITR.ZS,1990,96.9385528564453,trinidad and tobago,adult_literacy_rate_pct
St. Vincent and the Grenadines,VCT,SE.TER.ENRR,1990,6.17193984985352,st. vincent and the grenadines,tertiary_enrollment_ratio_pct
Guam,GUM,SE.ADT.LITR.ZS,1990,99.3691482543945,guam,adult_literacy_rate_pct
Slovenia,SVN,SE.ADT.LITR.ZS,1991,99.5245208740234,slovenia,adult_literacy_rate_pct
Belize,BLZ,SE.ADT.LITR.ZS,1991,70.2984237670898,belize,adult_literacy_rate_pct
Haiti,HTI,SE.XPD.TOTL.GD.ZS,1991,1.07398998737335,haiti,govt_expenditure_pct_gdp
United Arab Emirates,ARE,SE.TER.ENRR,1993,6.11316013336182,united arab emirates,tertiary_enrollment_ratio_pct
Dominica,DMA,SE.TER.ENRR,1993,7.22495985031128,dominica,tertiary_enrollment_ratio_pct
Libya,LBY,SE.ADT.LITR.ZS,1994,76.5052032470703,libya,adult_literacy_rate_pct
"Yemen, Rep.",YEM,SE.ADT.LITR.ZS,1994,37.0900001525879,"yemen, rep.",adult_literacy_rate_pct
Poland,POL,SE.ADT.LITR.ZS,1994,99.4023666381835,poland,adult_literacy_rate_pct
Hungary,HUN,SE.ADT.LITR.ZS,1994,98.9820709228516,hungary,adult_literacy_rate_pct
Myanmar,MMR,SE.XPD.TOTL.GD.ZS,1995,1.20190000534058,myanmar,govt_expenditure_pct_gdp
Turkmenistan,TKM,SE.ADT.LITR.ZS,1995,98.7783203125,turkmenistan,adult_literacy_rate_pct
"Bahamas, The",BHS,SE.TER.ENRR,1995,15.0530300140381,"bahamas, the",tertiary_enrollment_ratio_pct
