university_rank,name_of_university,location,no_of_student,no_of_student_per_staff,international_student,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,university_name_clean,country_clean,rank_numeric,rank_is_banded
1,University of Oxford,United Kingdom,20965.0,10.6,42.0,48 : 52,96.4,92.3,99.7,99.0,74.9,96.2,university of oxford,united kingdom,1.0,False
2,Harvard University,United States,21887.0,9.6,25.0,50 : 50,95.2,94.8,99.0,99.3,49.5,80.5,harvard university,united states,2.0,False
3,University of Cambridge,United Kingdom,20185.0,11.3,39.0,47 : 53,94.8,90.9,99.5,97.0,54.2,95.8,university of cambridge,united kingdom,3.0,False
3,Stanford University,United States,16164.0,7.1,24.0,46 : 54,94.8,94.2,96.7,99.8,65.0,79.8,stanford university,united states,3.0,False
5,Massachusetts Institute of Technology,United States,11415.0,8.2,33.0,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,massachusetts institute of technology,united states,5.0,False
6,California Institute of Technology,United States,2237.0,6.2,34.0,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,california institute of technology,united states,6.0,False
7,Princeton University,United States,8279.0,8.0,23.0,46 : 54,92.4,87.6,95.9,99.1,66.0,80.3,princeton university,united states,7.0,False
8,"University of California, Berkeley",United States,40921.0,18.4,24.0,52 : 48,92.1,86.4,95.8,99.0,76.8,78.4,university of california berkeley,united states,8.0,False
9,Yale University,United States,13482.0,5.9,21.0,52 : 48,91.4,92.6,92.7,97.0,55.0,70.9,yale university,united states,9.0,False
10,Imperial College London,United Kingdom,18545.0,11.2,61.0,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,imperial college london,united kingdom,10.0,False
11,Columbia University,United States,21781.0,4.5,38.0,,89.4,89.4,87.7,97.1,44.8,79.9,columbia university,united states,11.0,False
11,ETH Zurich,Switzerland,21665.0,14.8,41.0,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,eth zurich,switzerland,11.0,False
13,The University of Chicago,United States,15366.0,6.0,36.0,47 : 53,88.9,86.5,88.8,97.7,56.2,74.2,the university of chicago,united states,13.0,False
14,University of Pennsylvania,United States,21453.0,6.3,23.0,53 : 47,88.8,86.0,88.8,97.0,75.8,71.5,university of pennsylvania,united states,14.0,False
15,Johns Hopkins University,United States,17584.0,4.7,29.0,53 : 47,88.3,79.4,91.5,97.0,89.5,75.3,johns hopkins university,united states,15.0,False
16,Tsinghua University,,38324.0,11.6,10.0,,88.2,90.1,97.4,88.0,100.0,40.3,tsinghua university,,16.0,False
17,Peking University,,31994.0,10.3,19.0,,88.1,92.5,96.7,80.4,91.8,65.0,peking university,,17.0,False
18,University of Toronto,Canada,77468.0,25.8,26.0,56 : 44,87.4,77.3,93.3,92.8,65.5,89.7,university of toronto,canada,18.0,False
19,National University of Singapore,,32337.0,19.8,25.0,51 : 49,87.1,76.4,93.0,90.2,87.0,94.0,national university of singapore,,19.0,False
20,Cornell University,United States,24027.0,10.3,26.0,51 : 49,85.9,80.2,86.1,97.3,40.4,76.9,cornell university,united states,20.0,False
21,"University of California, Los Angeles",United States,42434.0,9.7,16.0,56 : 44,85.8,80.4,88.9,95.4,58.8,65.0,university of california los angeles,united states,21.0,False
22,UCL,United Kingdom,36790.0,10.3,60.0,59 : 41,85.7,74.5,85.4,97.9,44.5,96.7,ucl,united kingdom,22.0,False
23,University of Michigan-Ann Arbor,United States,45912.0,8.2,17.0,50 : 50,82.9,79.3,84.6,93.6,48.7,59.2,university of michiganann arbor,united states,23.0,False
24,New York University,United States,36337.0,9.8,42.0,57 : 43,82.7,74.2,84.0,95.0,44.6,74.7,new york university,united states,24.0,False
25,Duke University,United States,16091.0,4.2,24.0,52 : 48,82.6,78.1,76.2,95.7,99.6,68.0,duke university,united states,25.0,False
26,Northwestern University,United States,19175.0,13.2,20.0,51 : 49,82.1,71.7,80.7,97.5,85.0,67.0,northwestern university,united states,26.0,False
26,University of Washington,United States,47727.0,10.8,18.0,55 : 45,82.1,71.6,82.8,98.9,53.9,63.0,university of washington,united states,26.0,False
28,Carnegie Mellon University,United States,14305.0,12.9,47.0,44 : 56,81.1,65.4,81.8,98.7,55.2,80.1,carnegie mellon university,united states,28.0,False
29,University of Edinburgh,United Kingdom,32845.0,11.8,47.0,62 : 38,79.8,66.9,74.5,97.1,40.9,95.6,university of edinburgh,united kingdom,29.0,False
30,Technical University of Munich,,33960.0,40.6,36.0,37 : 63,79.3,69.8,82.2,84.5,100.0,77.7,technical university of munich,,30.0,False
31,University of Hong Kong,,18087.0,18.2,43.0,54 : 46,78.5,65.6,74.1,92.4,60.6,98.7,university of hong kong,,31.0,False
32,"University of California, San Diego",United States,37030.0,11.3,28.0,48 : 52,78.1,60.2,77.2,98.2,93.0,67.8,university of california san diego,united states,32.0,False
33,LMU Munich,,35003.0,34.2,19.0,61 : 39,77.7,67.3,78.3,87.4,100.0,70.5,lmu munich,,33.0,False
34,University of Melbourne,Australia,49588.0,23.8,47.0,58 : 42,77.6,67.1,75.9,85.8,78.1,93.6,university of melbourne,australia,34.0,False
35,King’s College London,United Kingdom,28965.0,11.8,52.0,63 : 37,77.1,58.0,72.9,98.2,45.6,96.1,kings college london,united kingdom,35.0,False
36,"Nanyang Technological University, Singapore",Singapore,24651.0,15.1,25.0,48 : 52,77.0,60.9,77.9,87.2,84.5,94.5,nanyang technological university singapore,singapore,36.0,False
37,London School of Economics and Political Science,United Kingdom,11120.0,11.9,73.0,55 : 45,76.5,59.2,74.3,95.1,37.8,92.8,london school of economics and political science,united kingdom,37.0,False
38,Georgia Institute of Technology,United States,28826.0,24.7,40.0,33 : 67,76.0,60.2,75.9,91.4,64.9,81.2,georgia institute of technology,united states,38.0,False
39,The University of Tokyo,Japan,26112.0,10.5,15.0,,75.9,88.1,91.4,55.5,86.7,43.3,the university of tokyo,japan,39.0,False
40,University of British Columbia,Canada,56452.0,18.9,34.0,55 : 45,75.7,62.9,73.1,88.8,47.9,94.8,university of british columbia,canada,40.0,False
41,École Polytechnique Fédérale de Lausanne,Switzerland,11641.0,12.3,62.0,30 : 70,75.4,65.6,70.7,84.5,71.7,98.0,école polytechnique fédérale de lausanne,switzerland,41.0,False
42,KU Leuven,,47663.0,36.5,18.0,51 : 49,74.6,59.7,74.9,86.7,99.2,76.8,ku leuven,,42.0,False
43,Universität Heidelberg,,19347.0,13.5,21.0,55 : 45,74.1,67.2,61.5,96.0,55.7,71.2,universität heidelberg,,43.0,False
44,Monash University,Australia,58725.0,42.5,41.0,57 : 43,73.6,56.9,68.7,90.4,78.4,91.0,monash university,australia,44.0,False
45,Chinese University of Hong Kong,,18468.0,19.0,21.0,,73.2,59.1,61.1,95.7,60.9,92.5,chinese university of hong kong,,45.0,False
46,McGill University,,32309.0,12.5,30.0,60 : 40,73.0,62.0,72.4,82.5,43.5,91.0,mcgill university,,46.0,False
47,Paris Sciences et Lettres – PSL Research University Paris,France,16218.0,15.0,22.0,51 : 49,72.9,68.2,73.5,75.5,78.8,76.3,paris sciences et lettres psl research university paris,france,47.0,False
48,University of Illinois at Urbana-Champaign,United States,48674.0,17.4,22.0,48 : 52,72.7,67.1,78.9,78.1,50.1,56.2,university of illinois at urbanachampaign,united states,48.0,False
49,Karolinska Institute,Sweden,8021.0,9.9,27.0,70 : 30,72.4,51.1,68.8,94.0,66.4,87.3,karolinska institute,sweden,49.0,False
50,University of Texas at Austin,United States,49171.0,17.4,10.0,53 : 47,72.3,66.2,73.1,87.5,51.3,40.1,university of texas at austin,united states,50.0,False
51,Fudan University,China,36318.0,11.9,9.0,52 : 48,72.0,71.8,75.8,74.5,77.3,45.2,fudan university,china,51.0,False
52,Shanghai Jiao Tong University,China,37478.0,11.5,8.0,42 : 58,71.2,75.3,82.9,59.9,100.0,43.7,shanghai jiao tong university,china,52.0,False
53,The University of Queensland,,41372.0,34.2,41.0,55 : 45,71.1,55.9,66.5,84.3,82.0,93.2,the university of queensland,,53.0,False
54,University of Manchester,,37035.0,14.2,44.0,55 : 45,70.9,54.5,63.7,91.3,45.3,92.7,university of manchester,,54.0,False
54,The University of Sydney,Australia,45853.0,19.0,45.0,58 : 42,70.9,53.1,65.8,88.5,73.2,90.6,the university of sydney,australia,54.0,False
56,Seoul National University,South Korea,26209.0,15.1,10.0,,70.8,75.2,76.2,67.6,96.6,35.9,seoul national university,south korea,56.0,False
57,Washington University in St Louis,United States,14420.0,7.8,24.0,53 : 47,70.6,60.3,56.8,98.2,47.5,64.0,washington university in st louis,united states,57.0,False
58,The Hong Kong University of Science and Technology,,9864.0,21.0,32.0,,70.5,51.4,63.4,87.7,95.0,97.7,the hong kong university of science and technology,,58.0,False
59,Wageningen University & Research,Netherlands,15404.0,18.6,27.0,55 : 45,70.3,50.4,60.2,93.2,100.0,88.8,wageningen university research,netherlands,59.0,False
60,University of Amsterdam,Netherlands,29157.0,14.5,32.0,59 : 41,69.6,48.0,64.1,93.3,44.4,91.9,university of amsterdam,netherlands,60.0,False
61,Brown University,United States,10037.0,10.1,21.0,,69.3,64.5,58.0,89.5,39.0,63.3,brown university,united states,61.0,False
62,Australian National University,Australia,16758.0,14.6,51.0,52 : 48,69.0,51.3,69.2,81.8,45.6,96.0,australian national university,australia,62.0,False
63,"University of California, Davis",United States,37639.0,13.1,18.0,60 : 40,68.5,59.7,66.3,80.9,52.4,68.7,university of california davis,united states,63.0,False
64,"University of California, Santa Barbara",United States,25860.0,28.5,20.0,54 : 46,68.4,44.6,61.5,96.2,80.1,76.0,university of california santa barbara,united states,64.0,False
65,University of Southern California,United States,40549.0,12.6,22.0,49 : 51,68.3,58.9,58.6,90.4,43.8,63.7,university of southern california,united states,65.0,False
66,Utrecht University,Netherlands,32532.0,17.1,13.0,62 : 38,68.2,44.3,66.0,91.2,72.7,78.8,utrecht university,netherlands,66.0,False
67,Zhejiang University,,46124.0,12.0,16.0,,68.1,67.3,74.8,62.8,100.0,55.1,zhejiang university,,67.0,False
68,Kyoto University,Japan,22269.0,9.2,12.0,25 : 75,68.0,77.5,79.1,52.3,88.6,40.5,kyoto university,japan,68.0,False
69,University of North Carolina at Chapel Hill,United States,31080.0,7.9,8.0,59 : 41,67.8,58.9,59.7,93.3,46.0,41.7,university of north carolina at chapel hill,united states,69.0,False
70,Delft University of Technology,Netherlands,20299.0,16.1,31.0,31 : 69,67.7,58.8,76.4,59.1,93.4,94.2,delft university of technology,netherlands,70.0,False
71,Boston University,United States,27243.0,10.8,31.0,59 : 41,67.5,55.9,56.1,92.9,41.1,65.9,boston university,united states,71.0,False
71,UNSW Sydney,,45133.0,36.3,40.0,47 : 53,67.5,51.1,59.0,85.9,63.5,95.1,unsw sydney,,71.0,False
73,Charité - Universitätsmedizin Berlin,Germany,8429.0,18.0,21.0,64 : 36,67.2,48.5,52.2,98.8,87.1,69.3,charité universitätsmedizin berlin,germany,73.0,False
74,University of Science and Technology of China,,18573.0,8.1,6.0,,67.1,65.0,64.9,78.8,69.4,36.9,university of science and technology of china,,74.0,False
75,University of Groningen,,30009.0,24.4,28.0,52 : 48,66.6,45.4,57.6,90.4,75.8,89.8,university of groningen,,75.0,False
76,University of Bristol,,25680.0,14.6,31.0,56 : 44,66.5,43.8,53.4,98.6,43.5,89.4,university of bristol,,76.0,False
77,Leiden University,,33648.0,19.3,20.0,60 : 40,66.4,43.2,64.4,86.6,68.4,85.4,leiden university,,77.0,False
78,Yonsei University (Seoul campus),,19481.0,14.7,17.0,50 : 50,66.3,67.0,68.9,63.9,94.8,52.8,yonsei university,,78.0,False
79,Hong Kong Polytechnic University,,19046.0,28.9,30.0,51 : 49,65.8,46.6,57.0,86.7,56.0,97.6,hong kong polytechnic university,,79.0,False
80,Erasmus University Rotterdam,,31668.0,33.9,22.0,53 : 47,65.7,38.6,57.1,95.6,64.4,89.7,erasmus university rotterdam,,80.0,False
81,University of Wisconsin-Madison,United States,40701.0,10.0,14.0,,65.5,59.7,62.9,78.7,48.4,51.8,university of wisconsinmadison,united states,81.0,False
