master_university_id,source_a,source_a_row,source_b,source_b_row,match_method,match_score
UNI00006,QS,2,THE,4,exact,exact
UNI00002,QS,3,THE,0,exact,exact
UNI00004,QS,4,THE,3,exact,exact
UNI00005,QS,5,THE,1,exact,exact
UNI00008,QS,6,THE,7,exact,exact
UNI00013,QS,9,THE,21,exact,exact
UNI00016,QS,12,THE,15,exact,exact
UNI00017,QS,13,THE,19,exact,exact
UNI00012,QS,16,THE,9,exact,exact
UNI00007,QS,18,THE,5,exact,exact
UNI00024,QS,20,THE,59,exact,exact
UNI00022,QS,21,THE,20,exact,exact
UNI00014,QS,23,THE,16,exact,exact
UNI00019,QS,28,THE,14,exact,exact
UNI00035,QS,29,THE,28,exact,exact
UNI00038,QS,31,THE,48,exact,exact
UNI00026,QS,33,THE,22,exact,exact
UNI00042,QS,35,THE,40,exact,exact
UNI00037,QS,37,THE,30,exact,exact
UNI00045,QS,38,THE,70,exact,exact
UNI00041,QS,40,THE,37,exact,exact
UNI00047,QS,41,THE,61,exact,exact
UNI00049,QS,42,THE,53,exact,exact
UNI00050,QS,43,THE,69,exact,exact
UNI00054,QS,46,THE,54,exact,exact
UNI00055,QS,47,THE,47,exact,exact
UNI00032,QS,48,THE,27,exact,exact
UNI00027,QS,52,THE,23,exact,exact
UNI00060,QS,53,THE,60,exact,exact
UNI00062,QS,55,THE,80,exact,exact
UNI00029,QS,57,THE,25,exact,exact
UNI00057,QS,58,THE,51,exact,exact
UNI00068,QS,59,THE,74,exact,exact
UNI00052,QS,61,THE,44,exact,exact
UNI00030,QS,63,THE,24,exact,exact
UNI00048,QS,64,THE,41,exact,exact
UNI00080,QS,69,THE,152,exact,exact
UNI00083,QS,72,THE,143,exact,exact
UNI00070,QS,73,THE,63,exact,exact
UNI00084,QS,74,THE,96,exact,exact
UNI00085,QS,75,THE,128,exact,exact
UNI00086,QS,76,THE,86,exact,exact
UNI00089,QS,78,THE,173,exact,exact
UNI00091,QS,79,THE,218,exact,exact
UNI00093,QS,80,THE,174,exact,exact
UNI00096,QS,82,THE,97,exact,exact
UNI00098,QS,84,THE,100,exact,exact
UNI00099,QS,85,THE,106,exact,exact
UNI00105,QS,90,THE,147,exact,exact
UNI00092,QS,92,THE,79,exact,exact
UNI00082,QS,93,THE,77,exact,exact
UNI00112,QS,96,THE,195,exact,exact
UNI00043,QS,97,THE,35,exact,exact
UNI00116,QS,100,THE,148,exact,exact
UNI00118,QS,101,THE,129,exact,exact
UNI00072,QS,102,THE,62,exact,exact
UNI00124,QS,105,THE,141,exact,exact
UNI00104,QS,106,THE,89,exact,exact
UNI00119,QS,107,THE,102,exact,exact
UNI00128,QS,109,THE,202,exact,exact
UNI00131,QS,110,THE,171,exact,exact
UNI00129,QS,111,THE,109,exact,exact
UNI00133,QS,112,THE,158,exact,exact
UNI00134,QS,113,THE,130,exact,exact
UNI00135,QS,114,THE,248,exact,exact
UNI00130,QS,115,THE,120,exact,exact
UNI00073,QS,116,THE,73,exact,exact
UNI00136,QS,117,THE,126,exact,exact
UNI00138,QS,118,THE,184,exact,exact
UNI00144,QS,121,THE,125,exact,exact
UNI00145,QS,122,THE,156,exact,exact
UNI00147,QS,123,THE,230,exact,exact
UNI00149,QS,124,THE,168,exact,exact
UNI00117,QS,125,THE,122,exact,exact
UNI00087,QS,126,THE,76,exact,exact
UNI00109,QS,127,THE,115,exact,exact
UNI00150,QS,128,THE,182,exact,exact
UNI00151,QS,129,THE,188,exact,exact
UNI00152,QS,130,THE,179,exact,exact
UNI00141,QS,131,THE,119,exact,exact
UNI00066,QS,132,THE,58,exact,exact
UNI00157,QS,134,THE,180,exact,exact
UNI00137,QS,135,THE,117,exact,exact
UNI00125,QS,136,THE,116,exact,exact
UNI00090,QS,139,THE,78,exact,exact
UNI00164,QS,140,THE,283,exact,exact
UNI00127,QS,143,THE,108,exact,exact
UNI00148,QS,145,THE,134,exact,exact
UNI00139,QS,146,THE,118,exact,exact
UNI00169,QS,147,THE,145,exact,exact
UNI00171,QS,148,THE,250,exact,exact
UNI00067,QS,152,THE,65,exact,exact
UNI00178,QS,155,THE,189,exact,exact
UNI00064,QS,157,THE,67,exact,exact
UNI00126,QS,159,THE,114,exact,exact
UNI00183,QS,162,THE,249,exact,exact
UNI00186,QS,164,THE,316,exact,exact
UNI00187,QS,165,THE,321,exact,exact
UNI00167,QS,167,THE,146,exact,exact
UNI00154,QS,168,THE,131,exact,exact
UNI00121,QS,169,THE,113,exact,exact
UNI00191,QS,170,THE,234,exact,exact
UNI00193,QS,171,THE,524,exact,exact
UNI00194,QS,172,THE,245,exact,exact
UNI00195,QS,173,THE,280,exact,exact
UNI00189,QS,175,THE,166,exact,exact
UNI00114,QS,176,THE,98,exact,exact
UNI00197,QS,177,THE,226,exact,exact
UNI00192,QS,178,THE,170,exact,exact
UNI00202,QS,182,THE,206,exact,exact
UNI00203,QS,183,THE,208,exact,exact
UNI00208,QS,187,THE,212,exact,exact
UNI00209,QS,188,THE,487,exact,exact
UNI00122,QS,189,THE,103,exact,exact
UNI00212,QS,191,THE,220,exact,exact
UNI00215,QS,193,THE,425,exact,exact
UNI00219,QS,196,THE,370,exact,exact
UNI00095,QS,199,THE,105,exact,exact
UNI00226,QS,201,THE,991,exact,exact
UNI00229,QS,202,THE,233,exact,exact
UNI00230,QS,203,THE,448,exact,exact
UNI00198,QS,204,THE,178,exact,exact
UNI00234,QS,206,THE,328,exact,exact
UNI00143,QS,207,THE,124,exact,exact
UNI00211,QS,208,THE,203,exact,exact
UNI00204,QS,210,THE,183,exact,exact
UNI00238,QS,211,THE,633,exact,exact
UNI00239,QS,212,THE,273,exact,exact
UNI00242,QS,214,THE,689,exact,exact
UNI00243,QS,215,THE,242,exact,exact
UNI00248,QS,217,THE,460,exact,exact
UNI00249,QS,218,THE,240,exact,exact
UNI00158,QS,221,THE,142,exact,exact
UNI00155,QS,224,THE,132,exact,exact
UNI00244,QS,225,THE,215,exact,exact
