master_university_id,year,source,research_score,research_impact_score,research_network_score,industry_income_score
UNI00001,2024,QS,,,,
UNI00003,2024,QS,,100.0,94.3,
UNI00006,2024,QS,,92.3,99.9,
UNI00002,2024,QS,,90.6,100.0,
UNI00004,2024,QS,,100.0,100.0,
UNI00005,2024,QS,,99.9,95.8,
UNI00008,2024,QS,,94.0,96.7,
UNI00009,2024,QS,,98.9,96.0,
UNI00011,2024,QS,,93.2,76.3,
UNI00013,2024,QS,,74.3,100.0,
UNI00010,2024,QS,,99.9,92.4,
UNI00015,2024,QS,,78.5,61.4,
UNI00016,2024,QS,,68.4,83.3,
UNI00017,2024,QS,,99.1,79.9,
UNI00018,2024,QS,,92.1,97.2,
UNI00020,2024,QS,,100.0,22.8,
UNI00012,2024,QS,,45.8,85.8,
UNI00021,2024,QS,,97.5,43.2,
UNI00007,2024,QS,,100.0,52.5,
UNI00023,2024,QS,,95.9,99.0,
UNI00024,2024,QS,,93.5,91.9,
UNI00022,2024,QS,,57.2,95.5,
UNI00025,2024,QS,,58.7,99.6,
UNI00014,2024,QS,,40.7,97.6,
UNI00028,2024,QS,,95.7,100.0,
UNI00031,2024,QS,,98.9,47.8,
UNI00033,2024,QS,,94.4,66.1,
UNI00034,2024,QS,,82.3,42.7,
UNI00019,2024,QS,,89.4,98.1,
UNI00035,2024,QS,,70.0,70.0,
UNI00036,2024,QS,,84.8,89.8,
UNI00038,2024,QS,,62.1,86.2,
UNI00039,2024,QS,,49.1,99.7,
UNI00026,2024,QS,,56.2,95.4,
UNI00040,2024,QS,,92.8,78.5,
UNI00042,2024,QS,,57.0,96.3,
UNI00044,2024,QS,,98.0,65.6,
UNI00037,2024,QS,,59.6,86.7,
UNI00045,2024,QS,,93.8,76.9,
UNI00046,2024,QS,,26.7,85.4,
UNI00041,2024,QS,,61.1,99.2,
UNI00047,2024,QS,,64.9,36.9,
UNI00049,2024,QS,,88.4,86.8,
UNI00050,2024,QS,,87.0,95.0,
UNI00051,2024,QS,,97.6,74.7,
UNI00053,2024,QS,,80.2,32.4,
UNI00054,2024,QS,,49.3,57.3,
UNI00055,2024,QS,,84.9,91.4,
UNI00032,2024,QS,,70.3,79.2,
UNI00056,2024,QS,,92.3,32.7,
UNI00058,2024,QS,,72.4,22.7,
UNI00059,2024,QS,,99.4,38.3,
UNI00027,2024,QS,,99.9,57.4,
UNI00060,2024,QS,,98.1,97.4,
UNI00061,2024,QS,,51.4,94.4,
UNI00062,2024,QS,,64.7,84.4,
UNI00063,2024,QS,,97.7,10.6,
UNI00029,2024,QS,,40.2,90.0,
UNI00057,2024,QS,,86.7,79.4,
UNI00068,2024,QS,,85.4,100.0,
UNI00069,2024,QS,,99.1,5.3,
UNI00052,2024,QS,,92.7,99.9,
UNI00071,2024,QS,,74.3,94.9,
UNI00030,2024,QS,,93.5,94.0,
UNI00048,2024,QS,,86.5,76.4,
UNI00074,2024,QS,,88.8,42.0,
UNI00076,2024,QS,,32.7,79.3,
UNI00077,2024,QS,,49.0,89.7,
UNI00078,2024,QS,,61.7,64.4,
UNI00080,2024,QS,,47.0,33.2,
UNI00081,2024,QS,,99.9,17.4,
UNI00065,2024,QS,,45.8,98.7,
UNI00083,2024,QS,,98.9,90.0,
UNI00070,2024,QS,,85.9,58.3,
UNI00084,2024,QS,,90.2,80.7,
UNI00085,2024,QS,,42.3,98.7,
UNI00086,2024,QS,,31.8,90.0,
UNI00088,2024,QS,,36.2,25.0,
UNI00089,2024,QS,,53.3,86.2,
UNI00091,2024,QS,,36.6,19.6,
UNI00093,2024,QS,,62.7,26.7,
UNI00094,2024,QS,,64.1,82.2,
UNI00096,2024,QS,,71.4,97.0,
UNI00097,2024,QS,,62.9,96.6,
UNI00098,2024,QS,,38.2,96.0,
UNI00099,2024,QS,,37.7,95.2,
UNI00100,2024,QS,,29.9,90.9,
UNI00101,2024,QS,,4.6,85.2,
UNI00102,2024,QS,,38.2,89.7,
UNI00103,2024,QS,,87.1,78.8,
UNI00105,2024,QS,,95.3,79.7,
UNI00106,2024,QS,,53.0,8.9,
UNI00092,2024,QS,,52.0,87.2,
UNI00082,2024,QS,,60.1,72.6,
UNI00110,2024,QS,,2.7,84.5,
UNI00111,2024,QS,,1.7,28.1,
UNI00112,2024,QS,,57.7,51.1,
UNI00043,2024,QS,,67.1,33.2,
UNI00113,2024,QS,,71.4,84.9,
UNI00115,2024,QS,,68.4,75.4,
UNI00116,2024,QS,,98.3,1.3,
UNI00118,2024,QS,,46.5,98.4,
UNI00072,2024,QS,,37.4,83.6,
UNI00120,2024,QS,,11.6,56.8,
UNI00123,2024,QS,,46.9,96.1,
UNI00124,2024,QS,,45.6,95.5,
UNI00104,2024,QS,,78.7,63.5,
UNI00119,2024,QS,,21.2,98.2,
UNI00075,2024,QS,,80.8,95.0,
UNI00128,2024,QS,,79.4,56.2,
UNI00131,2024,QS,,50.2,96.1,
UNI00129,2024,QS,,59.1,92.1,
UNI00133,2024,QS,,82.9,55.4,
UNI00134,2024,QS,,29.6,27.6,
UNI00135,2024,QS,,98.3,56.4,
UNI00130,2024,QS,,49.8,96.0,
UNI00073,2024,QS,,68.0,62.8,
UNI00136,2024,QS,,64.2,95.9,
UNI00138,2024,QS,,71.9,95.3,
UNI00140,2024,QS,,71.9,76.0,
UNI00142,2024,QS,,31.3,86.0,
UNI00144,2024,QS,,83.4,71.6,
UNI00145,2024,QS,,79.3,75.3,
UNI00147,2024,QS,,48.3,75.1,
