master_university_id,year,source,faculty_student_score,international_students_score,faculty_to_student_ratio,international_student_pct
UNI00001,2024,QS,,,,
UNI00003,2024,QS,100.0,88.2,,
UNI00006,2024,QS,100.0,95.8,,
UNI00002,2024,QS,100.0,98.2,,
UNI00004,2024,QS,98.3,66.8,,
UNI00005,2024,QS,100.0,51.2,,
UNI00008,2024,QS,98.5,100.0,,
UNI00009,2024,QS,72.1,98.5,,
UNI00011,2024,QS,76.5,81.9,,
UNI00013,2024,QS,98.4,100.0,,
UNI00010,2024,QS,20.5,63.9,,
UNI00015,2024,QS,92.5,84.4,,
UNI00016,2024,QS,99.9,70.3,,
UNI00017,2024,QS,52.9,64.0,,
UNI00018,2024,QS,15.4,99.7,,
UNI00020,2024,QS,100.0,81.0,,
UNI00012,2024,QS,100.0,78.8,,
UNI00021,2024,QS,90.4,23.5,,
UNI00007,2024,QS,64.5,57.5,,
UNI00023,2024,QS,18.2,99.1,,
UNI00024,2024,QS,11.8,100.0,,
UNI00022,2024,QS,54.2,96.4,,
UNI00025,2024,QS,72.4,99.9,,
UNI00014,2024,QS,100.0,96.8,,
UNI00028,2024,QS,99.3,72.7,,
UNI00031,2024,QS,93.9,15.7,,
UNI00033,2024,QS,77.6,80.2,,
UNI00034,2024,QS,82.9,99.0,,
UNI00019,2024,QS,100.0,91.4,,
UNI00035,2024,QS,90.4,29.2,,
UNI00036,2024,QS,36.6,24.8,,
UNI00038,2024,QS,64.0,93.3,,
UNI00039,2024,QS,53.8,99.4,,
UNI00026,2024,QS,82.2,27.6,,
UNI00040,2024,QS,34.9,93.3,,
UNI00042,2024,QS,44.4,74.1,,
UNI00044,2024,QS,92.4,100.0,,
UNI00037,2024,QS,88.8,97.3,,
UNI00045,2024,QS,97.3,98.3,,
UNI00046,2024,QS,95.5,95.0,,
UNI00041,2024,QS,64.6,100.0,,
UNI00047,2024,QS,85.1,14.5,,
UNI00049,2024,QS,9.6,100.0,,
UNI00050,2024,QS,21.6,100.0,,
UNI00051,2024,QS,66.5,26.5,,
UNI00053,2024,QS,39.6,100.0,,
UNI00054,2024,QS,94.7,20.8,,
UNI00055,2024,QS,36.9,89.3,,
UNI00032,2024,QS,98.9,44.2,,
UNI00056,2024,QS,60.0,77.1,,
UNI00058,2024,QS,84.5,33.0,,
UNI00059,2024,QS,54.7,35.5,,
UNI00027,2024,QS,49.1,98.2,,
UNI00060,2024,QS,21.2,79.9,,
UNI00061,2024,QS,46.7,37.7,,
UNI00062,2024,QS,47.3,86.8,,
UNI00063,2024,QS,66.2,11.6,,
UNI00029,2024,QS,100.0,52.2,,
UNI00057,2024,QS,8.9,11.0,,
UNI00068,2024,QS,43.3,49.8,,
UNI00069,2024,QS,53.6,91.4,,
UNI00052,2024,QS,7.0,45.7,,
UNI00071,2024,QS,49.6,51.3,,
UNI00030,2024,QS,19.1,33.2,,
UNI00048,2024,QS,7.5,49.2,,
UNI00074,2024,QS,68.0,87.4,,
UNI00076,2024,QS,71.6,58.9,,
UNI00077,2024,QS,37.3,99.3,,
UNI00078,2024,QS,19.3,91.6,,
UNI00080,2024,QS,30.9,20.0,,
UNI00081,2024,QS,86.6,100.0,,
UNI00065,2024,QS,99.8,60.8,,
UNI00083,2024,QS,16.5,99.8,,
UNI00070,2024,QS,77.8,52.0,,
UNI00084,2024,QS,66.2,68.1,,
UNI00085,2024,QS,37.3,90.0,,
UNI00086,2024,QS,41.7,99.5,,
UNI00088,2024,QS,87.4,49.7,,
UNI00089,2024,QS,27.8,86.9,,
UNI00091,2024,QS,81.0,36.3,,
UNI00093,2024,QS,55.3,13.2,,
UNI00094,2024,QS,23.7,92.5,,
UNI00096,2024,QS,52.8,97.4,,
UNI00097,2024,QS,28.4,26.8,,
UNI00098,2024,QS,41.3,83.9,,
UNI00099,2024,QS,50.2,77.4,,
UNI00100,2024,QS,19.2,2.3,,
UNI00101,2024,QS,99.8,92.3,,
UNI00102,2024,QS,99.7,50.4,,
UNI00103,2024,QS,16.2,99.6,,
UNI00105,2024,QS,9.0,93.6,,
UNI00106,2024,QS,84.4,31.7,,
UNI00092,2024,QS,89.9,53.0,,
UNI00082,2024,QS,32.7,87.5,,
UNI00110,2024,QS,39.8,2.5,,
UNI00111,2024,QS,73.5,66.7,,
UNI00112,2024,QS,64.9,100.0,,
UNI00043,2024,QS,15.3,65.4,,
UNI00113,2024,QS,4.4,43.6,,
UNI00115,2024,QS,10.3,45.8,,
UNI00116,2024,QS,99.9,2.6,,
UNI00118,2024,QS,32.2,75.2,,
UNI00072,2024,QS,61.3,22.8,,
UNI00120,2024,QS,20.6,3.5,,
UNI00123,2024,QS,54.7,97.5,,
UNI00124,2024,QS,47.7,82.4,,
UNI00104,2024,QS,5.5,83.0,,
UNI00119,2024,QS,100.0,22.5,,
UNI00075,2024,QS,32.6,21.2,,
UNI00128,2024,QS,40.2,37.7,,
UNI00131,2024,QS,35.6,70.9,,
UNI00129,2024,QS,42.8,73.2,,
UNI00133,2024,QS,6.8,77.9,,
UNI00134,2024,QS,98.5,13.8,,
UNI00135,2024,QS,3.7,54.6,,
UNI00130,2024,QS,63.4,5.4,,
UNI00073,2024,QS,21.7,73.5,,
UNI00136,2024,QS,81.7,25.4,,
UNI00138,2024,QS,28.2,84.1,,
UNI00140,2024,QS,36.0,46.7,,
UNI00142,2024,QS,7.6,31.5,,
UNI00144,2024,QS,99.8,82.0,,
UNI00145,2024,QS,25.2,90.6,,
UNI00147,2024,QS,5.2,56.6,,
UNI00149,2024,QS,40.4,70.8,,
UNI00117,2024,QS,57.4,85.0,,
UNI00087,2024,QS,20.2,50.2,,
UNI00109,2024,QS,54.6,36.9,,
UNI00150,2024,QS,42.0,96.3,,
UNI00151,2024,QS,51.1,67.4,,
UNI00152,2024,QS,10.3,93.6,,
UNI00141,2024,QS,22.0,88.1,,
UNI00066,2024,QS,30.4,49.3,,
UNI00079,2024,QS,72.9,10.1,,
UNI00157,2024,QS,4.6,10.8,,
UNI00137,2024,QS,4.5,13.3,,
UNI00125,2024,QS,11.3,12.8,,
UNI00160,2024,QS,55.2,88.9,,
UNI00162,2024,QS,91.2,5.2,,
UNI00090,2024,QS,51.4,85.6,,
UNI00164,2024,QS,5.4,92.8,,
UNI00165,2024,QS,31.3,7.3,,
UNI00166,2024,QS,77.0,52.2,,
UNI00127,2024,QS,32.5,13.1,,
UNI00168,2024,QS,52.5,23.1,,
UNI00148,2024,QS,38.7,99.4,,
UNI00139,2024,QS,65.9,94.8,,
UNI00169,2024,QS,81.8,34.0,,
UNI00171,2024,QS,16.1,81.6,,
UNI00172,2024,QS,18.9,1.4,,
UNI00173,2024,QS,10.6,17.4,,
UNI00174,2024,QS,53.8,16.5,,
UNI00067,2024,QS,97.9,78.5,,
UNI00176,2024,QS,27.4,76.2,,
UNI00177,2024,QS,3.4,10.9,,
UNI00178,2024,QS,33.7,70.6,,
UNI00179,2024,QS,53.0,68.8,,
UNI00064,2024,QS,99.8,68.0,,
UNI00180,2024,QS,67.6,97.3,,
UNI00126,2024,QS,78.9,21.2,,
UNI00181,2024,QS,9.7,5.0,,
UNI00182,2024,QS,87.5,61.1,,
UNI00183,2024,QS,16.3,56.0,,
UNI00185,2024,QS,9.5,21.6,,
UNI00186,2024,QS,83.5,54.3,,
UNI00187,2024,QS,85.7,25.6,,
UNI00188,2024,QS,13.1,28.5,,
UNI00167,2024,QS,45.0,78.2,,
UNI00154,2024,QS,71.3,10.8,,
UNI00121,2024,QS,35.1,14.0,,
UNI00191,2024,QS,16.1,81.0,,
UNI00193,2024,QS,25.8,25.6,,
UNI00194,2024,QS,20.7,60.8,,
UNI00195,2024,QS,64.8,96.8,,
UNI00196,2024,QS,36.5,17.3,,
UNI00189,2024,QS,12.6,21.2,,
UNI00114,2024,QS,22.5,60.1,,
UNI00197,2024,QS,87.5,19.1,,
UNI00192,2024,QS,39.7,79.0,,
UNI00199,2024,QS,6.8,30.1,,
UNI00200,2024,QS,82.8,31.8,,
UNI00201,2024,QS,4.4,39.3,,
UNI00202,2024,QS,19.9,62.0,,
UNI00203,2024,QS,14.3,26.4,,
UNI00205,2024,QS,95.7,14.6,,
UNI00206,2024,QS,13.1,89.0,,
UNI00207,2024,QS,63.5,11.7,,
UNI00208,2024,QS,56.3,80.8,,
UNI00209,2024,QS,42.5,85.2,,
UNI00122,2024,QS,75.1,59.5,,
UNI00210,2024,QS,7.4,26.4,,
UNI00212,2024,QS,3.3,85.0,,
UNI00214,2024,QS,29.1,36.3,,
UNI00215,2024,QS,98.2,96.8,,
UNI00217,2024,QS,12.8,5.0,,
UNI00218,2024,QS,30.6,9.1,,
UNI00219,2024,QS,75.8,14.4,,
UNI00220,2024,QS,22.0,1.4,,
UNI00221,2024,QS,17.6,2.0,,
UNI00095,2024,QS,97.7,31.1,,
UNI00223,2024,QS,34.5,12.0,,
UNI00226,2024,QS,23.7,28.6,,
UNI00229,2024,QS,27.5,98.9,,
UNI00230,2024,QS,64.2,21.3,,
UNI00198,2024,QS,3.8,75.9,,
