master_university_id,university_name,country,year,source,rank_start,overall_score,academic_reputation_score
UNI00001,institution,location,2024,QS,,,
UNI00003,Massachusetts Institute of Technology (MIT),United States,2024,QS,1.0,100.0,100.0
UNI00006,University of Cambridge,United Kingdom,2024,QS,2.0,99.2,100.0
UNI00002,University of Oxford,United Kingdom,2024,QS,3.0,98.9,100.0
UNI00004,Harvard University,United States,2024,QS,4.0,98.3,100.0
UNI00005,Stanford University,United States,2024,QS,5.0,98.1,100.0
UNI00008,Imperial College London,United Kingdom,2024,QS,6.0,97.8,98.3
UNI00009,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,2024,QS,7.0,93.3,98.8
UNI00011,National University of Singapore (NUS),Singapore,2024,QS,8.0,92.7,99.4
UNI00013,UCL,United Kingdom,2024,QS,9.0,92.4,99.5
UNI00010,"University of California, Berkeley (UCB)",United States,2024,QS,10.0,90.4,100.0
UNI00015,University of Chicago,United States,2024,QS,11.0,90.3,99.1
UNI00016,University of Pennsylvania,United States,2024,QS,12.0,89.4,96.4
UNI00017,Cornell University,United States,2024,QS,13.0,89.3,98.1
UNI00018,The University of Melbourne,Australia,2024,QS,14.0,87.9,98.4
UNI00020,California Institute of Technology (Caltech),United States,2024,QS,15.0,87.8,96.1
UNI00012,Yale University,United States,2024,QS,16.0,87.7,99.9
UNI00021,Peking University,China (Mainland),2024,QS,,87.0,99.4
UNI00007,Princeton University,United States,2024,QS,,87.0,99.8
UNI00023,The University of New South Wales (UNSW Sydney),Australia,2024,QS,,86.7,89.7
UNI00024,The University of Sydney,Australia,2024,QS,,86.7,96.0
UNI00022,University of Toronto,Canada,2024,QS,21.0,86.3,99.7
UNI00025,The University of Edinburgh,United Kingdom,2024,QS,22.0,86.1,98.1
UNI00014,Columbia University,United States,2024,QS,23.0,85.9,99.6
UNI00028,UniversitÃ© PSL,France,2024,QS,24.0,85.8,73.7
UNI00031,Tsinghua University,China (Mainland),2024,QS,25.0,84.9,99.1
UNI00033,"Nanyang Technological University, Singapore (NTU)",Singapore,2024,QS,,84.5,91.0
UNI00034,The University of Hong Kong,Hong Kong SAR,2024,QS,,84.5,97.6
UNI00019,Johns Hopkins University,United States,2024,QS,28.0,84.5,87.3
UNI00035,The University of Tokyo,Japan,2024,QS,28.0,84.3,100.0
UNI00036,"University of California, Los Angeles (UCLA)",United States,2024,QS,29.0,83.8,100.0
UNI00038,McGill University,Canada,2024,QS,30.0,83.7,93.7
UNI00039,The University of Manchester,United Kingdom,2024,QS,32.0,82.2,95.4
UNI00026,University of Michigan-Ann Arbor,United States,2024,QS,33.0,81.7,98.3
UNI00040,The Australian National University,Australia,2024,QS,,81.5,93.2
UNI00042,University of British Columbia,Canada,2024,QS,,81.5,98.2
UNI00044,EPFL,Switzerland,2024,QS,36.0,80.4,84.6
UNI00037,Technical University of Munich,Germany,2024,QS,37.0,80.0,83.9
UNI00045,Institut Polytechnique de Paris,France,2024,QS,,79.5,44.8
UNI00046,New York University (NYU),United States,2024,QS,,79.5,95.9
UNI00041,King's College London,United Kingdom,2024,QS,40.0,79.3,89.5
UNI00047,Seoul National University,South Korea,2024,QS,41.0,78.5,99.0
UNI00049,Monash University,Australia,2024,QS,42.0,78.2,88.4
UNI00050,The University of Queensland,Australia,2024,QS,43.0,78.1,87.1
UNI00051,Zhejiang University,China (Mainland),2024,QS,,77.8,73.8
UNI00053,The London School of Economics and Political Science (LSE),United Kingdom,2024,QS,45.0,76.9,67.7
UNI00054,Kyoto University,Japan,2024,QS,46.0,76.3,98.7
UNI00055,Delft University of Technology,Netherlands,2024,QS,,76.2,73.0
UNI00032,Northwestern University,United States,2024,QS,,76.2,83.8
UNI00056,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,2024,QS,,76.2,88.4
UNI00058,Fudan University,China (Mainland),2024,QS,50.0,74.4,84.7
UNI00059,Shanghai Jiao Tong University,China (Mainland),2024,QS,51.0,74.3,83.7
UNI00027,Carnegie Mellon University,United States,2024,QS,52.0,73.7,71.2
UNI00060,University of Amsterdam,Netherlands,2024,QS,53.0,73.4,83.6
UNI00061,Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,Germany,2024,QS,54.0,72.5,92.7
UNI00062,University of Bristol,United Kingdom,2024,QS,55.0,72.4,74.9
UNI00063,KAIST - Korea Advanced Institute of Science & Technology,South Korea,2024,QS,56.0,72.2,89.9
UNI00029,Duke University,United States,2024,QS,57.0,72.0,85.7
UNI00057,University of Texas at Austin,United States,2024,QS,58.0,71.8,93.5
UNI00068,Sorbonne University,France,2024,QS,59.0,71.7,88.6
UNI00069,The Hong Kong University of Science and Technology,Hong Kong SAR,2024,QS,60.0,71.1,83.3
UNI00052,KU Leuven,Belgium,2024,QS,61.0,70.1,84.6
UNI00071,"University of California, San Diego (UCSD)",United States,2024,QS,62.0,70.0,89.1
UNI00030,University of Washington,United States,2024,QS,63.0,69.2,84.0
UNI00048,University of Illinois at Urbana-Champaign,United States,2024,QS,64.0,69.1,85.0
UNI00074,The Hong Kong Polytechnic University,Hong Kong SAR,2024,QS,,68.7,68.1
UNI00076,Universiti Malaya (UM),Malaysia,2024,QS,,68.7,81.2
UNI00077,The University of Warwick,United Kingdom,2024,QS,67.0,68.6,71.3
UNI00078,The University of Auckland,New Zealand,2024,QS,68.0,68.0,81.6
UNI00080,National Taiwan University (NTU),Taiwan,2024,QS,69.0,67.9,92.8
UNI00081,City University of Hong Kong,Hong Kong SAR,2024,QS,70.0,67.7,59.6
UNI00065,UniversitÃ© Paris-Saclay,France,2024,QS,71.0,67.6,58.9
UNI00083,The University of Western Australia,Australia,2024,QS,72.0,66.9,56.2
UNI00070,Brown University,United States,2024,QS,,66.4,58.3
UNI00084,KTH Royal Institute of Technology,Sweden,2024,QS,,66.4,45.7
UNI00085,University of Leeds,United Kingdom,2024,QS,75.0,65.5,70.3
UNI00086,University of Glasgow,United Kingdom,2024,QS,,65.2,76.3
UNI00088,Yonsei University,South Korea,2024,QS,,65.2,80.0
UNI00089,Durham University,United Kingdom,2024,QS,78.0,65.1,59.5
UNI00091,Korea University,South Korea,2024,QS,79.0,64.7,82.2
UNI00093,Osaka University,Japan,2024,QS,80.0,63.9,81.3
UNI00094,"Trinity College Dublin, The University of Dublin",Ireland,2024,QS,,63.5,69.3
UNI00096,University of Southampton,United Kingdom,2024,QS,,63.5,51.5
UNI00097,Pennsylvania State University,United States,2024,QS,83.0,63.1,77.5
UNI00098,University of Birmingham,United Kingdom,2024,QS,84.0,63.0,67.5
UNI00099,Lund University,Sweden,2024,QS,,62.8,69.3
UNI00100,Universidade de SÃ£o Paulo,Brazil,2024,QS,,62.8,92.4
UNI00101,Lomonosov Moscow State University,Russia,2024,QS,,62.2,81.2
UNI00102,Ruprecht-Karls-UniversitÃ¤t Heidelberg,Germany,2024,QS,,62.2,78.3
UNI00103,The University of Adelaide,Australia,2024,QS,89.0,62.0,54.2
UNI00105,University of Technology Sydney,Australia,2024,QS,90.0,61.8,43.4
UNI00106,Tokyo Institute of Technology (Tokyo Tech),Japan,2024,QS,,61.6,74.4
UNI00092,University of Zurich,Switzerland,2024,QS,,61.6,59.1
UNI00082,Boston University,United States,2024,QS,,61.4,61.7
UNI00110,Universidad Nacional AutÃ³noma de MÃ©xico (UNAM),Mexico,2024,QS,,61.4,96.6
UNI00111,Universidad de Buenos Aires (UBA),Argentina,2024,QS,,61.0,93.3
UNI00112,University of St Andrews,United Kingdom,2024,QS,,61.0,47.3
UNI00043,Georgia Institute of Technology,United States,2024,QS,97.0,60.9,67.4
UNI00113,Freie Universitaet Berlin,Germany,2024,QS,98.0,60.8,80.8
UNI00115,Purdue University,United States,2024,QS,99.0,60.7,63.9
UNI00116,Pohang University of Science And Technology (POSTECH),South Korea,2024,QS,,60.4,51.6
