university_id,display_name,region,qs_name,the_name,wur_name,in_qs,in_the,in_wur,country_id,country_name
U00001,Massachusetts Institute of Technology (MIT),Americas,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,Massachusetts Institute of Technology,True,True,True,C129,united states
U00002,Imperial College London,Europe,Imperial College London,Imperial College London,Imperial College London,True,True,True,C128,united kingdom
U00003,University of Oxford,Europe,University of Oxford,University of Oxford,University of Oxford,True,True,True,C128,united kingdom
U00004,Harvard University,Americas,Harvard University,Harvard University,Harvard University,True,True,True,C129,united states
U00005,University of Cambridge,Europe,University of Cambridge,University of Cambridge,University of Cambridge,True,True,True,C128,united kingdom
U00006,Stanford University,Americas,Stanford University,Stanford University,Stanford University,True,True,True,C129,united states
U00007,ETH Zurich - Swiss Federal Institute of Technology,Europe,ETH Zurich - Swiss Federal Institute of Technology,,,True,False,False,C116,switzerland
U00008,National University of Singapore (NUS),Asia,National University of Singapore (NUS),National University of Singapore,,True,True,False,C106,singapore
U00009,UCL,Europe,UCL,UCL,UCL,True,True,True,C128,united kingdom
U00010,California Institute of Technology (Caltech),Americas,California Institute of Technology (Caltech),California Institute of Technology,California Institute of Technology,True,True,True,C129,united states
U00011,University of Pennsylvania,Americas,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,True,True,True,C129,united states
U00012,"University of California, Berkeley (UCB)",Americas,"University of California, Berkeley (UCB)","University of California, Berkeley","University of California, Berkeley",True,True,True,C129,united states
U00013,The University of Melbourne,Oceania,The University of Melbourne,,,True,False,False,C006,australia
U00014,Peking University,Asia,Peking University,Peking University,,True,True,False,C023,china
U00015,"Nanyang Technological University, Singapore (NTU)",Asia,"Nanyang Technological University, Singapore (NTU)","Nanyang Technological University, Singapore","Nanyang Technological University, Singapore",True,True,True,C106,singapore
U00016,Cornell University,Americas,Cornell University,Cornell University,Cornell University,True,True,True,C129,united states
U00017,The University of Hong Kong,Asia,The University of Hong Kong,,,True,False,False,C045,hong kong
U00018,The University of Sydney,Oceania,The University of Sydney,The University of Sydney,The University of Sydney,True,True,True,C006,australia
U00019,The University of New South Wales (UNSW Sydney),Oceania,The University of New South Wales (UNSW Sydney),,,True,False,False,C006,australia
U00020,Tsinghua University,Asia,Tsinghua University,Tsinghua University,,True,True,False,C023,china
U00021,University of Chicago,Americas,University of Chicago,,,True,False,False,C129,united states
U00022,Princeton University,Americas,Princeton University,Princeton University,Princeton University,True,True,True,C129,united states
U00023,Yale University,Americas,Yale University,Yale University,Yale University,True,True,True,C129,united states
U00024,Université PSL,Europe,Université PSL,,,True,False,False,C038,france
U00025,University of Toronto,Americas,University of Toronto,University of Toronto,University of Toronto,True,True,True,C021,canada
U00026,EPFL,Europe,EPFL,,,True,False,False,C116,switzerland
U00027,The University of Edinburgh,Europe,The University of Edinburgh,,,True,False,False,C128,united kingdom
U00028,Technical University of Munich,Europe,Technical University of Munich,Technical University of Munich,,True,True,False,C040,germany
U00029,McGill University,Americas,McGill University,McGill University,,True,True,False,C021,canada
U00030,The Australian National University,Oceania,The Australian National University,,,True,False,False,C006,australia
U00031,Seoul National University,Asia,Seoul National University,Seoul National University,Seoul National University,True,True,True,C111,south korea
U00032,Johns Hopkins University,Americas,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,True,True,True,C129,united states
U00033,The University of Tokyo,Asia,The University of Tokyo,The University of Tokyo,The University of Tokyo,True,True,True,C056,japan
U00034,Columbia University,Americas,Columbia University,Columbia University,Columbia University,True,True,True,C129,united states
U00035,The University of Manchester,Europe,The University of Manchester,,,True,False,False,C128,united kingdom
U00036,The Chinese University of Hong Kong (CUHK),Asia,The Chinese University of Hong Kong (CUHK),,,True,False,False,C045,hong kong
U00037,Monash University,Oceania,Monash University,Monash University,Monash University,True,True,True,C006,australia
U00038,University of British Columbia,Americas,University of British Columbia,University of British Columbia,University of British Columbia,True,True,True,C021,canada
U00039,Fudan University,Asia,Fudan University,Fudan University,Fudan University,True,True,True,C023,china
U00040,King's College London,Europe,King's College London,King’s College London,King’s College London,True,True,True,C128,united kingdom
U00041,The University of Queensland,Oceania,The University of Queensland,The University of Queensland,,True,True,False,C006,australia
U00042,"University of California, Los Angeles (UCLA)",Americas,"University of California, Los Angeles (UCLA)","University of California, Los Angeles","University of California, Los Angeles",True,True,True,C129,united states
U00043,New York University (NYU),Americas,New York University (NYU),New York University,New York University,True,True,True,C129,united states
U00044,University of Michigan-Ann Arbor,Americas,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,True,True,True,C129,united states
U00045,Shanghai Jiao Tong University,Asia,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,True,True,True,C023,china
U00046,Institut Polytechnique de Paris,Europe,Institut Polytechnique de Paris,Institut Polytechnique de Paris,Institut Polytechnique de Paris,True,True,True,C038,france
U00047,The Hong Kong University of Science and Technology,Asia,The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,,True,True,False,C045,hong kong
U00048,Zhejiang University,Asia,Zhejiang University,Zhejiang University,,True,True,False,C023,china
U00049,Delft University of Technology,Europe,Delft University of Technology,Delft University of Technology,Delft University of Technology,True,True,True,C082,netherlands
U00050,Kyoto University,Asia,Kyoto University,Kyoto University,Kyoto University,True,True,True,C056,japan
U00051,Northwestern University,Americas,Northwestern University,Northwestern University,Northwestern University,True,True,True,C129,united states
U00052,The London School of Economics and Political Science (LSE),Europe,The London School of Economics and Political Science (LSE),London School of Economics and Political Science,London School of Economics and Political Science,True,True,True,C128,united kingdom
U00053,KAIST - Korea Advanced Institute of Science & Technology,Asia,KAIST - Korea Advanced Institute of Science & Technology,,,True,False,False,C111,south korea
U00054,University of Bristol,Europe,University of Bristol,University of Bristol,,True,True,False,C128,united kingdom
U00055,University of Amsterdam,Europe,University of Amsterdam,University of Amsterdam,University of Amsterdam,True,True,True,C082,netherlands
U00056,Yonsei University,Asia,Yonsei University,Yonsei University (Seoul campus),,True,True,False,C111,south korea
U00057,The Hong Kong Polytechnic University,Asia,The Hong Kong Polytechnic University,,,True,False,False,C045,hong kong
U00058,Carnegie Mellon University,Americas,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,True,True,True,C129,united states
