university_id,year,source,research_score,citation_score,research_impact
U00001,2025,QS_2025,,100.0,
U00001,2024,THE_2024,96.2,99.7,97.95
U00001,2023,WUR_2023,93.6,99.8,96.69999999999999
U00002,2025,QS_2025,,93.9,
U00002,2024,THE_2024,95.5,98.6,97.05
U00002,2023,WUR_2023,90.8,98.3,94.55
U00003,2025,QS_2025,,84.8,
U00003,2024,THE_2024,100.0,99.0,99.5
U00003,2023,WUR_2023,99.7,99.0,99.35
U00004,2025,QS_2025,,100.0,
U00004,2024,THE_2024,99.9,99.4,99.65
U00004,2023,WUR_2023,99.0,99.3,99.15
U00005,2025,QS_2025,,84.6,
U00005,2024,THE_2024,100.0,98.0,99.0
U00005,2023,WUR_2023,99.5,97.0,98.25
U00006,2025,QS_2025,,99.0,
U00006,2024,THE_2024,97.8,99.6,98.69999999999999
U00006,2023,WUR_2023,96.7,99.8,98.25
U00007,2025,QS_2025,,97.9,
U00008,2025,QS_2025,,93.1,
U00008,2024,THE_2024,94.0,95.4,94.7
U00009,2025,QS_2025,,72.2,
U00009,2024,THE_2024,86.4,98.6,92.5
U00009,2023,WUR_2023,85.4,97.9,91.65
U00010,2025,QS_2025,,100.0,
U00010,2024,THE_2024,98.0,95.9,96.95
U00010,2023,WUR_2023,97.0,97.3,97.15
U00011,2025,QS_2025,,74.0,
U00011,2024,THE_2024,89.7,97.6,93.65
U00011,2023,WUR_2023,88.8,97.0,92.9
U00012,2025,QS_2025,,98.2,
U00012,2024,THE_2024,98.8,99.0,98.9
U00012,2023,WUR_2023,95.8,99.0,97.4
U00013,2025,QS_2025,,93.0,
U00014,2025,QS_2025,,97.7,
U00014,2024,THE_2024,97.3,87.2,92.25
U00015,2025,QS_2025,,92.4,
U00015,2024,THE_2024,80.9,94.5,87.7
U00015,2023,WUR_2023,77.9,87.2,82.55000000000001
U00016,2025,QS_2025,,97.5,
U00016,2024,THE_2024,88.7,97.6,93.15
U00016,2023,WUR_2023,86.1,97.3,91.69999999999999
U00017,2025,QS_2025,,86.4,
U00018,2025,QS_2025,,93.7,
U00018,2024,THE_2024,68.9,92.0,80.45
U00018,2023,WUR_2023,65.8,88.5,77.15
U00019,2025,QS_2025,,94.9,
U00020,2025,QS_2025,,99.1,
U00020,2024,THE_2024,98.1,93.2,95.65
U00021,2025,QS_2025,,60.8,
U00022,2025,QS_2025,,100.0,
U00022,2024,THE_2024,97.9,98.8,98.35
U00022,2023,WUR_2023,95.9,99.1,97.5
U00023,2025,QS_2025,,38.6,
U00023,2024,THE_2024,94.9,97.7,96.30000000000001
U00023,2023,WUR_2023,92.7,97.0,94.85
U00024,2025,QS_2025,,87.6,
U00025,2025,QS_2025,,50.8,
U00025,2024,THE_2024,94.1,92.8,93.44999999999999
U00025,2023,WUR_2023,93.3,92.8,93.05
U00026,2025,QS_2025,,93.6,
U00027,2025,QS_2025,,47.7,
U00028,2025,QS_2025,,75.9,
U00028,2024,THE_2024,85.1,90.0,87.55
U00029,2025,QS_2025,,57.9,
U00029,2024,THE_2024,72.3,88.8,80.55
U00030,2025,QS_2025,,84.6,
U00031,2025,QS_2025,,71.7,
U00031,2024,THE_2024,75.3,74.6,74.94999999999999
U00031,2023,WUR_2023,76.2,67.6,71.9
U00032,2025,QS_2025,,84.2,
U00032,2024,THE_2024,92.3,97.2,94.75
U00032,2023,WUR_2023,91.5,97.0,94.25
U00033,2025,QS_2025,,57.3,
U00033,2024,THE_2024,94.2,67.8,81.0
U00033,2023,WUR_2023,91.4,55.5,73.45
U00034,2025,QS_2025,,31.7,
U00034,2024,THE_2024,89.7,97.4,93.55000000000001
U00034,2023,WUR_2023,87.7,97.1,92.4
U00035,2025,QS_2025,,45.1,
U00036,2025,QS_2025,,92.9,
U00037,2025,QS_2025,,87.6,
U00037,2024,THE_2024,67.8,94.7,81.25
U00037,2023,WUR_2023,68.7,90.4,79.55000000000001
U00038,2025,QS_2025,,57.7,
U00038,2024,THE_2024,76.6,90.5,83.55
U00038,2023,WUR_2023,73.1,88.8,80.94999999999999
U00039,2025,QS_2025,,80.7,
U00039,2024,THE_2024,75.3,83.5,79.4
U00039,2023,WUR_2023,75.8,74.5,75.15
U00040,2025,QS_2025,,53.6,
U00040,2024,THE_2024,75.1,97.7,86.4
U00040,2023,WUR_2023,72.9,98.2,85.55000000000001
U00041,2025,QS_2025,,90.2,
U00041,2024,THE_2024,64.3,89.1,76.69999999999999
U00042,2025,QS_2025,,74.0,
U00042,2024,THE_2024,91.9,96.4,94.15
U00042,2023,WUR_2023,88.9,95.4,92.15
U00043,2025,QS_2025,,28.6,
U00043,2024,THE_2024,84.0,94.9,89.45
U00043,2023,WUR_2023,84.0,95.0,89.5
U00044,2025,QS_2025,,47.6,
U00044,2024,THE_2024,87.4,95.5,91.45
U00044,2023,WUR_2023,84.6,93.6,89.1
U00045,2025,QS_2025,,99.6,
U00045,2024,THE_2024,82.5,75.4,78.95
U00045,2023,WUR_2023,82.9,59.9,71.4
U00046,2025,QS_2025,,86.1,
U00046,2024,THE_2024,61.6,70.8,66.2
U00046,2023,WUR_2023,58.8,64.8,61.8
U00047,2025,QS_2025,,99.7,
U00047,2024,THE_2024,62.1,92.9,77.5
U00048,2025,QS_2025,,99.5,
U00048,2024,THE_2024,75.3,78.7,77.0
U00049,2025,QS_2025,,79.7,
U00049,2024,THE_2024,78.2,76.5,77.35
U00049,2023,WUR_2023,76.4,59.1,67.75
U00050,2025,QS_2025,,39.3,
U00050,2024,THE_2024,84.3,60.0,72.15
U00050,2023,WUR_2023,79.1,52.3,65.69999999999999
U00051,2025,QS_2025,,67.7,
U00051,2024,THE_2024,78.8,97.8,88.3
U00051,2023,WUR_2023,80.7,97.5,89.1
U00052,2025,QS_2025,,69.4,
U00052,2024,THE_2024,73.5,95.4,84.45
U00052,2023,WUR_2023,74.3,95.1,84.69999999999999
U00053,2025,QS_2025,,96.2,
U00054,2025,QS_2025,,75.9,
U00054,2024,THE_2024,56.5,97.3,76.9
U00055,2025,QS_2025,,92.2,
U00055,2024,THE_2024,63.1,96.7,79.9
U00055,2023,WUR_2023,64.1,93.3,78.69999999999999
U00056,2025,QS_2025,,44.1,
U00056,2024,THE_2024,64.3,79.3,71.8
U00057,2025,QS_2025,,94.9,
U00058,2025,QS_2025,,98.9,
U00058,2024,THE_2024,84.6,98.9,91.75
