university_id,year,source,total_students,students_per_staff,international_student_percentage,international_student_is_true_percentage,international_student_score_qs,faculty_student_score_qs
U00001,2024,THE_2024,11085,8.0,33.0,True,,
U00001,2023,WUR_2023,11415.0,8.2,33.0,True,,
U00001,2025,QS_2025,,,,False,86.8,100.0
U00002,2024,THE_2024,20275,11.8,61.0,True,,
U00002,2023,WUR_2023,18545.0,11.2,61.0,True,,
U00002,2025,QS_2025,,,,False,99.6,98.2
U00003,2024,THE_2024,21750,10.9,42.0,True,,
U00003,2023,WUR_2023,20965.0,10.6,42.0,True,,
U00003,2025,QS_2025,,,,False,97.7,100.0
U00004,2024,THE_2024,20050,9.0,25.0,True,,
U00004,2023,WUR_2023,21887.0,9.6,25.0,True,,
U00004,2025,QS_2025,,,,False,69.0,96.3
U00005,2024,THE_2024,20565,11.5,38.0,True,,
U00005,2023,WUR_2023,20185.0,11.3,39.0,True,,
U00005,2025,QS_2025,,,,False,94.8,100.0
U00006,2024,THE_2024,14517,6.4,23.0,True,,
U00006,2023,WUR_2023,16164.0,7.1,24.0,True,,
U00006,2025,QS_2025,,,,False,60.8,100.0
U00007,2025,QS_2025,,,,False,98.6,65.9
U00008,2024,THE_2024,33334,20.0,24.0,True,,
U00008,2025,QS_2025,,,,False,88.9,68.8
U00009,2024,THE_2024,41110,11.3,61.0,True,,
U00009,2023,WUR_2023,36790.0,10.3,60.0,True,,
U00009,2025,QS_2025,,,,False,100.0,95.9
U00010,2024,THE_2024,2240,6.1,33.0,True,,
U00010,2023,WUR_2023,2237.0,6.2,34.0,True,,
U00010,2025,QS_2025,,,,False,79.8,100.0
U00011,2024,THE_2024,21312,6.2,22.0,True,,
U00011,2023,WUR_2023,21453.0,6.3,23.0,True,,
U00011,2025,QS_2025,,,,False,66.2,99.8
U00012,2024,THE_2024,39991,17.9,22.0,True,,
U00012,2023,WUR_2023,40921.0,18.4,24.0,True,,
U00012,2025,QS_2025,,,,False,61.0,23.5
U00013,2025,QS_2025,,,,False,99.8,15.4
U00014,2024,THE_2024,33064,10.9,14.0,True,,
U00014,2025,QS_2025,,,,False,23.6,92.6
U00015,2024,THE_2024,25895,16.7,27.0,True,,
U00015,2023,WUR_2023,24651.0,15.1,25.0,True,,
U00015,2025,QS_2025,,,,False,83.5,80.6
U00016,2024,THE_2024,23620,10.0,24.0,True,,
U00016,2023,WUR_2023,24027.0,10.3,26.0,True,,
U00016,2025,QS_2025,,,,False,63.4,52.7
U00017,2025,QS_2025,,,,False,99.3,81.2
U00018,2024,THE_2024,57414,23.1,51.0,True,,
U00018,2023,WUR_2023,45853.0,19.0,45.0,True,,
U00018,2025,QS_2025,,,,False,100.0,10.9
