university_id,year,source,global_rank,overall_score,academic_reputation,employer_reputation
U00001,2025,QS_2025,1.0,100.0,100.0,100.0
U00001,2024,THE_2024,3.0,97.9,,
U00001,2023,WUR_2023,5.0,94.2,,
U00002,2025,QS_2025,2.0,98.5,98.5,99.5
U00002,2024,THE_2024,8.0,95.1,,
U00002,2023,WUR_2023,10.0,90.4,,
U00003,2025,QS_2025,3.0,96.9,100.0,100.0
U00003,2024,THE_2024,1.0,98.5,,
U00003,2023,WUR_2023,1.0,96.4,,
U00004,2025,QS_2025,4.0,96.8,100.0,100.0
U00004,2024,THE_2024,4.0,97.8,,
U00004,2023,WUR_2023,2.0,95.2,,
U00005,2025,QS_2025,5.0,96.7,100.0,100.0
U00005,2024,THE_2024,5.0,97.5,,
U00005,2023,WUR_2023,3.0,94.8,,
U00006,2025,QS_2025,6.0,96.1,100.0,100.0
U00006,2024,THE_2024,2.0,98.0,,
U00006,2023,WUR_2023,3.0,94.8,,
U00007,2025,QS_2025,7.0,93.9,98.8,87.2
U00008,2025,QS_2025,8.0,93.7,99.5,91.1
U00008,2024,THE_2024,19.0,90.0,,
U00009,2025,QS_2025,9.0,91.6,99.5,98.3
U00009,2024,THE_2024,22.0,88.1,,
U00009,2023,WUR_2023,22.0,85.7,,
U00010,2025,QS_2025,10.0,90.9,96.5,95.3
U00010,2024,THE_2024,7.0,96.5,,
U00010,2023,WUR_2023,6.0,94.1,,
U00011,2025,QS_2025,11.0,90.3,96.3,91.9
U00011,2024,THE_2024,16.0,91.0,,
U00011,2023,WUR_2023,14.0,88.8,,
U00012,2025,QS_2025,12.0,90.1,100.0,100.0
U00012,2024,THE_2024,9.0,94.6,,
U00012,2023,WUR_2023,8.0,92.1,,
U00013,2025,QS_2025,13.0,88.9,98.5,93.9
U00014,2025,QS_2025,14.0,88.5,99.5,96.6
U00014,2024,THE_2024,14.0,91.8,,
U00015,2025,QS_2025,15.0,88.4,91.9,73.3
U00015,2024,THE_2024,32.0,82.3,,
U00015,2023,WUR_2023,36.0,77.0,,
U00016,2025,QS_2025,16.0,87.9,98.3,93.1
U00016,2024,THE_2024,20.0,89.5,,
U00016,2023,WUR_2023,20.0,85.9,,
U00017,2025,QS_2025,17.0,87.6,97.4,59.4
U00018,2025,QS_2025,18.0,87.3,96.4,90.0
U00018,2024,THE_2024,60.0,73.8,,
U00018,2023,WUR_2023,54.0,70.9,,
U00019,2025,QS_2025,19.0,87.1,90.5,90.4
U00020,2025,QS_2025,20.0,86.5,99.2,97.7
U00020,2024,THE_2024,12.0,92.4,,
U00021,2025,QS_2025,21.0,86.2,99.1,96.4
U00022,2025,QS_2025,22.0,85.5,99.8,98.3
U00022,2024,THE_2024,6.0,96.9,,
U00022,2023,WUR_2023,7.0,92.4,,
U00023,2025,QS_2025,23.0,85.2,99.9,99.9
U00023,2024,THE_2024,10.0,94.2,,
U00023,2023,WUR_2023,9.0,91.4,,
