qs_name,country,the_name,similarity,match_type,quality,pair,wur_name
The University of Melbourne,australia,University of Melbourne,92.0,Fuzzy,Review,QS<->THE,
The University of Hong Kong,hong kong,University of Hong Kong,92.0,Fuzzy,Review,QS<->THE,
University of Chicago,united states,The University of Chicago,91.30434782608697,Fuzzy,Review,QS<->THE,
The University of Edinburgh,united kingdom,University of Edinburgh,92.0,Fuzzy,Review,QS<->THE,
The Australian National University,australia,Australian National University,93.75,Fuzzy,Review,QS<->THE,
The University of Manchester,united kingdom,University of Manchester,92.3076923076923,Fuzzy,Review,QS<->THE,
The Chinese University of Hong Kong (CUHK),hong kong,Chinese University of Hong Kong,93.93939393939394,Fuzzy,Review,QS<->THE,
KAIST - Korea Advanced Institute of Science & Technology,south korea,Korea Advanced Institute of Science and Technology (KAIST),90.19607843137256,Fuzzy,Review,QS<->THE,
The Hong Kong Polytechnic University,hong kong,Hong Kong Polytechnic University,94.11764705882352,Fuzzy,Review,QS<->THE,
The University of Auckland,new zealand,University of Auckland,91.66666666666666,Fuzzy,Review,QS<->THE,
The University of Warwick,united kingdom,University of Warwick,91.30434782608697,Fuzzy,Review,QS<->THE,
The University of Adelaide,australia,University of Adelaide,91.66666666666666,Fuzzy,Review,QS<->THE,
"KIT, Karlsruhe Institute of Technology",germany,Karlsruhe Institute of Technology,94.28571428571428,Fuzzy,Review,QS<->THE,
The University of Sheffield,united kingdom,University of Sheffield,92.0,Fuzzy,Review,QS<->THE,
The University of Exeter,united kingdom,University of Exeter,90.9090909090909,Fuzzy,Review,QS<->THE,
The Ohio State University,united states,Ohio State University (Main campus),91.30434782608697,Fuzzy,Review,QS<->THE,
Indian Institute of Technology Madras (IITM),india,Indian Institute of Technology Mandi,93.15068493150685,Fuzzy,Review,QS<->THE,
Gadjah Mada University,indonesia,Universitas Gadjah Mada,93.33333333333333,Fuzzy,Review,QS<->THE,
Indian Institute of Technology Kanpur (IITK),india,Indian Institute of Technology Mandi,90.41095890410959,Fuzzy,Review,QS<->THE,
Universitat Pompeu Fabra (Barcelona),spain,Pompeu Fabra University,93.61702127659575,Fuzzy,Review,QS<->THE,
University of Witwatersrand,south africa,University of the Witwatersrand,93.10344827586206,Fuzzy,Review,QS<->THE,
The Hebrew University of Jerusalem,israel,Hebrew University of Jerusalem,93.75,Fuzzy,Review,QS<->THE,
The University of Arizona,united states,University of Arizona,91.30434782608697,Fuzzy,Review,QS<->THE,
Airlangga University,indonesia,Universitas Airlangga,92.6829268292683,Fuzzy,Review,QS<->THE,
Indian Institute of Technology Roorkee (IITR),india,Indian Institute of Technology Ropar,91.89189189189189,Fuzzy,Review,QS<->THE,
National University of Sciences And Technology (NUST) Islamabad,pakistan,National University of Sciences and Technology,90.19607843137256,Fuzzy,Review,QS<->THE,
University of Jordan,jordan,The University of Jordan,90.9090909090909,Fuzzy,Review,QS<->THE,
Ruhr-Universität Bochum,germany,Ruhr University Bochum,90.9090909090909,Fuzzy,Review,QS<->THE,
USI - Università della Svizzera italiana,switzerland,Università della Svizzera italiana,94.44444444444444,Fuzzy,Review,QS<->THE,
The American University in Cairo,egypt,American University in Cairo,93.33333333333333,Fuzzy,Review,QS<->THE,
Bogaziçi University,turkey,Boğaziçi University,94.73684210526316,Fuzzy,Review,QS<->THE,
Umea University,sweden,Umeå University,93.33333333333333,Fuzzy,Review,QS<->THE,
Johannes Gutenberg Universität Mainz,germany,Johannes Gutenberg University of Mainz,91.89189189189189,Fuzzy,Review,QS<->THE,
Sabanci University,turkey,Sabancı University,94.44444444444444,Fuzzy,Review,QS<->THE,
Ural Federal University - UrFU,russia,Ural Federal University,90.19607843137256,Fuzzy,Review,QS<->THE,
MGIMO University,russia,ITMO University,90.32258064516128,Fuzzy,Review,QS<->THE,
Management and Science University,malaysia,Management & Science University (MSU),93.5483870967742,Fuzzy,Review,QS<->THE,
The University of Georgia,united states,University of Georgia,91.30434782608697,Fuzzy,Review,QS<->THE,
Universiti Teknologi MARA - UiTM,malaysia,Universiti Teknologi MARA,90.9090909090909,Fuzzy,Review,QS<->THE,
University of Texas Dallas,united states,University of Texas at Dallas,94.54545454545455,Fuzzy,Review,QS<->THE,
Paris Lodron University of Salzburg,austria,Paris Lodron Universität Salzburg,91.17647058823529,Fuzzy,Review,QS<->THE,
Oregon State University,united states,Morgan State University,91.30434782608697,Fuzzy,Review,QS<->THE,
Indian Institute of Technology Hyderabad,india,Indian Institute of Technology (Indian School of Mines) Dhanbad,92.3076923076923,Fuzzy,Review,QS<->THE,
