Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,"Enrolment in tertiary education per 100,000 inhabitants, both sexes",UIS.TE_100000.56,69.6606826782227,82.6150207519531,83.9683303833008,95.7568435668945,89.151741027832,97.5960235595703,111.012680053711,123.943786621094,160.062164306641,173.312942504883,,,155.473403930664,,,,195.325454711914,154.701065063477,,,201.639602661133,,,,,,,,,,,,,116.455200195313,117.651809692383,,,,,349.85107421875,,338.447814941406,,,831.15625,,
Afghanistan,AFG,"Enrolment in tertiary education per 100,000 inhabitants, female",UIS.TE_100000.56.F,20.8789691925049,,22.8362808227539,30.1162109375,24.7596893310547,27.233980178833,30.9941806793213,51.3032989501953,60.4237899780273,53.5577583312988,,,,,,,55.9726486206055,,,,126.856910705566,,,,,,,,,,,,,49.1192512512207,49.6690788269043,,,,,129.839645385742,,168.975662231445,,,349.815368652344,,
Afghanistan,AFG,"Enrolment in tertiary education per 100,000 inhabitants, male",UIS.TE_100000.56.M,116.484260559082,,142.85888671875,159.086196899414,151.348846435547,165.610778808594,188.394515991211,194.197662353516,256.404205322266,289.038024902344,,,,,,,328.536712646484,,,,272.887603759766,,,,,,,,,,,,,179.459014892578,181.149490356445,,,,,557.751037597656,,498.731353759766,,,1283.69787597656,,
Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,7732.0,9409.0,9817.0,11487.0,10956.0,12256.0,14214.0,16147.0,21118.0,22974.0,,,19652.0,,,,22306.0,17509.0,,,24333.0,,,,,,,,,,,,,26211.0,27648.0,,,,,95185.0,,97504.0,,,262874.0,,
Afghanistan,AFG,"Enrolment in tertiary education, all programmes, female (number)",SE.TER.ENRL.FE,1135.0,,1310.0,1774.0,1495.0,1681.0,1951.0,3286.0,3919.0,3489.0,,,,,,,3124.0,,,,7469.0,,,,,,,,,,,,,5344.0,5637.0,,,,,17163.0,,23662.0,,,53613.0,,
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)",UIS.E.5.B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37329.0,,,,,
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 5 programmes, female (number)",UIS.E.5.B.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4139.0,,,,,
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260330.0,,
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 6 programmes, female (number)",UIS.E.6.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53240.0,,
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525.0,,
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 7 programmes, female (number)",UIS.E.7.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,,
