university_id,year,research_score,citation_score,research_impact,research_productivity
U03171,2024,100.0,99.0,,
U02059,2024,97.8,99.6,,
U01329,2024,96.2,99.7,,
U00790,2024,99.9,99.4,,
U02820,2024,100.0,98.0,,
U01760,2024,97.9,98.8,,
U00334,2024,98.0,95.9,,
U00871,2024,95.5,98.6,,
U02807,2024,98.8,99.0,,
U03658,2024,94.9,97.7,,
U00608,2024,96.8,95.6,,
U02331,2024,98.1,93.2,,
U02243,2024,91.2,97.6,,
U01680,2024,97.3,87.2,,
U01039,2024,92.3,97.2,,
U03183,2024,89.7,97.6,,
U00463,2024,89.7,97.4,,
U02811,2024,91.9,96.4,,
U01529,2024,94.0,95.4,,
U00475,2024,88.7,97.6,,
U03360,2024,94.1,92.8,,
U02351,2024,86.4,98.6,,
U03091,2024,87.4,95.5,,
U00352,2024,84.6,98.9,,
U03408,2024,83.5,98.2,,
U00554,2024,76.1,96.2,,
U01549,2024,84.0,94.9,,
U01594,2024,78.8,97.8,,
U02268,2024,94.2,67.8,,
U02895,2024,77.5,96.9,,
U02166,2024,85.1,90.0,,
U01450,2024,80.9,94.5,,
U03736,2024,73.2,90.3,,
U02815,2024,78.4,97.6,,
U02961,2024,72.3,96.4,,
U00717,2024,78.9,94.1,,
U03086,2024,76.4,90.1,,
U01146,2024,75.1,97.7,,
U01258,2024,76.8,92.2,,
U01670,2024,72.8,83.2,,
U02796,2024,76.6,90.5,,
U02977,2024,81.5,85.2,,
U01948,2024,82.5,75.4,,
U00687,2024,75.3,83.5,,
U01186,2024,74.9,91.9,,
U01270,2024,73.5,95.4,,
U03462,2024,64.3,94.6,,
U00521,2024,78.2,76.5,,
U01335,2024,72.3,88.8,,
U01079,2024,67.9,95.3,,
U03064,2024,67.1,93.1,,
U03324,2024,75.7,91.0,,
U00417,2024,61.5,97.6,,
U01390,2024,67.8,94.7,,
U01206,2024,84.3,60.0,,
U03698,2024,75.3,78.7,,
U03243,2024,66.3,88.2,,
U03525,2024,66.1,82.4,,
U02809,2024,67.8,87.2,,
U02261,2024,68.9,92.0,,
U02742,2024,63.1,96.7,,
U01925,2024,75.3,74.6,,
U03419,2024,67.5,85.5,,
U00317,2024,59.6,89.7,,
U02221,2024,62.1,92.9,,
U03603,2024,59.8,93.8,,
U00204,2024,68.0,86.6,,
U03612,2024,57.2,97.5,,
U02817,2024,64.7,96.9,,
U02257,2024,64.3,89.1,,
U00912,2024,61.6,70.8,,
U03145,2024,60.3,93.9,,
U01441,2024,61.7,85.3,,
U03280,2024,58.8,92.5,,
U02018,2024,60.8,83.7,,
U03678,2024,64.3,79.3,,
U01243,2024,62.7,93.0,,
U00303,2024,54.1,94.3,,
U02938,2024,57.2,94.5,,
U03439,2024,53.4,91.8,,
U02794,2024,56.5,97.3,,
U00443,2024,52.4,91.1,,
U01177,2024,65.8,77.4,,
U03535,2024,57.4,91.1,,
U03096,2024,58.5,87.2,,
U01769,2024,65.3,71.8,,
U02930,2024,51.8,96.8,,
U00823,2024,54.1,94.5,,
U00840,2024,63.7,82.8,,
U01856,2024,64.8,78.9,,
U02784,2024,57.7,89.7,,
U02810,2024,53.8,93.2,,
U03562,2024,48.5,96.0,,
U00394,2024,49.1,97.7,,
U01266,2024,75.2,33.9,,
U03378,2024,56.5,89.0,,
