university_id,university_name,country_id,country,region,source,ranking_year,global_rank,normalized_rank,ranking_score,rank_band,overall_score,academic_reputation_score,employer_reputation_score,faculty_student_score,student_staff_ratio,citations_per_faculty_score,citations_score,teaching_score,research_score,industry_income_score,international_outlook_score,international_faculty_score,international_students_score,international_student_percentage,international_research_network_score,employment_outcomes_score,sustainability_score,number_of_students,female_percentage
U1270,massachusetts institute of technology mit,C127,United States,Americas,QS,2025,1,1.0,100.0,1-10,100.0,100.0,100.0,100.0,,100.0,,,,,,99.3,86.8,,96.0,100.0,99.0,,
U0835,imperial college london,C126,United Kingdom,Europe,QS,2025,2,2.0,99.93,1-10,98.5,98.5,99.5,98.2,,93.9,,,,,,100.0,99.6,,97.4,93.4,99.7,,
U3055,university of oxford,C126,United Kingdom,Europe,QS,2025,3,3.0,99.87,1-10,96.9,100.0,100.0,100.0,,84.8,,,,,,98.1,97.7,,100.0,100.0,85.0,,
U0759,harvard university,C127,United States,Americas,QS,2025,4,4.0,99.8,1-10,96.8,100.0,100.0,96.3,,100.0,,,,,,74.1,69.0,,99.6,100.0,84.4,,
U2732,university of cambridge,C126,United Kingdom,Europe,QS,2025,5,5.0,99.73,1-10,96.7,100.0,100.0,100.0,,84.6,,,,,,100.0,94.8,,99.3,100.0,84.8,,
U1946,stanford university,C127,United States,Americas,QS,2025,6,6.0,99.67,1-10,96.1,100.0,100.0,100.0,,99.0,,,,,,70.3,60.8,,96.8,100.0,81.2,,
U0590,eth zurich swiss federal institute of technology,C114,Switzerland,Europe,QS,2025,7,7.0,99.6,1-10,93.9,98.8,87.2,65.9,,97.9,,,,,,100.0,98.6,,95.7,90.5,98.8,,
U1454,national university of singapore nus,C104,Singapore,Asia,QS,2025,8,8.0,99.53,1-10,93.7,99.5,91.1,68.8,,93.1,,,,,,100.0,88.9,,91.6,100.0,97.7,,
U2197,ucl,C126,United Kingdom,Europe,QS,2025,9,9.0,99.47,1-10,91.6,99.5,98.3,95.9,,72.2,,,,,,99.0,100.0,,99.9,70.3,74.8,,
U0315,california institute of technology caltech,C127,United States,Americas,QS,2025,10,10.0,99.4,1-10,90.9,96.5,95.3,100.0,,100.0,,,,,,100.0,79.8,,65.5,31.0,62.5,,
U3067,university of pennsylvania,C127,United States,Americas,QS,2025,11,11.0,99.33,11-50,90.3,96.3,91.9,99.8,,74.0,,,,,,90.9,66.2,,91.9,100.0,93.0,,
U2720,university of california berkeley ucb,C127,United States,Americas,QS,2025,12,12.0,99.27,11-50,90.1,100.0,100.0,23.5,,98.2,,,,,,91.5,61.0,,97.2,98.4,100.0,,
U2975,the university of melbourne,C006,Australia,Oceania,QS,2025,13,13.0,99.2,11-50,88.9,98.5,93.9,15.4,,93.0,,,,,,95.1,99.8,,97.4,96.5,99.6,,
U1601,peking university,C022,China,Asia,QS,2025,14,14.0,99.13,11-50,88.5,99.5,96.6,92.6,,97.7,,,,,,50.3,23.6,,79.8,94.2,46.9,,
U1380,nanyang technological university singapore ntu,C104,Singapore,Asia,QS,2025,15,15.0,99.07,11-50,88.4,91.9,73.3,80.6,,92.4,,,,,,100.0,83.5,,89.4,83.9,95.6,,
U0442,cornell university,C127,United States,Americas,QS,2025,16,16.0,99.0,11-50,87.9,98.3,93.1,52.7,,97.5,,,,,,54.2,63.4,,94.0,97.1,72.1,,
U2113,the university of hong kong,C044,Hong Kong,Asia,QS,2025,17,17.0,98.93,11-50,87.6,97.4,59.4,81.2,,86.4,,,,,,100.0,99.3,,81.4,99.7,89.2,,
U3178,the university of sydney,C006,Australia,Oceania,QS,2025,18,18.0,98.87,11-50,87.3,96.4,90.0,10.9,,93.7,,,,,,99.9,100.0,,95.8,93.1,99.6,,
U2117,the university of new south wales unsw sydney,C006,Australia,Oceania,QS,2025,19,19.0,98.8,11-50,87.1,90.5,90.4,20.6,,94.9,,,,,,100.0,99.4,,98.3,97.7,99.2,,
U2180,tsinghua university,C022,China,Asia,QS,2025,20,20.0,98.73,11-50,86.5,99.2,97.7,95.0,,99.1,,,,,,18.1,13.4,,79.2,92.3,40.4,,
U2752,university of chicago,C127,United States,Americas,QS,2025,21,21.0,98.67,11-50,86.2,99.1,96.4,94.2,,60.8,,,,,,79.0,87.0,,85.1,99.1,46.9,,
U1675,princeton university,C127,United States,Americas,QS,2025,22,22.0,98.6,11-50,85.5,99.8,98.3,57.0,,100.0,,,,,,9.6,56.6,,78.3,95.7,51.5,,
U3422,yale university,C127,United States,Americas,QS,2025,23,23.0,98.53,11-50,85.2,99.9,99.9,100.0,,38.6,,,,,,91.5,63.3,,93.9,98.5,92.2,,
U2581,universite psl,C037,France,Europe,QS,2025,24,24.0,98.47,11-50,84.7,74.4,97.6,98.1,,87.6,,,,,,62.3,65.0,,99.8,97.1,73.4,,
U3228,university of toronto,C020,Canada,Americas,QS,2025,25,25.0,98.4,11-50,84.1,99.7,96.9,44.9,,50.8,,,,,,96.9,96.1,,97.7,98.7,100.0,,
U0575,epfl,C114,Switzerland,Europe,QS,2025,26,26.0,98.33,11-50,83.5,84.2,67.2,91.2,,93.6,,,,,,100.0,100.0,,81.7,27.2,86.7,,
U2109,the university of edinburgh,C126,United Kingdom,Europe,QS,2025,27,27.0,98.27,11-50,83.3,98.3,97.2,65.5,,47.7,,,,,,98.7,99.8,,99.5,55.9,99.0,,
