country_id,country_code,country_name,region
C001,ABW,Aruba,Latin America & Caribbean
C002,AFG,Afghanistan,South Asia
C003,AGO,Angola,Sub-Saharan Africa
C004,ALB,Albania,Europe & Central Asia
C005,AND,Andorra,Europe & Central Asia
C006,ARB,Arab World,
C007,ARE,United Arab Emirates,Middle East & North Africa
C008,ARG,Argentina,Latin America & Caribbean
C009,ARM,Armenia,Europe & Central Asia
C010,ASM,American Samoa,East Asia & Pacific
C011,ATG,Antigua and Barbuda,Latin America & Caribbean
C012,AUS,Australia,East Asia & Pacific
C013,AUT,Austria,Europe & Central Asia
C014,AZE,Azerbaijan,Europe & Central Asia
C015,BDI,Burundi,Sub-Saharan Africa
C016,BEL,Belgium,Europe & Central Asia
C017,BEN,Benin,Sub-Saharan Africa
C018,BFA,Burkina Faso,Sub-Saharan Africa
C019,BGD,Bangladesh,South Asia
C020,BGR,Bulgaria,Europe & Central Asia
C021,BHR,Bahrain,Middle East & North Africa
C022,BHS,The Bahamas,Latin America & Caribbean
C023,BIH,Bosnia and Herzegovina,Europe & Central Asia
C024,BLR,Belarus,Europe & Central Asia
C025,BLZ,Belize,Latin America & Caribbean
C026,BMU,Bermuda,North America
C027,BOL,Bolivia,Latin America & Caribbean
C028,BRA,Brazil,Latin America & Caribbean
C029,BRB,Barbados,Latin America & Caribbean
C030,BRN,Brunei,East Asia & Pacific
C031,BTN,Bhutan,South Asia
C032,BWA,Botswana,Sub-Saharan Africa
C033,CAF,Central African Republic,Sub-Saharan Africa
C034,CAN,Canada,North America
C035,CHE,Switzerland,Europe & Central Asia
C036,CHI,Channel Islands,Europe & Central Asia
C037,CHL,Chile,Latin America & Caribbean
C038,CHN,China,East Asia & Pacific
C039,CIV,Côte d'Ivoire,Sub-Saharan Africa
C040,CMR,Cameroon,Sub-Saharan Africa
C041,COD,Dem. Rep. Congo,Sub-Saharan Africa
C042,COG,Congo,Sub-Saharan Africa
C043,COL,Colombia,Latin America & Caribbean
C044,COM,Comoros,Sub-Saharan Africa
C045,CPV,Cabo Verde,Sub-Saharan Africa
C046,CRI,Costa Rica,Latin America & Caribbean
C047,CUB,Cuba,Latin America & Caribbean
C048,CUW,Curaçao,Latin America & Caribbean
C049,CYM,Cayman Islands,Latin America & Caribbean
C050,CYP,Cyprus,Europe & Central Asia
C051,CZE,Czech Republic,Europe & Central Asia
C052,DEU,Germany,Europe & Central Asia
C053,DJI,Djibouti,Middle East & North Africa
C054,DMA,Dominica,Latin America & Caribbean
C055,DNK,Denmark,Europe & Central Asia
C056,DOM,Dominican Republic,Latin America & Caribbean
C057,DZA,Algeria,Middle East & North Africa
C058,EAP,East Asia & Pacific (developing only),
C059,EAS,East Asia & Pacific (all income levels),
C060,ECA,Europe & Central Asia (developing only),
C061,ECS,Europe & Central Asia (all income levels),
C062,ECU,Ecuador,Latin America & Caribbean
C063,EGY,Egypt,Middle East & North Africa
C064,EMU,Euro area,
C065,ERI,Eritrea,Sub-Saharan Africa
C066,ESP,Spain,Europe & Central Asia
C067,EST,Estonia,Europe & Central Asia
C068,ETH,Ethiopia,Sub-Saharan Africa
C069,EUU,European Union,
C070,FIN,Finland,Europe & Central Asia
C071,FJI,Fiji,East Asia & Pacific
C072,FRA,France,Europe & Central Asia
C073,FRO,Faeroe Islands,Europe & Central Asia
C074,FSM,Micronesia,East Asia & Pacific
C075,GAB,Gabon,Sub-Saharan Africa
C076,GBR,United Kingdom,Europe & Central Asia
C077,GEO,Georgia,Europe & Central Asia
C078,GHA,Ghana,Sub-Saharan Africa
C079,GIB,Gibraltar,
C080,GIN,Guinea,Sub-Saharan Africa
C081,GMB,The Gambia,Sub-Saharan Africa
C082,GNB,Guinea-Bissau,Sub-Saharan Africa
C083,GNQ,Equatorial Guinea,Sub-Saharan Africa
C084,GRC,Greece,Europe & Central Asia
C085,GRD,Grenada,Latin America & Caribbean
C086,GRL,Greenland,Europe & Central Asia
