university_id,university_name,country_id,country_name,region
U00001,aalborg university,C055,Denmark,Europe & Central Asia
U00002,aalto university,C070,Finland,Europe & Central Asia
U00003,aarhus university,C055,Denmark,Europe & Central Asia
U00004,abai kazakh national pedagogical university,C109,Kazakhstan,Europe & Central Asia
U00005,abbes laghrour university of khenchala,C057,Algeria,Middle East & North Africa
U00006,abbottabad university of science and technology,C171,Pakistan,South Asia
U00007,abdelhafid boussouf university center of mila,C057,Algeria,Middle East & North Africa
U00008,abdelmalek essaâdi university,C136,Morocco,Middle East & North Africa
U00009,abdul wali khan university mardan,C171,Pakistan,South Asia
U00010,abdullah gül university,C221,Turkey,Europe & Central Asia
U00011,abertay university,C076,United Kingdom,Europe & Central Asia
U00012,aberystwyth university,C076,United Kingdom,Europe & Central Asia
U00013,abia state university,C162,Nigeria,Sub-Saharan Africa
U00014,abo akademi university,C070,Finland,Europe & Central Asia
U00015,abrar university,C197,Somalia,Sub-Saharan Africa
U00016,abu dhabi university,C007,United Arab Emirates,Middle East & North Africa
U00017,academy of economic studies of moldova,C138,Moldova,Europe & Central Asia
U00018,acharya nagarjuna university,C099,India,South Asia
U00019,acıbadem university,C221,Turkey,Europe & Central Asia
U00020,acıbadem university,,,
U00021,ada kent university,,Northern Cyprus,
U00022,adam mickiewicz university poznan,C177,Poland,Europe & Central Asia
U00023,adam mickiewicz university poznań,C177,Poland,Europe & Central Asia
U00024,adamawa state university mubi,C162,Nigeria,Sub-Saharan Africa
U00025,addis ababa university,C068,Ethiopia,Sub-Saharan Africa
U00026,adelphi university,C228,United States,North America
U00027,adolfo ibáñez university,C037,Chile,Latin America & Caribbean
U00028,adventist university of central africa,C187,Rwanda,Sub-Saharan Africa
U00029,aecc university college,C076,United Kingdom,Europe & Central Asia
U00030,afe babalola university,C162,Nigeria,Sub-Saharan Africa
U00031,afe babalola university,,,
U00032,aga khan university,C171,Pakistan,South Asia
U00033,agh university of krakow,C177,Poland,Europe & Central Asia
U00034,agh university of science and technology,C177,Poland,Europe & Central Asia
U00035,ahl al bayt university,C102,Iraq,Middle East & North Africa
U00036,ahlia university,C021,Bahrain,Middle East & North Africa
U00037,ahvaz jundishapur university of medical sciences ajums,C101,"Iran, Islamic Rep.",
U00038,aichi medical university,C108,Japan,East Asia & Pacific
U00039,aichi prefectural university,C108,Japan,East Asia & Pacific
U00040,ain shams university,C063,"Egypt, Arab Rep.",
U00041,air university,C171,Pakistan,South Asia
U00042,airlangga university,C097,Indonesia,East Asia & Pacific
U00043,aixmarseille university,C072,France,Europe & Central Asia
U00044,ajeenkya dy patil university,C099,India,South Asia
U00045,ajman university,C007,United Arab Emirates,Middle East & North Africa
U00046,ajou university,C115,"Korea, Rep.",
U00047,akdeniz university,C221,Turkey,Europe & Central Asia
U00048,akdeniz üniversitesi,C221,Turkey,Europe & Central Asia
U00049,akhmet yassawi university,C109,Kazakhstan,Europe & Central Asia
U00050,akita prefectural university,C108,Japan,East Asia & Pacific
