country_code,indicator,indicator_code,year,value
AFG,"Enrolment in tertiary education per 100,000 inhabitants, both sexes",UIS.TE_100000.56,1970,69.6606826782227
AFG,"Enrolment in tertiary education per 100,000 inhabitants, female",UIS.TE_100000.56.F,1970,20.8789691925049
AFG,"Enrolment in tertiary education per 100,000 inhabitants, male",UIS.TE_100000.56.M,1970,116.484260559082
AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,1970,7732.0
AFG,"Enrolment in tertiary education, all programmes, female (number)",SE.TER.ENRL.FE,1970,1135.0
AFG,"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)",UIS.E.5.B,1970,
AFG,"Enrolment in tertiary education, ISCED 5 programmes, female (number)",UIS.E.5.B.F,1970,
AFG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,1970,
AFG,"Enrolment in tertiary education, ISCED 6 programmes, female (number)",UIS.E.6.F,1970,
AFG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,1970,
AFG,"Enrolment in tertiary education, ISCED 7 programmes, female (number)",UIS.E.7.F,1970,
AFG,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1970,
AFG,"Enrolment in tertiary education, ISCED 8 programmes, female (number)",UIS.E.8.F,1970,
AFG,Percentage of enrolment in tertiary education in private institutions (%),SE.TER.PRIV.ZS,1970,
ALB,"Enrolment in tertiary education per 100,000 inhabitants, both sexes",UIS.TE_100000.56,1970,
ALB,"Enrolment in tertiary education per 100,000 inhabitants, female",UIS.TE_100000.56.F,1970,
ALB,"Enrolment in tertiary education per 100,000 inhabitants, male",UIS.TE_100000.56.M,1970,
ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,1970,
ALB,"Enrolment in tertiary education, all programmes, female (number)",SE.TER.ENRL.FE,1970,
ALB,"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)",UIS.E.5.B,1970,
ALB,"Enrolment in tertiary education, ISCED 5 programmes, female (number)",UIS.E.5.B.F,1970,
ALB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,1970,
ALB,"Enrolment in tertiary education, ISCED 6 programmes, female (number)",UIS.E.6.F,1970,
ALB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,1970,
ALB,"Enrolment in tertiary education, ISCED 7 programmes, female (number)",UIS.E.7.F,1970,
ALB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1970,
ALB,"Enrolment in tertiary education, ISCED 8 programmes, female (number)",UIS.E.8.F,1970,
ALB,Percentage of enrolment in tertiary education in private institutions (%),SE.TER.PRIV.ZS,1970,
DZA,"Enrolment in tertiary education per 100,000 inhabitants, both sexes",UIS.TE_100000.56,1970,
DZA,"Enrolment in tertiary education per 100,000 inhabitants, female",UIS.TE_100000.56.F,1970,
DZA,"Enrolment in tertiary education per 100,000 inhabitants, male",UIS.TE_100000.56.M,1970,
DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,1970,
DZA,"Enrolment in tertiary education, all programmes, female (number)",SE.TER.ENRL.FE,1970,
DZA,"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)",UIS.E.5.B,1970,
DZA,"Enrolment in tertiary education, ISCED 5 programmes, female (number)",UIS.E.5.B.F,1970,
DZA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,1970,
DZA,"Enrolment in tertiary education, ISCED 6 programmes, female (number)",UIS.E.6.F,1970,
DZA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,1970,
DZA,"Enrolment in tertiary education, ISCED 7 programmes, female (number)",UIS.E.7.F,1970,
DZA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1970,
DZA,"Enrolment in tertiary education, ISCED 8 programmes, female (number)",UIS.E.8.F,1970,
DZA,Percentage of enrolment in tertiary education in private institutions (%),SE.TER.PRIV.ZS,1970,
ASM,"Enrolment in tertiary education per 100,000 inhabitants, both sexes",UIS.TE_100000.56,1970,
ASM,"Enrolment in tertiary education per 100,000 inhabitants, female",UIS.TE_100000.56.F,1970,
ASM,"Enrolment in tertiary education per 100,000 inhabitants, male",UIS.TE_100000.56.M,1970,
ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,1970,
ASM,"Enrolment in tertiary education, all programmes, female (number)",SE.TER.ENRL.FE,1970,
