university_id,year,global_rank,overall_score,academic_reputation,employer_reputation
U01330,2025,1,100.0,100.0,100.0
U00871,2025,2,98.5,98.5,99.5
U03171,2025,3,96.9,100.0,100.0
U00790,2025,4,96.8,100.0,100.0
U02820,2025,5,96.7,100.0,100.0
U02059,2025,6,96.1,100.0,100.0
U00609,2025,7,93.9,98.8,87.2
U01531,2025,8,93.7,99.5,91.1
U02351,2025,9,91.6,99.5,98.3
U00335,2025,10,90.9,96.5,95.3
U03183,2025,11,90.3,96.3,91.9
U02808,2025,12,90.1,100.0,100.0
U02252,2025,13,88.9,98.5,93.9
U01681,2025,14,88.5,99.5,96.6
U01451,2025,15,88.4,91.9,73.3
U00475,2025,16,87.9,98.3,93.1
U02248,2025,17,87.6,97.4,59.4
U02261,2025,18,87.3,96.4,90.0
U02253,2025,19,87.1,90.5,90.4
U02332,2025,20,86.5,99.2,97.7
U02843,2025,21,86.2,99.1,96.4
U01760,2025,22,85.5,99.8,98.3
U03658,2025,23,85.2,99.9,99.9
U03528,2025,24,84.7,74.4,97.6
U03360,2025,25,84.1,99.7,96.9
U00592,2025,26,83.5,84.2,67.2
U02244,2025,27,83.3,98.3,97.2
U02166,2025,28,83.2,83.0,98.6
U01335,2025,29,83.0,94.3,87.6
U02206,2025,30,82.4,93.8,75.4
U01925,2025,31,82.3,98.5,98.6
U01039,2025,32,82.1,86.0,62.6
U02268,2025,32,82.1,100.0,99.8
U00463,2025,34,82.0,99.6,98.8
U02251,2025,34,82.0,95.6,98.1
U02212,2025,36,81.3,86.7,53.3
U01390,2025,37,81.2,89.2,79.6
U02796,2025,38,81.0,98.3,94.3
U00688,2025,39,80.3,85.7,87.8
U01146,2025,40,80.2,90.3,85.7
U02257,2025,40,80.2,86.7,74.0
U02812,2025,42,79.8,100.0,99.8
U01550,2025,43,79.6,96.3,98.8
U03091,2025,44,79.0,97.9,92.1
U01949,2025,45,77.8,84.0,86.3
U00912,2025,46,77.5,44.7,99.6
U02222,2025,47,77.1,81.1,50.3
U03699,2025,47,77.1,75.3,95.4
U00521,2025,49,77.0,74.4,83.0
U01206,2025,50,76.0,98.8,99.0
U01594,2025,50,76.0,84.0,68.0
U02230,2025,50,76.0,67.2,97.0
U01056,2025,53,75.7,87.7,91.0
U02794,2025,54,75.4,75.8,82.5
U02742,2025,55,73.7,83.8,52.1
U03677,2025,56,72.9,81.5,97.0
U02220,2025,57,72.1,68.0,35.6
U00352,2025,58,72.0,69.8,80.1
U01281,2025,59,71.6,92.2,86.6
U02673,2025,60,71.2,82.9,95.1
U00554,2025,61,70.8,86.0,74.7
U00444,2025,62,70.7,60.9,30.8
U01186,2025,63,70.3,84.6,49.6
U02018,2025,63,70.3,87.2,52.0
U02242,2025,65,69.7,82.2,44.7
U03324,2025,66,69.5,93.5,86.6
U01178,2025,67,69.0,78.2,93.8
U01500,2025,68,68.7,93.4,92.1
U02270,2025,69,68.2,72.2,86.4
U02977,2025,69,68.2,83.9,75.7
U02434,2025,71,67.6,94.1,94.1
U02816,2025,72,67.1,89.3,57.8
U03525,2025,73,67.0,60.7,99.1
U01184,2025,74,65.7,45.2,55.6
U01283,2025,75,65.6,68.3,52.5
U03408,2025,76,65.3,81.9,55.5
U02271,2025,77,65.2,55.5,41.8
U02930,2025,78,65.0,77.4,67.7
U00317,2025,79,64.7,59.9,49.6
U02777,2025,80,64.1,68.9,69.0
U03279,2025,80,64.1,50.1,44.3
U02237,2025,82,63.8,56.0,38.9
U03031,2025,82,63.8,70.5,75.9
U01846,2025,84,63.7,76.9,59.4
U02293,2025,84,63.7,75.1,94.1
U01648,2025,86,63.5,82.4,87.0
U02328,2025,87,62.9,69.5,47.4
U03316,2025,88,62.4,43.9,55.0
U00559,2025,89,61.7,59.6,83.9
U01684,2025,89,61.7,76.6,64.5
U01768,2025,89,61.7,63.3,81.1
U02577,2025,92,61.6,92.8,74.6
U01730,2025,93,61.5,93.7,98.0
U01266,2025,94,61.4,78.0,82.3
U02516,2025,94,61.4,97.0,94.4
U02732,2025,96,61.2,57.0,42.2
U00683,2025,97,60.6,80.3,56.9
U01703,2025,98,60.3,45.9,80.0
U01856,2025,99,59.9,46.6,93.7
U02860,2025,100,59.6,74.0,31.6
U01138,2025,101,59.5,38.0,46.5
U01152,2025,102,59.4,44.9,80.9
U03538,2025,103,59.3,61.4,33.7
U03286,2025,104,59.2,46.5,63.2
U02259,2025,105,59.1,58.3,48.7
U03552,2025,105,59.1,66.5,38.8
U02286,2025,107,58.8,73.8,82.8
U03154,2025,108,58.5,61.1,65.8
U02158,2025,109,58.3,33.2,22.1
U03439,2025,109,58.3,59.9,26.4
U01706,2025,111,58.2,70.8,77.0
U00303,2025,108,58.6,61.9,69.1
U00002,2025,113,57.9,45.7,40.6
U00717,2025,114,57.3,67.1,82.6
U03409,2025,115,57.2,40.4,64.2
U03419,2025,116,57.1,77.7,47.8
U02957,2025,117,56.8,62.3,29.1
U00884,2025,118,56.3,58.5,86.0
U03162,2025,119,56.1,55.6,16.0
U01783,2025,120,55.8,48.3,36.9
U03626,2025,120,55.8,32.6,38.9
U01774,2025,122,55.7,29.8,50.6
U01823,2025,123,55.5,40.4,48.0
U02088,2025,123,55.5,57.9,70.7
U03280,2025,125,55.2,50.4,54.5
U00841,2025,126,55.0,89.2,69.9
U02716,2025,126,55.0,51.4,43.5
U02070,2025,128,54.8,52.5,21.0
U01551,2025,129,54.5,50.0,59.3
U02809,2025,130,54.4,63.0,48.0
U02761,2025,131,54.3,26.6,13.5
U01893,2025,132,54.2,80.7,48.5
U00089,2025,133,54.1,80.8,47.8
U01294,2025,133,54.1,33.4,39.2
U03244,2025,133,54.1,50.0,23.7
U00586,2025,136,54.0,28.7,72.1
U03397,2025,137,53.9,70.9,40.4
U02670,2025,138,53.8,61.7,66.4
U00384,2025,139,53.7,26.3,50.4
U02439,2025,139,53.7,82.8,90.0
U01229,2025,141,53.6,38.9,36.7
U01243,2025,141,53.6,68.4,32.9
U01814,2025,141,53.6,39.1,27.3
U00003,2025,144,53.3,54.7,27.6
U01442,2025,145,53.0,57.1,32.5
U02687,2025,146,52.7,63.3,69.7
U02171,2025,147,52.5,55.3,74.3
U02684,2025,148,52.3,61.0,61.9
U01133,2025,149,52.2,59.8,61.4
U00885,2025,150,52.1,54.1,80.9
U02763,2025,150,52.1,35.8,67.9
U01365,2025,152,51.9,59.5,48.6
U01425,2025,152,51.9,63.2,65.8
U02196,2025,154,51.8,61.2,66.0
U02924,2025,155,51.6,45.5,17.2
U03148,2025,155,51.6,61.4,36.5
U03603,2025,155,51.6,42.1,23.8
U00593,2025,158,51.5,37.0,58.2
U03492,2025,159,51.3,55.5,32.8
U02938,2025,159,51.3,52.3,34.4
U02774,2025,161,51.2,29.7,16.1
U00781,2025,162,51.1,43.0,78.0
U00076,2025,163,51.0,54.2,79.6
U00468,2025,164,50.9,68.1,68.1
U02655,2025,165,50.7,73.7,30.3
U03043,2025,165,50.7,46.1,39.4
U01216,2025,167,50.3,58.3,66.5
U03422,2025,167,50.3,29.5,24.5
U00723,2025,169,50.1,53.2,24.8
U02246,2025,169,50.1,42.9,45.0
U02830,2025,171,50.0,45.2,51.8
U03209,2025,172,49.9,32.2,41.7
U00818,2025,173,49.8,59.0,63.3
U00489,2025,174,49.3,33.1,27.7
U02654,2025,175,49.2,64.0,35.8
U01337,2025,176,49.0,39.5,34.2
U03612,2025,171,49.9,36.3,12.0
U02818,2025,178,48.9,52.6,21.3
U02254,2025,179,48.7,28.3,24.5
U02459,2025,179,48.7,67.7,88.4
U02692,2025,181,48.5,48.6,59.6
U03610,2025,181,48.5,60.7,96.1
U00776,2025,183,48.3,12.9,4.7
U03433,2025,184,48.2,42.9,30.1
U02181,2025,185,48.1,53.8,91.4
U00347,2025,186,47.6,46.8,43.2
U03732,2025,187,47.5,29.8,16.3
U01100,2025,188,47.4,53.0,91.6
U03165,2025,189,47.3,26.2,23.3
U02175,2025,190,47.2,33.9,50.4
U03461,2025,191,47.1,50.7,35.7
U02314,2025,192,46.9,31.8,16.9
U01786,2025,193,46.8,40.8,56.7
U02933,2025,194,46.7,35.4,18.3
U03644,2025,194,46.7,39.2,40.5
U00590,2025,196,46.6,25.2,19.0
U00518,2025,197,46.4,31.3,23.9
U02395,2025,198,46.3,61.0,64.3
U02806,2025,198,46.3,37.9,44.5
U00168,2025,200,46.2,48.6,44.1
U01145,2025,200,46.2,39.4,28.7
U00123,2025,332,33.6,20.9,38.6
U03477,2025,203,46.0,48.4,25.9
U03097,2025,203,46.0,56.8,33.1
U00573,2025,205,45.8,8.9,58.5
U01787,2025,206,45.7,35.4,33.6
U02640,2025,206,45.7,53.8,79.2
U02235,2025,208,45.6,58.6,50.4
U02188,2025,209,45.2,32.0,18.6
U01508,2025,210,45.1,54.8,71.2
U00878,2025,211,45.0,45.7,26.3
U00069,2025,212,44.8,43.1,24.5
U01791,2025,213,44.7,39.8,33.1
U03164,2025,214,44.4,45.0,24.6
U01463,2025,215,44.2,51.5,74.0
U02910,2025,215,44.2,46.7,42.3
