University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,female_percentage,male_percentage,overall_score_min,overall_score_max,overall_score_mid,rank_type,rank_numeric
1,University of Oxford,United Kingdom,20965,10.6,42.0,48 : 52,96.4,92.3,99.7,99.0,74.9,96.2,48,52,96.4,96.4,96.4,Exact,1
2,Harvard University,United States,21887,9.6,25.0,50 : 50,95.2,94.8,99.0,99.3,49.5,80.5,50,50,95.2,95.2,95.2,Exact,2
3,University of Cambridge,United Kingdom,20185,11.3,39.0,47 : 53,94.8,90.9,99.5,97.0,54.2,95.8,47,53,94.8,94.8,94.8,Exact,3
3,Stanford University,United States,16164,7.1,24.0,46 : 54,94.8,94.2,96.7,99.8,65.0,79.8,46,54,94.8,94.8,94.8,Exact,3
5,Massachusetts Institute of Technology,United States,11415,8.2,33.0,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,40,60,94.2,94.2,94.2,Exact,5
6,California Institute of Technology,United States,2237,6.2,34.0,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,37,63,94.1,94.1,94.1,Exact,6
7,Princeton University,United States,8279,8.0,23.0,46 : 54,92.4,87.6,95.9,99.1,66.0,80.3,46,54,92.4,92.4,92.4,Exact,7
8,"University of California, Berkeley",United States,40921,18.4,24.0,52 : 48,92.1,86.4,95.8,99.0,76.8,78.4,52,48,92.1,92.1,92.1,Exact,8
9,Yale University,United States,13482,5.9,21.0,52 : 48,91.4,92.6,92.7,97.0,55.0,70.9,52,48,91.4,91.4,91.4,Exact,9
10,Imperial College London,United Kingdom,18545,11.2,61.0,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,40,60,90.4,90.4,90.4,Exact,10
11,Columbia University,United States,21781,4.5,38.0,,89.4,89.4,87.7,97.1,44.8,79.9,,,89.4,89.4,89.4,Exact,11
11,ETH Zurich,Switzerland,21665,14.8,41.0,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,33,67,89.4,89.4,89.4,Exact,11
13,The University of Chicago,United States,15366,6.0,36.0,47 : 53,88.9,86.5,88.8,97.7,56.2,74.2,47,53,88.9,88.9,88.9,Exact,13
14,University of Pennsylvania,United States,21453,6.3,23.0,53 : 47,88.8,86.0,88.8,97.0,75.8,71.5,53,47,88.8,88.8,88.8,Exact,14
15,Johns Hopkins University,United States,17584,4.7,29.0,53 : 47,88.3,79.4,91.5,97.0,89.5,75.3,53,47,88.3,88.3,88.3,Exact,15
16,Tsinghua University,,38324,11.6,10.0,,88.2,90.1,97.4,88.0,100.0,40.3,,,88.2,88.2,88.2,Exact,16
17,Peking University,,31994,10.3,19.0,,88.1,92.5,96.7,80.4,91.8,65.0,,,88.1,88.1,88.1,Exact,17
18,University of Toronto,Canada,77468,25.8,26.0,56 : 44,87.4,77.3,93.3,92.8,65.5,89.7,56,44,87.4,87.4,87.4,Exact,18
19,National University of Singapore,,32337,19.8,25.0,51 : 49,87.1,76.4,93.0,90.2,87.0,94.0,51,49,87.1,87.1,87.1,Exact,19
20,Cornell University,United States,24027,10.3,26.0,51 : 49,85.9,80.2,86.1,97.3,40.4,76.9,51,49,85.9,85.9,85.9,Exact,20
21,"University of California, Los Angeles",United States,42434,9.7,16.0,56 : 44,85.8,80.4,88.9,95.4,58.8,65.0,56,44,85.8,85.8,85.8,Exact,21
