Country Name,Country Code,adult_literacy,primary_completion,primary_pupil_teacher_ratio,primary_enrolment,secondary_pupil_teacher_ratio,tertiary_enrolment,education_expenditure_gdp,lower_secondary_enrolment,upper_secondary_enrolment
Afghanistan,AFG,31.74112,,44.23235473632812,,,3.829684972763065,3.2273924946784973,47.4367904663086,31.3326206207275
Albania,ALB,97.04613499999999,96.62396545410151,19.67063827514648,93.140510559082,14.8807577133179,49.74500961303712,3.53943991661072,87.6665878295898,67.4512023925781
Algeria,DZA,,98.6740127563477,23.203479766845717,98.7396469116211,,31.41059226989746,,,
American Samoa,ASM,,,,,,,,,
Andorra,AND,,,9.74613189697266,,7.80663013458252,,2.9627850055694576,,
Angola,AGO,,44.71204884847007,44.0647850036621,81.6808624267578,27.4166507720947,8.43482995033264,3.47622990608215,5.583845138549805,3.2663350105285653
Antigua and Barbuda,ATG,,99.2271830240885,14.911780118942225,88.83862495422366,12.08467984199525,17.224152565002473,2.55447006225586,72.70438639322917,45.2751833597819
Arab World,ARB,77.3645858764648,85.3887908935547,20.67960777282716,85.25334167480467,15.11440811157226,25.248164367675777,,,
Argentina,ARG,,103.6630950927736,,99.23619537353514,,76.17719116210938,5.30399408340454,84.44503784179689,58.50604629516604
Armenia,ARM,99.74441,,,,,47.60248718261718,3.1303919792175305,90.799690246582,74.94927978515626
Aruba,ABW,96.82264,95.8655446370443,15.945805311203,97.45794296264651,14.079999923706074,33.08183250427246,6.406230068206787,70.4275989532471,58.417324066162095
Australia,AUS,,,,97.36337280273439,,82.62433624267578,5.185146045684814,86.27063140869141,76.0459594726563
Austria,AUT,,97.82994384765627,10.962924003601078,,9.82910213470458,70.63226547241214,5.634683990478516,,
Azerbaijan,AZE,99.774948,90.83471984863283,11.47233600616456,88.0947479248047,,19.968790054321282,2.599809980392456,82.4904708862305,75.77907867431642
"Bahamas, The",BHS,,96.5319938659668,13.5700397491455,96.99850463867185,12.22818994522095,,,74.9055824279785,69.02846145629886
Bahrain,BHR,94.55679,92.37177530924481,11.911743164062534,92.78893025716148,9.998143513997404,42.2267901102702,2.56110000610352,,73.05343170166016
Bangladesh,BGD,47.07731,73.5736484527588,42.98155848185223,94.36311721801755,30.912013626098638,12.3959436416626,2.0505675077438372,61.80791397094727,33.808078289031975
Barbados,BRB,,96.52767690022786,13.412196477254232,94.17808787027997,,70.32109578450523,5.576435089111327,81.31748962402348,65.19822947184242
Belarus,BLR,99.61706,103.95646209716793,15.06839790344238,92.33967132568357,7.73804998397827,84.20952606201172,5.020973873138426,94.3587703704834,83.89370727539062
Belgium,BEL,,88.77991676330568,11.1420560836792,98.9776412963867,9.44806003570557,69.23772735595699,6.4617600440979,86.6188583374023,84.6604766845703
Belize,BLZ,,102.86160278320327,22.182929611206042,98.25606689453123,16.75925407409668,22.94444160461426,6.308789889017736,70.15211334228515,29.98230361938476
Benin,BEN,32.94882,70.14309692382811,44.6677780151367,94.08939361572267,9.82353973388672,12.855817794799805,4.669532299041748,44.3204917907715,16.8404693603516
Bermuda,BMU,,91.8296089172363,8.330644965171816,85.6842994689941,5.8779250383377075,30.691464233398438,2.6297000646591204,80.9955101013184,68.1576538085938
Bhutan,BTN,57.0336,92.41862487792974,26.32770843505862,88.80093841552733,19.251033782959002,8.478990173339849,4.723357439041134,50.66841430664062,16.50698018074035
Bolivia,BOL,92.61818333333333,97.39362182617188,16.389263470967602,93.70527801513671,26.650356928507467,,7.047729969024656,71.10671539306642,62.21360321044922
Bosnia and Herzegovina,BIH,97.56690499999999,,17.0992107391357,,11.12965965271,,,,
Botswana,BWA,,98.27113596598308,23.8496500651042,89.04613494873047,,19.784289836883552,9.63292026519775,52.2048492431641,28.2575798034668
Brazil,BRA,90.982144,,21.56797599792478,95.39376258850098,16.677812385559058,43.04595756530763,5.72923994064331,76.85551643371582,58.307559967041
British Virgin Islands,VGB,,80.18002510070804,12.880530039469399,,8.487566630045569,62.4870986938477,4.164415121078489,,
Brunei Darussalam,BRN,96.08556,106.50182952880839,11.074818038940418,,10.060517549514778,19.41999778747558,2.752766688664753,92.12845764160156,82.30671119689941
Bulgaria,BGR,98.35245,100.22447662353511,17.463051986694342,98.11954193115231,12.34604396820068,60.20589981079102,3.856920003890992,88.3353744506836,78.4179763793945
Burkina Faso,BFA,,52.58591747283935,49.66436157226563,64.18521728515624,27.122223663330082,4.11836199760437,4.267497420310975,18.504455947875982,3.3859139919281
Burundi,BDI,,55.748536682128915,48.47592849731446,89.80300649007161,29.442919921875,3.384356069564818,6.071288013458254,11.369025802612299,2.5781375765800476
Cabo Verde,CPV,85.32779,96.34564056396479,23.34679794311524,96.48673095703126,17.385982131958,18.85819797515868,5.221930146217345,64.546799659729,35.0065593719482
Cambodia,KHM,73.90003,88.34785766601563,47.493005371093766,96.06795501708984,,13.893716812133798,1.65881199836731,,
Cameroon,CMR,71.29051,69.9594841003418,45.7779121398926,88.91539255777997,21.7121664683024,11.979926109313965,3.16968402862549,39.5690402984619,19.2967491149902
Canada,CAN,,,,99.46710968017581,,,5.16779327392578,,84.8774452209473
Cayman Islands,CYM,,,12.807429949442566,,7.108454942703251,,,,
Central African Republic,CAF,36.75261,41.2571907043457,85.08977699279782,68.85615348815915,71.66696166992183,2.6909999847412123,1.24374000231425,11.721983273824067,3.526749968528745
Chad,TCD,,33.810541915893566,61.9018730163574,71.0818214416504,31.64014434814455,2.111853281656903,2.321307992935182,,
Channel Islands,CHI,,,,,,,,,
Chile,CHL,97.17458333333333,96.74811299641931,21.816183471679675,93.83235015869138,21.27509384155276,73.97087326049805,4.327332019805906,81.13446960449218,82.8852310180664
China,CHN,95.12448,107.35088157653824,16.90998992919922,,15.194977951049799,25.73663787841798,,,
Colombia,COL,93.39918333333334,116.35556182861339,27.010280227661163,95.76391601562499,26.05550575256346,43.262052154541024,4.664444065093994,79.29715728759766,44.17338027954099
Comoros,COM,49.19614,73.5740280151367,27.777345657348647,85.2704162597656,8.70555019378662,7.338475894927976,4.709086577097576,43.8596496582031,19.5877799987793
"Congo, Dem. Rep.",COD,75.01719,63.64242095947263,36.70526809692384,,15.345240020751959,7.220072507858275,1.9235649704933149,,
"Congo, Rep.",COG,79.31117,73.32365226745608,51.26529884338378,91.09158706665039,18.6760292053223,8.95699489116668,6.2178897857666,,
Costa Rica,CRI,97.40658,100.72584228515623,16.7350299358368,99.126220703125,15.053827524185175,48.83767064412433,6.536277961730955,74.89502716064453,40.494243621826165
Cote d'Ivoire,CIV,40.98163,52.98353290557863,43.422712326049776,63.5298843383789,,7.266172409057618,4.489276027679445,,
Croatia,HRV,99.12536,92.65676879882808,14.136797428131125,95.89405212402347,8.071250081062315,58.12303085327149,4.343972563743592,97.84781265258789,
Cuba,CUB,99.75253,96.97825164794922,9.158735847473144,98.34735260009768,9.134300231933592,82.05258178710946,12.9812150001526,93.835791015625,78.36354370117188
Curacao,CUW,,,,,,20.3126392364502,4.93095016479492,,
Cyprus,CYP,98.67843,100.5212417602539,13.761028099060042,98.67613067626951,9.721532058715818,48.0488067626953,6.69713246822357,94.65477447509768,87.5120468139648
Czech Republic,CZE,,103.11454010009761,18.7870620727539,,11.239240074157701,64.41087875366212,4.175110054016114,,
Denmark,DNK,,98.93911285400391,,97.48944854736327,,77.04228057861329,8.3212158203125,92.42831878662109,66.0537872314453
Djibouti,DJI,,50.447910308837905,34.630922317504876,54.53090286254883,27.3253378868103,3.95469339688619,4.48079013824463,,
Dominica,DMA,,93.39544677734379,15.741741943359381,97.1752090454102,13.056833267211934,,,81.19709777832033,53.810325622558594
Dominican Republic,DOM,90.16461000000001,91.29627838134766,24.66011772155762,91.1487564086914,28.132887649536123,46.7269287109375,,57.00870056152344,51.270351409912095
East Asia & Pacific,EAS,95.1082229614258,102.56640319824221,18.314823913574237,96.20325012207033,15.867136001586923,29.52057609558106,,,
East Asia & Pacific (excluding high income),EAP,94.7516708374023,102.6401779174804,18.363205718994116,95.97351989746093,16.117354202270498,26.439715957641624,,,
Ecuador,ECU,90.601452,107.0962314605711,22.270492553710948,96.83704833984376,20.8087854385376,40.17218589782715,4.6448901176452635,74.14313888549808,55.12045669555667
"Egypt, Arab Rep.",EGY,73.65805666666667,102.93385060628235,26.057316462198866,98.69672012329097,12.1341104507446,29.06013793945312,,89.5707626342773,
El Salvador,SLV,85.214295,106.56990356445299,30.14504528045655,95.8910858154297,24.35409927368165,27.49630012512206,3.528157997131344,68.10090179443361,41.43501129150392
Equatorial Guinea,GNQ,,49.01250839233397,26.36523246765135,54.73214912414548,,,,,
Eritrea,ERI,,42.459562683105474,40.698152923584004,40.536468505859396,39.48904495239258,2.125149965286255,,28.255756378173817,16.725489807128902
Estonia,EST,99.88579,102.5112335205079,11.68979797363282,98.8070816040039,8.689669990539551,70.04425964355464,5.21212615966797,95.11082153320312,82.6417999267578
Ethiopia,ETH,,53.127052307128935,55.6894709269206,77.22804069519043,42.79259300231933,7.120457410812376,4.894798088073729,31.841117858886726,
Euro area,EMU,,98.72091827392578,12.9564081192017,99.0707946777344,11.43509578704836,66.97945098876953,,,
Europe & Central Asia,ECS,98.9975891113281,98.44972991943357,14.751672172546401,97.22813720703127,11.42576389312744,62.36359634399412,,,
Europe & Central Asia (excluding high income),ECA,98.7996368408203,98.74805450439459,18.09330978393556,95.10608978271486,11.410572052001958,59.07067947387694,,,
European Union,EUU,,98.02829132080078,13.2116958618164,98.64483184814452,11.5836601257324,65.87081909179686,,,
Faroe Islands,FRO,,,,,,,,,
Fiji,FJI,,104.02877998352024,29.3784952163696,98.54025650024415,22.879055023193402,,4.184809923171996,88.99514516194664,59.375272115071596
Finland,FIN,,98.362646484375,13.62091789245604,98.54122619628906,10.254088020324707,93.17937927246093,6.772724056243897,95.37616119384765,88.8633575439453
France,FRA,,,18.00116958618164,99.1628112792969,12.72802181243898,58.44505310058594,5.589389991760254,94.78395538330078,87.904182434082
French Polynesia,PYF,,,,,,,,,
Gabon,GAB,82.2838,,24.5309791564941,,,,3.027205049991605,,
"Gambia, The",GMB,41.95005,70.47327041625978,36.2742929458618,70.5522518157959,,2.897890011469523,3.5964819431304926,48.05621910095215,
Georgia,GEO,,109.84011459350576,9.00753498077392,99.657527923584,7.527100086212155,29.92255744934082,2.6339732805887834,86.93358612060545,75.02530670166016
Germany,DEU,,101.7875640869144,12.160903930664059,99.65205383300778,12.864864158630379,61.0564193725586,4.89336214065552,,
Ghana,GHA,71.49707,93.79318237304685,32.2048101425171,82.34021949768066,18.085792541503874,11.896250009536736,6.603267955780031,41.7461910247803,11.1799697875977
Gibraltar,GIB,,,16.0344791412354,,5.87588977813721,,,,
Greece,GRC,95.51693,97.75052452087405,9.345375061035154,97.88272476196289,7.71531009674072,107.746307373047,,95.88751602172854,89.5271224975586
Greenland,GRL,,,,,,,,,
Grenada,GRD,,109.03916676839201,15.981503168741867,97.93553161621091,15.0991865793864,52.7773399353027,,85.7559127807617,50.29945945739745
Guam,GUM,,,,,,,,,
Guatemala,GTM,77.651765,85.13772430419925,26.06015434265138,95.88529663085936,13.89923992156984,18.3258399963379,2.8806949853897126,45.069378662109386,24.453014850616427
Guinea,GIN,25.30774,58.96187114715575,43.544104003906256,72.34107055664063,33.1355400085449,9.991563987731947,3.199429988861084,30.3503093719482,
Guinea-Bissau,GNB,,62.1748199462891,51.9251518249512,69.23095703125,,,1.9687200188636775,,
Guyana,GUY,84.99401,85.9998664855957,24.484075069427476,84.58617782592773,21.119364738464373,12.728087425231925,3.451169967651367,85.1507453918457,56.0162582397461
Haiti,HTI,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,57.83716583251951,64.96544647216797,42.391796112060554,77.65465698242187,23.597208023071303,7.307007980346678,,,
High income,HIC,,98.09013671875002,14.1367359161377,96.8610549926758,12.7255500793457,73.32542724609372,,,
Honduras,HND,85.1746575,96.98587646484376,33.8764495849609,96.43430023193359,,20.784772872924833,5.86775016784667,48.0282592773438,25.248779296875
"Hong Kong SAR, China",HKG,,,14.849138069152861,,15.708623886108379,60.4667205810547,3.7155700206756586,92.47259979248051,73.12819595336914
Hungary,HUN,,98.5364894866943,10.49955596923828,97.5190155029297,10.21475219726562,59.67787628173828,4.655235052108765,95.59700622558593,88.2000732421875
Iceland,ISL,,98.25417518615723,9.828273137410479,98.82420959472654,,79.42138977050782,7.455048084259036,97.62300491333008,
India,IND,69.30256,95.0059534708659,33.736478805542006,96.46455841064456,26.79299736022947,21.02625770568844,3.6563640117645284,74.6149673461914,44.6013793945313
Indonesia,IDN,92.696805,99.83412933349616,18.490912246704102,95.67183227539063,14.30591201782226,27.140620040893555,3.258064031600952,77.49969024658202,61.5463981628418
"Iran, Islamic Rep.",IRN,84.126395,103.53528785705575,23.07149505615235,99.49159545898439,17.5510501861572,48.04573974609372,3.577938032150268,88.46428680419919,72.5367889404297
Iraq,IRQ,43.68328,,,,,,,,
Ireland,IRL,,,15.811609745025628,99.45590057373047,,65.4942687988281,5.809846019744876,97.99964141845703,
Isle of Man,IMN,,,,,,,,,
Israel,ISR,,102.71145935058601,12.686477422714225,97.26022338867185,9.76438999176025,65.59401702880861,5.6351719856262195,94.30301971435546,91.9764862060547
Italy,ITA,98.84828,102.12690124511721,12.0342302322388,99.23397216796874,11.375470161438,65.53654022216799,4.305912494659422,97.77610015869142,88.7811508178711
Jamaica,JAM,,,22.508846282958967,,15.759440104166666,26.785049438476562,6.242488002777099,72.98050689697266,50.2474708557129
Japan,JPN,,101.54821205139174,17.42870368957518,99.9529556274414,11.8311948776245,59.909474182128896,3.660334944725035,99.91751098632812,97.0718231201172
Jordan,JOR,95.44860333333334,86.4511489868164,,88.81641960144043,,43.322700500488274,,88.5156478881836,
Kazakhstan,KAZ,99.75702000000001,107.35116882324239,16.33720436096192,99.43439636230471,,48.99135780334473,3.06209993362427,98.862255859375,94.32090759277341
Kenya,KEN,,,50.008909225463896,85.113151550293,33.2995109558105,4.04682016372681,5.4414048194885245,33.2332992553711,30.0158405303955
Kiribati,KIR,,,,,,,,,
"Korea, Dem. People’s Rep.",PRK,,97.4287567138672,21.9999694824219,96.9731292724609,19.9999408721924,30.59167003631595,,96.6603317260742,98.4383926391602
"Korea, Rep.",KOR,,102.68628234863282,19.415570068359358,98.47729034423828,16.69035778045654,97.94073181152345,4.6521501541137695,95.68492279052737,91.1089172363281
Kosovo,XKX,,,,,,,,,
