university_id,university_name,country_id,country_name
U00001,Aalborg University,C0042,Denmark
U00002,Aalto University,C0051,Finland
U00003,Aarhus University,C0042,Denmark
U00004,Abai Kazakh National Pedagogical University,C0079,Kazakhstan
U00005,Abbes Laghrour University Of Khenchala,C0002,Algeria
U00006,Abbottabad University Of Science And Technology,C0123,Pakistan
U00007,Abdelhafid Boussouf University Center Of Mila,C0002,Algeria
U00008,Abdelmalek Essaãâdi University,C0111,Morocco
U00009,Abdul Wali Khan University Mardan,C0123,Pakistan
U00010,Abdullah Gãâ¼L University,C0164,Turkey
U00011,Abertay University,C0170,United Kingdom
U00012,Aberystwyth University,C0170,United Kingdom
U00013,Abia State University,C0118,Nigeria
U00014,Abo Akademi University,C0051,Finland
U00015,Abrar University,C0147,Somalia
U00016,Abu Dhabi University,C0169,United Arab Emirates
U00017,Academy Of Economic Studies Of Moldova,C0108,Moldova
U00018,Acharya Nagarjuna University,C0067,India
U00019,Acãâbadem University,C0164,Turkey
U00020,Ada Kent University,C0120,Northern Cyprus
U00021,Adam Mickiewicz University Poznan,C0131,Poland
U00022,Adam Mickiewicz University Poznaã Â,C0131,Poland
U00023,Adamawa State University Mubi,C0118,Nigeria
U00024,Addis Ababa University,C0049,Ethiopia
U00025,Adelphi University,C0171,United States
U00026,Adolfo Ibãâãâez University,C0031,Chile
U00027,Adventist University Of Central Africa,C0138,Rwanda
U00028,Aecc University College,C0170,United Kingdom
U00029,Afe Babalola University,C0118,Nigeria
U00030,Aga Khan University,C0123,Pakistan
U00031,Agh University Of Krakow,C0131,Poland
U00032,Agh University Of Science And Technology,C0131,Poland
U00033,Ahl Al Bayt University,C0072,Iraq
U00034,Ahlia University,C0011,Bahrain
U00035,Ahvaz Jundishapur University Of Medical Sciences Ajums,C0069,Iran
U00036,Aichi Medical University,C0077,Japan
U00037,Aichi Prefectural University,C0077,Japan
U00038,Ain Shams University,C0045,Egypt
U00039,Air University,C0123,Pakistan
U00040,Airlangga University,C0068,Indonesia
U00041,Aixmarseille University,C0052,France
U00042,Ajeenkya Dy Patil University,C0067,India
U00043,Ajman University,C0169,United Arab Emirates
U00044,Ajou University,C0149,South Korea
U00045,Akdeniz University,C0164,Turkey
U00046,Akdeniz Ãniversitesi,C0164,Turkey
U00047,Akhmet Yassawi University,C0079,Kazakhstan
U00048,Akita Prefectural University,C0077,Japan
U00049,Akita University,C0077,Japan
U00050,Akli Mohand Oulhadj Bouira University,C0002,Algeria
U00051,Aksaray University,C0164,Turkey
U00052,Akwa Ibom State University,C0118,Nigeria
U00053,Al Ain University,C0169,United Arab Emirates
U00054,Al Akhawayn University,C0111,Morocco
U00055,Al Albayt University,C0078,Jordan
U00056,Al Safwa University College,C0072,Iraq
U00057,Al Turath University,C0072,Iraq
U00058,Alagappa University,C0067,India
U00059,Alahliyya Amman University,C0078,Jordan
U00060,Alayen University,C0072,Iraq
U00061,Alazhar University,C0045,Egypt
U00062,Albaha University,C0140,Saudi Arabia
U00063,Albalqa Applied University,C0078,Jordan
U00064,Albayan University,C0072,Iraq
U00065,Albaydha University,C0180,Yemen
U00066,Albertludwigsuniversitaet Freiburg,C0054,Germany
U00067,Alesraa University College,C0072,Iraq
U00068,Alex Ekwueme Federal University Ndufualike,C0118,Nigeria
U00069,Alexandria University,C0045,Egypt
U00070,Alexandru Ioan Cuza University,C0135,Romania
U00071,Alfaisal University,C0140,Saudi Arabia
U00072,Alfarabi Kazakh National University,C0079,Kazakhstan
U00073,Alfarabi University College,C0072,Iraq
