country_id,year,indicator,value
C0060,2015,"Gross enrolment ratio, tertiary, both sexes (%)",73.74691772
C0093,2015,"Gross enrolment ratio, tertiary, both sexes (%)",7.626870155
C0094,2015,"Gross enrolment ratio, tertiary, both sexes (%)",23.12346077
C0107,2015,"Gross enrolment ratio, tertiary, both sexes (%)",33.27363968
C0172,2015,"Gross enrolment ratio, tertiary, both sexes (%)",46.91585922
C0179,2015,"Gross enrolment ratio, tertiary, both sexes (%)",35.69255829
C0001,2015,"Gross enrolment ratio, tertiary, both sexes (%)",58.10995102
C0002,2015,"Gross enrolment ratio, tertiary, both sexes (%)",36.92227936
C0003,2015,"Adult literacy rate, population 15+ years, both sexes (%)",100.0
C0004,2015,"Gross enrolment ratio, tertiary, both sexes (%)",9.308019638
C0005,2015,"Adult literacy rate, population 15+ years, both sexes (%)",98.09
C0006,2015,"Gross enrolment ratio, tertiary, both sexes (%)",44.30950165
C0007,2015,"Gross enrolment ratio, tertiary, both sexes (%)",15.27377987
C0009,2015,"Gross enrolment ratio, tertiary, both sexes (%)",81.54051208
C0010,2015,"Adult literacy rate, population 15+ years, both sexes (%)",99.78806
C0010,2015,"Gross enrolment ratio, tertiary, both sexes (%)",25.48320007
C0011,2015,"Gross enrolment ratio, tertiary, both sexes (%)",43.26322937
C0013,2015,"Gross enrolment ratio, tertiary, both sexes (%)",87.94074249
C0014,2015,"Gross enrolment ratio, tertiary, both sexes (%)",75.03682709
C0015,2015,"Gross enrolment ratio, tertiary, both sexes (%)",23.29034996
C0016,2015,"Gross enrolment ratio, tertiary, both sexes (%)",24.30069923
C0017,2015,"Adult literacy rate, population 15+ years, both sexes (%)",92.45508
C0019,2015,"Gross enrolment ratio, tertiary, both sexes (%)",27.53108978
C0020,2015,"Gross enrolment ratio, tertiary, both sexes (%)",50.60491943
C0021,2015,"Gross enrolment ratio, tertiary, both sexes (%)",41.64149094
C0023,2015,"Gross enrolment ratio, tertiary, both sexes (%)",30.84477997
C0024,2015,"Gross enrolment ratio, tertiary, both sexes (%)",73.93419647
C0026,2015,"Adult literacy rate, population 15+ years, both sexes (%)",86.79029
C0026,2015,"Gross enrolment ratio, tertiary, both sexes (%)",21.70782089
C0027,2015,"Gross enrolment ratio, tertiary, both sexes (%)",13.0882597
C0028,2015,"Gross enrolment ratio, tertiary, both sexes (%)",17.47789955
C0030,2015,"Adult literacy rate, population 15+ years, both sexes (%)",26.00299
C0031,2015,"Gross enrolment ratio, tertiary, both sexes (%)",88.5772934
C0032,2015,"Gross enrolment ratio, tertiary, both sexes (%)",43.39176941
C0034,2015,"Adult literacy rate, population 15+ years, both sexes (%)",94.24505
C0034,2015,"Gross enrolment ratio, tertiary, both sexes (%)",55.65726852
C0036,2015,"Gross enrolment ratio, tertiary, both sexes (%)",53.62966156
C0037,2015,"Gross enrolment ratio, tertiary, both sexes (%)",9.155269623
C0038,2015,"Gross enrolment ratio, tertiary, both sexes (%)",69.05249023
C0039,2015,"Gross enrolment ratio, tertiary, both sexes (%)",36.28039932
C0040,2015,"Gross enrolment ratio, tertiary, both sexes (%)",60.10123062
C0041,2015,"Gross enrolment ratio, tertiary, both sexes (%)",64.96671295
C0042,2015,"Gross enrolment ratio, tertiary, both sexes (%)",82.78697205
C0043,2015,"Adult literacy rate, population 15+ years, both sexes (%)",91.99121
C0043,2015,"Gross enrolment ratio, tertiary, both sexes (%)",50.11639023
C0044,2015,"Adult literacy rate, population 15+ years, both sexes (%)",94.45566
C0046,2015,"Gross enrolment ratio, tertiary, both sexes (%)",36.22853851
C0047,2015,"Adult literacy rate, population 15+ years, both sexes (%)",87.96985
C0047,2015,"Gross enrolment ratio, tertiary, both sexes (%)",29.1310997
C0048,2015,"Gross enrolment ratio, tertiary, both sexes (%)",69.5504303
C0051,2015,"Gross enrolment ratio, tertiary, both sexes (%)",87.28970337
C0053,2015,"Gross enrolment ratio, tertiary, both sexes (%)",43.41952896
C0054,2015,"Gross enrolment ratio, tertiary, both sexes (%)",68.26558685
C0055,2015,"Gross enrolment ratio, tertiary, both sexes (%)",16.23051071
C0057,2015,"Adult literacy rate, population 15+ years, both sexes (%)",100.0
C0058,2015,"Gross enrolment ratio, tertiary, both sexes (%)",91.14774323
C0059,2015,"Gross enrolment ratio, tertiary, both sexes (%)",21.84680939
C0061,2015,"Adult literacy rate, population 15+ years, both sexes (%)",87.90683
C0061,2015,"Gross enrolment ratio, tertiary, both sexes (%)",22.05937004
C0064,2015,"Gross enrolment ratio, tertiary, both sexes (%)",68.47545624
C0065,2015,"Gross enrolment ratio, tertiary, both sexes (%)",50.86220169
C0067,2015,"Gross enrolment ratio, tertiary, both sexes (%)",26.87487984
C0068,2015,"Adult literacy rate, population 15+ years, both sexes (%)",95.21793
C0068,2015,"Gross enrolment ratio, tertiary, both sexes (%)",24.25494003
C0070,2015,"Gross enrolment ratio, tertiary, both sexes (%)",71.88114166
C0073,2015,"Gross enrolment ratio, tertiary, both sexes (%)",83.77778625
C0074,2015,"Gross enrolment ratio, tertiary, both sexes (%)",64.7467804
C0075,2015,"Gross enrolment ratio, tertiary, both sexes (%)",62.49607086
C0076,2015,"Gross enrolment ratio, tertiary, both sexes (%)",27.22027016
C0078,2015,"Gross enrolment ratio, tertiary, both sexes (%)",44.86951828
C0079,2015,"Gross enrolment ratio, tertiary, both sexes (%)",46.03990936
C0081,2015,"Gross enrolment ratio, tertiary, both sexes (%)",28.05944061
C0082,2015,"Gross enrolment ratio, tertiary, both sexes (%)",93.17913818
C0084,2015,"Adult literacy rate, population 15+ years, both sexes (%)",95.68545
C0085,2015,"Gross enrolment ratio, tertiary, both sexes (%)",46.90145111
C0087,2015,"Gross enrolment ratio, tertiary, both sexes (%)",16.90589905
C0089,2015,"Gross enrolment ratio, tertiary, both sexes (%)",38.48477173
C0091,2015,"Gross enrolment ratio, tertiary, both sexes (%)",33.54204178
C0097,2015,"Gross enrolment ratio, tertiary, both sexes (%)",75.59884644
C0099,2015,"Gross enrolment ratio, tertiary, both sexes (%)",42.06335068
C0100,2015,"Adult literacy rate, population 15+ years, both sexes (%)",62.14354
C0101,2015,"Gross enrolment ratio, tertiary, both sexes (%)",26.07408905
C0102,2015,"Adult literacy rate, population 15+ years, both sexes (%)",33.06889
C0103,2015,"Gross enrolment ratio, tertiary, both sexes (%)",47.42187119
C0104,2015,"Gross enrolment ratio, tertiary, both sexes (%)",5.621729851
C0105,2015,"Adult literacy rate, population 15+ years, both sexes (%)",92.7076
C0105,2015,"Gross enrolment ratio, tertiary, both sexes (%)",36.66756821
C0106,2015,"Adult literacy rate, population 15+ years, both sexes (%)",94.47228
C0108,2015,"Gross enrolment ratio, tertiary, both sexes (%)",41.2134819
C0109,2015,"Gross enrolment ratio, tertiary, both sexes (%)",68.5670166
C0111,2015,"Gross enrolment ratio, tertiary, both sexes (%)",28.14357948
C0112,2015,"Gross enrolment ratio, tertiary, both sexes (%)",6.390520096
C0115,2015,"Gross enrolment ratio, tertiary, both sexes (%)",14.93994999
C0117,2015,"Gross enrolment ratio, tertiary, both sexes (%)",83.93132019
C0121,2015,"Gross enrolment ratio, tertiary, both sexes (%)",76.69638062
C0122,2015,"Adult literacy rate, population 15+ years, both sexes (%)",93.03861
C0123,2015,"Gross enrolment ratio, tertiary, both sexes (%)",9.927390099
C0124,2015,"Adult literacy rate, population 15+ years, both sexes (%)",96.59374
C0128,2015,"Adult literacy rate, population 15+ years, both sexes (%)",95.0727
C0129,2015,"Adult literacy rate, population 15+ years, both sexes (%)",94.16234
C0132,2015,"Gross enrolment ratio, tertiary, both sexes (%)",61.87419128
C0134,2015,"Gross enrolment ratio, tertiary, both sexes (%)",14.51807976
C0135,2015,"Gross enrolment ratio, tertiary, both sexes (%)",53.22021866
C0137,2015,"Gross enrolment ratio, tertiary, both sexes (%)",80.39408112
C0138,2015,"Gross enrolment ratio, tertiary, both sexes (%)",7.897079945
C0139,2015,"Gross enrolment ratio, tertiary, both sexes (%)",13.4060297
C0140,2015,"Gross enrolment ratio, tertiary, both sexes (%)",63.06621933
C0141,2015,"Gross enrolment ratio, tertiary, both sexes (%)",10.38665962
C0142,2015,"Gross enrolment ratio, tertiary, both sexes (%)",58.28768921
C0143,2015,"Gross enrolment ratio, tertiary, both sexes (%)",14.25619984
C0144,2015,"Adult literacy rate, population 15+ years, both sexes (%)",96.82549
C0148,2015,"Adult literacy rate, population 15+ years, both sexes (%)",94.36792
C0150,2015,"Adult literacy rate, population 15+ years, both sexes (%)",98.14326
C0150,2015,"Gross enrolment ratio, tertiary, both sexes (%)",89.67014313
C0151,2015,"Gross enrolment ratio, tertiary, both sexes (%)",19.79661942
C0152,2015,"Gross enrolment ratio, tertiary, both sexes (%)",79.56452942
C0153,2015,"Gross enrolment ratio, tertiary, both sexes (%)",16.76589012
C0155,2015,"Gross enrolment ratio, tertiary, both sexes (%)",62.30076981
C0156,2015,"Gross enrolment ratio, tertiary, both sexes (%)",57.67219162
C0157,2015,"Gross enrolment ratio, tertiary, both sexes (%)",44.04861832
C0159,2015,"Gross enrolment ratio, tertiary, both sexes (%)",26.37450027
C0160,2015,"Adult literacy rate, population 15+ years, both sexes (%)",77.88723
C0161,2015,"Adult literacy rate, population 15+ years, both sexes (%)",92.86831
C0161,2015,"Gross enrolment ratio, tertiary, both sexes (%)",48.85744095
C0162,2015,"Adult literacy rate, population 15+ years, both sexes (%)",63.74562
C0162,2015,"Gross enrolment ratio, tertiary, both sexes (%)",10.62596035
C0163,2015,"Gross enrolment ratio, tertiary, both sexes (%)",34.60657883
C0164,2015,"Adult literacy rate, population 15+ years, both sexes (%)",95.60142
C0164,2015,"Gross enrolment ratio, tertiary, both sexes (%)",94.7322998
C0171,2015,"Gross enrolment ratio, tertiary, both sexes (%)",85.79577637
C0173,2015,"Adult literacy rate, population 15+ years, both sexes (%)",98.52387
C0173,2015,"Gross enrolment ratio, tertiary, both sexes (%)",55.56626892
C0174,2015,"Adult literacy rate, population 15+ years, both sexes (%)",99.98383
C0174,2015,"Gross enrolment ratio, tertiary, both sexes (%)",8.787750244
C0176,2015,"Adult literacy rate, population 15+ years, both sexes (%)",96.60522
C0177,2015,"Gross enrolment ratio, tertiary, both sexes (%)",28.83564949
C0178,2015,"Adult literacy rate, population 15+ years, both sexes (%)",96.69073
C0178,2015,"Gross enrolment ratio, tertiary, both sexes (%)",44.28321838
C0182,2015,"Gross enrolment ratio, tertiary, both sexes (%)",8.433270454
C0003,2016,"Adult literacy rate, population 15+ years, both sexes (%)",100.0
C0010,2016,"Adult literacy rate, population 15+ years, both sexes (%)",99.79006
C0012,2016,"Adult literacy rate, population 15+ years, both sexes (%)",72.75872
C0019,2016,"Gross enrolment ratio, tertiary, both sexes (%)",23.4330101
C0025,2016,"Gross enrolment ratio, tertiary, both sexes (%)",5.562180042
C0030,2016,"Adult literacy rate, population 15+ years, both sexes (%)",22.31155
C0035,2016,"Adult literacy rate, population 15+ years, both sexes (%)",77.04268
C0044,2016,"Adult literacy rate, population 15+ years, both sexes (%)",94.35023
C0061,2016,"Adult literacy rate, population 15+ years, both sexes (%)",88.98748
C0068,2016,"Adult literacy rate, population 15+ years, both sexes (%)",95.37697
C0079,2016,"Gross enrolment ratio, tertiary, both sexes (%)",46.26382065
C0097,2016,"Adult literacy rate, population 15+ years, both sexes (%)",96.53849
C0104,2016,"Gross enrolment ratio, tertiary, both sexes (%)",5.343410015
C0113,2016,"Adult literacy rate, population 15+ years, both sexes (%)",75.5512
C0129,2016,"Adult literacy rate, population 15+ years, both sexes (%)",94.17367
