university_id,year,research_score,research_impact,research_productivity
U02990,2024,100,99,99.5
U01937,2024,97.8,99.6,98.7
U01254,2024,96.2,99.7,97.95
U00738,2024,99.9,99.4,99.65
U02662,2024,100,98,99
U01663,2024,97.9,98.8,98.35
U00317,2024,98,95.9,96.95
U00814,2024,95.5,98.6,97.05
U02649,2024,98.8,99,98.9
U03449,2024,94.9,97.7,96.3
U00566,2024,96.8,95.6,96.2
U02182,2024,98.1,93.2,95.65
U02103,2024,91.2,97.6,94.4
U01587,2024,97.3,87.2,92.25
U00976,2024,92.3,97.2,94.75
U03002,2024,89.7,97.6,93.65
U00433,2024,89.7,97.4,93.55
U02653,2024,91.9,96.4,94.15
U01441,2024,94,95.4,94.7
U00444,2024,88.7,97.6,93.15
U03162,2024,94.1,92.8,93.45
U02199,2024,86.4,98.6,92.5
U02914,2024,87.4,95.5,91.45
U00333,2024,84.6,98.9,91.75
U03207,2024,83.5,98.2,90.85
U00516,2024,76.1,96.2,86.15
U01459,2024,84,94.9,89.45
U01501,2024,78.8,97.8,88.3
U02126,2024,94.2,67.8,81
U02731,2024,77.5,96.9,87.2
U02034,2024,85.1,90,87.55
U01366,2024,80.9,94.5,87.7
U03525,2024,73.2,90.3,81.75
U02657,2024,78.4,97.6,88
U02794,2024,72.3,96.4,84.35
U00671,2024,78.9,94.1,86.5
U02909,2024,76.4,90.1,83.25
U01085,2024,75.1,97.7,86.4
U01189,2024,76.8,92.2,84.5
U01577,2024,72.8,83.2,78
U02639,2024,76.6,90.5,83.55
U02808,2024,81.5,85.2,83.35
U01840,2024,82.5,75.4,78.95
U00642,2024,75.3,83.5,79.4
U01122,2024,74.9,91.9,83.4
U01200,2024,73.5,95.4,84.45
U03334,2024,64.3,94.6,79.45
U00484,2024,78.2,76.5,77.35
U01260,2024,72.3,88.8,80.55
U01015,2024,67.9,95.3,81.6
U02888,2024,67.1,93.1,80.1
U03130,2024,75.7,91,83.35
U00395,2024,61.5,97.6,79.55
U01311,2024,67.8,94.7,81.25
U01140,2024,84.3,60,72.15
