university_id,year,total_students,students_per_staff,international_students,international_student_percentage
U02990,2023,20965.0,10.6,0.0,42.0
U00738,2023,21887.0,9.6,0.0,25.0
U02662,2023,20185.0,11.3,0.0,39.0
U01937,2023,16164.0,7.1,0.0,24.0
U01254,2023,11415.0,8.2,0.0,33.0
U00317,2023,2237.0,6.2,0.0,34.0
U01663,2023,8279.0,8.0,0.0,23.0
U02649,2023,40921.0,18.4,0.0,24.0
U03449,2023,13482.0,5.9,0.0,21.0
U00814,2023,18545.0,11.2,18545.0,61.0
U00433,2023,21781.0,4.5,0.0,38.0
U00566,2023,21665.0,14.8,0.0,41.0
U02103,2023,15366.0,6.0,0.0,36.0
U03002,2023,21453.0,6.3,0.0,23.0
U00976,2023,17584.0,4.7,0.0,29.0
U02182,2023,38324.0,11.6,0.0,10.0
U01587,2023,31994.0,10.3,0.0,19.0
U03162,2023,77468.0,25.8,0.0,26.0
U01441,2023,32337.0,19.8,0.0,25.0
U00444,2023,24027.0,10.3,0.0,26.0
U02653,2023,42434.0,9.7,0.0,16.0
U02199,2023,36790.0,10.3,36790.0,60.0
U02914,2023,45912.0,8.2,0.0,17.0
U01459,2023,36337.0,9.8,0.0,42.0
U00516,2023,16091.0,4.2,0.0,24.0
U01501,2023,19175.0,13.2,0.0,20.0
U03207,2023,47727.0,10.8,0.0,18.0
U00333,2023,14305.0,12.9,0.0,47.0
U02731,2023,32845.0,11.8,0.0,47.0
U02034,2023,33960.0,40.6,0.0,36.0
U02794,2023,18087.0,18.2,0.0,43.0
U02657,2023,37030.0,11.3,0.0,28.0
U01189,2023,35003.0,34.2,0.0,19.0
U02909,2023,49588.0,23.8,0.0,47.0
U01085,2023,28965.0,11.8,28965.0,52.0
U01366,2023,24651.0,15.1,0.0,25.0
U01200,2023,11120.0,11.9,11120.0,73.0
U00671,2023,28826.0,24.7,0.0,40.0
U02126,2023,26112.0,10.5,0.0,15.0
U02639,2023,56452.0,18.9,0.0,34.0
U03525,2023,11641.0,12.3,11641.0,62.0
U01122,2023,47663.0,36.5,0.0,18.0
U03334,2023,19347.0,13.5,0.0,21.0
U01311,2023,58725.0,42.5,0.0,41.0
U00395,2023,18468.0,19.0,0.0,21.0
U01260,2023,32309.0,12.5,0.0,30.0
U01577,2023,16218.0,15.0,0.0,22.0
U02808,2023,48674.0,17.4,0.0,22.0
U01015,2023,8021.0,9.9,0.0,27.0
U03130,2023,49171.0,17.4,0.0,10.0
U00642,2023,36318.0,11.9,0.0,9.0
U01840,2023,37478.0,11.5,0.0,8.0
U02117,2023,41372.0,34.2,0.0,41.0
U02888,2023,37035.0,14.2,0.0,44.0
U02120,2023,45853.0,19.0,0.0,45.0
U01818,2023,26209.0,15.1,0.0,10.0
U03410,2023,14420.0,7.8,0.0,24.0
U02083,2023,9864.0,21.0,0.0,32.0
U03401,2023,15404.0,18.6,0.0,27.0
U02588,2023,29157.0,14.5,0.0,32.0
U00301,2023,10037.0,10.1,0.0,21.0
U00191,2023,16758.0,14.6,16758.0,51.0
U02651,2023,37639.0,13.1,0.0,18.0
U02659,2023,25860.0,28.5,0.0,20.0
U03093,2023,40549.0,12.6,0.0,22.0
U03352,2023,32532.0,17.1,0.0,13.0
U03486,2023,46124.0,12.0,0.0,16.0
U01140,2023,22269.0,9.2,0.0,12.0
U02966,2023,31080.0,7.9,0.0,8.0
U00484,2023,20299.0,16.1,0.0,31.0
U00287,2023,27243.0,10.8,0.0,31.0
U03336,2023,45133.0,36.3,0.0,40.0
U00373,2023,8429.0,18.0,0.0,21.0
U03060,2023,18573.0,8.1,0.0,6.0
U02772,2023,30009.0,24.4,0.0,28.0
U02638,2023,25680.0,14.6,0.0,31.0
U01174,2023,33648.0,19.3,0.0,20.0
U03469,2023,19481.0,14.7,0.0,17.0
U00770,2023,19046.0,28.9,0.0,30.0
U00552,2023,31668.0,33.9,0.0,22.0
U03217,2023,40701.0,10.0,0.0,14.0
U00549,2023,13190.0,4.2,0.0,20.0
U02765,2023,28540.0,13.5,0.0,41.0
U03235,2023,25003.0,13.7,0.0,22.0
U01261,2023,26403.0,29.0,0.0,20.0
U00784,2023,34399.0,53.2,0.0,17.0
U03179,2023,20620.0,27.5,0.0,13.0
U02572,2023,23102.0,32.8,0.0,32.0
U02629,2023,27210.0,47.5,0.0,17.0
U01900,2023,41443.0,13.9,0.0,21.0
U00636,2023,26497.0,41.9,0.0,23.0
U01113,2023,9946.0,10.7,0.0,9.0
U03329,2023,44443.0,14.9,0.0,19.0
U02620,2023,11728.0,17.2,0.0,17.0
U02652,2023,36655.0,16.9,0.0,28.0
U00855,2023,5999.0,6.7,0.0,41.0
U01360,2023,36426.0,16.5,0.0,8.0
U03362,2023,12696.0,3.8,0.0,15.0
U00415,2023,9099.0,12.1,9099.0,62.0
U01754,2023,39738.0,50.0,0.0,28.0
U02607,2023,8632.0,10.9,0.0,30.0
U01065,2023,31545.0,7.8,0.0,22.0
U02919,2023,61009.0,12.0,0.0,10.0
U02897,2023,33775.0,16.5,0.0,11.0
U03206,2023,23230.0,13.1,0.0,44.0
U01286,2023,45465.0,16.0,0.0,13.0
U00677,2023,39437.0,35.6,0.0,12.0
U02623,2023,31820.0,15.0,0.0,34.0
U03092,2023,21175.0,13.7,0.0,39.0
U02790,2023,23059.0,15.8,0.0,5.0
U02937,2023,38189.0,20.8,0.0,22.0
U01527,2023,55814.0,11.8,0.0,13.0
U02751,2023,20253.0,37.2,0.0,17.0
U02699,2023,31519.0,4.2,0.0,16.0
U03328,2023,62747.0,17.0,0.0,19.0
U03069,2023,27465.0,14.5,0.0,41.0
U00003,2023,26475.0,13.5,0.0,10.0
U02578,2023,32338.0,21.6,0.0,28.0
U02779,2023,30221.0,26.0,0.0,14.0
U01212,2023,28545.0,11.5,0.0,18.0
U03396,2023,29796.0,19.8,0.0,16.0
U01160,2023,14380.0,12.8,0.0,39.0
U00477,2023,6440.0,7.8,0.0,15.0
U01684,2023,20505.0,13.1,0.0,46.0
U03197,2023,35929.0,42.9,0.0,29.0
U02983,2023,21548.0,13.3,0.0,15.0
U01672,2023,44551.0,16.9,0.0,20.0
U02783,2023,30676.0,61.5,0.0,12.0
U02858,2023,33990.0,14.6,0.0,36.0
U02975,2023,32875.0,15.1,0.0,31.0
U02592,2023,15857.0,32.2,0.0,17.0
U02129,2023,18405.0,21.3,0.0,28.0
U03126,2023,27481.0,35.1,0.0,31.0
U00334,2023,10934.0,8.2,0.0,20.0
U02857,2023,13401.0,10.2,0.0,23.0
U00670,2023,16074.0,8.0,0.0,19.0
U02741,2023,24165.0,15.9,0.0,29.0
U02986,2023,36670.0,26.0,0.0,24.0
U02597,2023,33093.0,22.1,0.0,32.0
U01461,2023,25590.0,15.1,0.0,29.0
U01693,2023,21979.0,17.6,0.0,13.0
U03227,2023,23754.0,40.7,0.0,10.0
U03229,2023,17665.0,14.4,0.0,28.0
U03012,2023,26575.0,5.5,0.0,11.0
U01218,2023,19909.0,18.6,19909.0,56.0
