country_name,Country Code,indicator,year,value
High income,HIC,"Gross enrolment ratio, tertiary, both sexes (%)",2015,73.74691772
Low income,LIC,"Gross enrolment ratio, tertiary, both sexes (%)",2015,7.626870155
Lower middle income,LMC,"Gross enrolment ratio, tertiary, both sexes (%)",2015,23.12346077
Middle income,MIC,"Gross enrolment ratio, tertiary, both sexes (%)",2015,33.27363968
Upper middle income,UMC,"Gross enrolment ratio, tertiary, both sexes (%)",2015,46.91585922
World,WLD,"Gross enrolment ratio, tertiary, both sexes (%)",2015,35.69255829
Albania,ALB,"Gross enrolment ratio, tertiary, both sexes (%)",2015,58.10995102
Algeria,DZA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,36.92227936
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",2015,100
Angola,AGO,"Gross enrolment ratio, tertiary, both sexes (%)",2015,9.308019638
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",2015,98.09
Armenia,ARM,"Gross enrolment ratio, tertiary, both sexes (%)",2015,44.30950165
Aruba,ABW,"Gross enrolment ratio, tertiary, both sexes (%)",2015,15.27377987
Austria,AUT,"Gross enrolment ratio, tertiary, both sexes (%)",2015,81.54051208
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, both sexes (%)",2015,99.78806
Azerbaijan,AZE,"Gross enrolment ratio, tertiary, both sexes (%)",2015,25.48320007
Bahrain,BHR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,43.26322937
Belarus,BLR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,87.94074249
Belgium,BEL,"Gross enrolment ratio, tertiary, both sexes (%)",2015,75.03682709
Belize,BLZ,"Gross enrolment ratio, tertiary, both sexes (%)",2015,23.29034996
Bermuda,BMU,"Gross enrolment ratio, tertiary, both sexes (%)",2015,24.30069923
Bolivia,BOL,"Adult literacy rate, population 15+ years, both sexes (%)",2015,92.45508
Botswana,BWA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,27.53108978
Brazil,BRA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,50.60491943
British Virgin Islands,VGB,"Gross enrolment ratio, tertiary, both sexes (%)",2015,41.64149094
Brunei Darussalam,BRN,"Gross enrolment ratio, tertiary, both sexes (%)",2015,30.84477997
Bulgaria,BGR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,73.93419647
Cabo Verde,CPV,"Adult literacy rate, population 15+ years, both sexes (%)",2015,86.79029
Cabo Verde,CPV,"Gross enrolment ratio, tertiary, both sexes (%)",2015,21.70782089
Cambodia,KHM,"Gross enrolment ratio, tertiary, both sexes (%)",2015,13.0882597
Cameroon,CMR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,17.47789955
Chad,TCD,"Adult literacy rate, population 15+ years, both sexes (%)",2015,26.00299
Chile,CHL,"Gross enrolment ratio, tertiary, both sexes (%)",2015,88.5772934
China,CHN,"Gross enrolment ratio, tertiary, both sexes (%)",2015,43.39176941
Colombia,COL,"Adult literacy rate, population 15+ years, both sexes (%)",2015,94.24505
Colombia,COL,"Gross enrolment ratio, tertiary, both sexes (%)",2015,55.65726852
Costa Rica,CRI,"Gross enrolment ratio, tertiary, both sexes (%)",2015,53.62966156
Cote d'Ivoire,CIV,"Gross enrolment ratio, tertiary, both sexes (%)",2015,9.155269623
Croatia,HRV,"Gross enrolment ratio, tertiary, both sexes (%)",2015,69.05249023
Cuba,CUB,"Gross enrolment ratio, tertiary, both sexes (%)",2015,36.28039932
Cyprus,CYP,"Gross enrolment ratio, tertiary, both sexes (%)",2015,60.10123062
Czech Republic,CZE,"Gross enrolment ratio, tertiary, both sexes (%)",2015,64.96671295
Denmark,DNK,"Gross enrolment ratio, tertiary, both sexes (%)",2015,82.78697205
Dominican Republic,DOM,"Adult literacy rate, population 15+ years, both sexes (%)",2015,91.99121
Dominican Republic,DOM,"Gross enrolment ratio, tertiary, both sexes (%)",2015,50.11639023
Ecuador,ECU,"Adult literacy rate, population 15+ years, both sexes (%)",2015,94.45566
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, tertiary, both sexes (%)",2015,36.22853851
El Salvador,SLV,"Adult literacy rate, population 15+ years, both sexes (%)",2015,87.96985
El Salvador,SLV,"Gross enrolment ratio, tertiary, both sexes (%)",2015,29.1310997
Estonia,EST,"Gross enrolment ratio, tertiary, both sexes (%)",2015,69.5504303
Finland,FIN,"Gross enrolment ratio, tertiary, both sexes (%)",2015,87.28970337
Georgia,GEO,"Gross enrolment ratio, tertiary, both sexes (%)",2015,43.41952896
Germany,DEU,"Gross enrolment ratio, tertiary, both sexes (%)",2015,68.26558685
Ghana,GHA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,16.23051071
Greenland,GRL,"Adult literacy rate, population 15+ years, both sexes (%)",2015,100
Grenada,GRD,"Gross enrolment ratio, tertiary, both sexes (%)",2015,91.14774323
Guatemala,GTM,"Gross enrolment ratio, tertiary, both sexes (%)",2015,21.84680939
