institution_name,location,region,size,focus,res,status,rank_2025,rank_2024,overall,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,rank_update
Massachusetts Institute of Technology (MIT),United States,Americas,Medium,Comprehensive,Very High,Private,1,1,100,100,100,100,100,99.3,86.8,96,100,99,0
Imperial College London,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,2,6,98.5,98.5,99.5,98.2,93.9,100,99.6,97.4,93.4,99.7,4
University of Oxford,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,3,3,96.9,100,100,100,84.8,98.1,97.7,100,100,85,0
Harvard University,United States,Americas,Large,Full Comprehensive,Very High,Private,4,4,96.8,100,100,96.3,100,74.1,69,99.6,100,84.4,0
University of Cambridge,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,5,2,96.7,100,100,100,84.6,100,94.8,99.3,100,84.8,-3
Stanford University,United States,Americas,Large,Full Comprehensive,Very High,Private,6,5,96.1,100,100,100,99,70.3,60.8,96.8,100,81.2,-1
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,Large,Foucsed,Very High,Public,7,7,93.9,98.8,87.2,65.9,97.9,100,98.6,95.7,90.5,98.8,0
National University of Singapore (NUS),Singapore,Asia,Extra Large,Full Comprehensive,Very High,Public,8,8,93.7,99.5,91.1,68.8,93.1,100,88.9,91.6,100,97.7,0
UCL,United Kingdom,Europe,Extra Large,Full Comprehensive,Very High,Public,9,9,91.6,99.5,98.3,95.9,72.2,99,100,99.9,70.3,74.8,0
California Institute of Technology (Caltech),United States,Americas,Small,Comprehensive,Very High,Private,10,15,90.9,96.5,95.3,100,100,100,79.8,65.5,31,62.5,5
University of Pennsylvania,United States,Americas,Large,Full Comprehensive,Very High,Private,11,12,90.3,96.3,91.9,99.8,74,90.9,66.2,91.9,100,93,1
University of California  Berkeley (UCB),United States,Americas,Extra Large,Full Comprehensive,Very High,Public,12,10,90.1,100,100,23.5,98.2,91.5,61,97.2,98.4,100,-2
The University of Melbourne,Australia,Oceania,Extra Large,Full Comprehensive,Very High,Public,13,14,88.9,98.5,93.9,15.4,93,95.1,99.8,97.4,96.5,99.6,1
Peking University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,14,17,88.5,99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2,46.9,3
Nanyang Technological University  Singapore (NTU),Singapore,Asia,Large,Full Comprehensive,Very High,Public,15,26,88.4,91.9,73.3,80.6,92.4,100,83.5,89.4,83.9,95.6,11
Cornell University,United States,Americas,Large,Full Comprehensive,Very High,Private,16,13,87.9,98.3,93.1,52.7,97.5,54.2,63.4,94,97.1,72.1,-3
The University of Hong Kong,Hong Kong SAR,Asia,Large,Full Comprehensive,Very High,Public,17,26,87.6,97.4,59.4,81.2,86.4,100,99.3,81.4,99.7,89.2,9
The University of Sydney,Australia,Oceania,Extra Large,Full Comprehensive,Very High,Public,18,19,87.3,96.4,90,10.9,93.7,99.9,100,95.8,93.1,99.6,1
The University of New South Wales (UNSW Sydney),Australia,Oceania,Extra Large,Full Comprehensive,Very High,Public,19,19,87.1,90.5,90.4,20.6,94.9,100,99.4,98.3,97.7,99.2,0
