university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,university_id
University of Oxford,university of oxford,United Kingdom,united kingdom,1.0,98.5,96.6,100.0,99.0,98.7,97.5,10.9,42.0,49.0,U0003
Stanford University,stanford university,United States,united states,2.0,98.0,99.0,97.8,99.6,100.0,87.0,6.4,23.0,47.0,U0006
Massachusetts Institute of Technology,massachusetts institute of technology,United States,united states,3.0,97.9,98.6,96.2,99.7,100.0,93.8,8.0,33.0,41.0,U1504
Harvard University,harvard university,United States,united states,4.0,97.8,97.7,99.9,99.4,84.2,90.8,9.0,25.0,51.0,U0004
University of Cambridge,university of cambridge,United Kingdom,united kingdom,5.0,97.5,95.8,100.0,98.0,87.9,97.4,11.5,38.0,48.0,U0005
Princeton University,princeton university,United States,united states,6.0,96.9,96.3,97.9,98.8,95.1,89.1,7.3,23.0,47.0,U0022
California Institute of Technology,california institute of technology,United States,united states,7.0,96.5,96.6,98.0,95.9,100.0,90.6,6.1,33.0,37.0,U1505
Imperial College London,imperial college london,United Kingdom,united kingdom,8.0,95.1,90.9,95.5,98.6,90.9,98.3,11.8,61.0,42.0,U0002
"University of California, Berkeley","university of california, berkeley",United States,united states,9.0,94.6,87.2,98.8,99.0,99.4,86.8,17.9,22.0,52.0,U1506
Yale University,yale university,United States,united states,10.0,94.2,94.0,94.9,97.7,86.5,82.4,5.2,21.0,51.0,U0023
ETH Zurich,eth zurich,Switzerland,switzerland,11.0,93.1,87.6,96.8,95.6,82.9,95.6,15.4,43.0,33.0,U1507
Tsinghua University,tsinghua university,China,china,12.0,92.4,95.3,98.1,93.2,99.9,51.7,11.2,10.0,53.0,U0020
The University of Chicago,the university of chicago,United States,united states,13.0,92.1,89.6,91.2,97.6,93.8,82.3,6.2,36.0,47.0,U1508
Peking University,peking university,China,china,14.0,91.8,95.6,97.3,87.2,98.8,70.2,10.9,14.0,53.0,U0014
Johns Hopkins University,johns hopkins university,United States,united states,15.0,91.1,84.4,92.3,97.2,100.0,84.2,4.1,28.0,56.0,U0032
University of Pennsylvania,university of pennsylvania,United States,united states,16.0,91.0,87.7,89.7,97.6,97.7,78.8,6.2,22.0,54.0,U0011
Columbia University,columbia university,United States,united states,17.0,90.9,88.6,89.7,97.4,75.2,86.9,5.2,35.0,53.0,U0034
"University of California, Los Angeles","university of california, los angeles",United States,united states,18.0,90.1,85.7,91.9,96.4,92.3,74.3,9.6,15.0,56.0,U1509
National University of Singapore,national university of singapore,Singapore,singapore,19.0,90.0,78.8,94.0,95.4,100.0,91.1,20.0,24.0,49.0,U1510
Cornell University,cornell university,United States,united states,20.0,89.5,85.7,88.7,97.6,69.4,86.0,10.0,24.0,51.0,U0016
