rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited,rank_numeric,ranking_status,score_status,female_percentage
10,1,University of Oxford,98.5,10,96.6,5,100.0,2,99.0,5,98.7,77,97.5,14,United Kingdom,21750,10.9,42.0,49 : 51,23.0,University of Oxford,"Geography,Chemistry,Chemical Engineering,Biological Sciences,General Engineering,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,Psychology,Other Health,Archaeology,Sociology,Civil Engineering,Education",False,False,1.0,Ranked,Available,49.0
20,2,Stanford University,98.0,20,99.0,1,97.8,8,99.6,2,100.0,25,87.0,168,United States,14517,6.4,23.0,47 : 53,22.0,Stanford University,"Computer Science,Communication & Media Studies,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Chemical Engineering,Business & Management,General Engineering,Physics & Astronomy,Archaeology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Psychology",False,False,2.0,Ranked,Available,47.0
30,3,Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100.0,16,93.8,66,United States,11085,8.0,33.0,41 : 59,40.0,Massachusetts Institute of Technology,"Architecture,Economics & Econometrics,Archaeology,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Accounting & Finance,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry",False,False,3.0,Ranked,Available,41.0
40,4,Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,120,United States,20050,9.0,25.0,51 : 49,12.0,Harvard University,"Sociology,Architecture,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Law,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Computer Science,Business & Management,Geography,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,Art, Performing Arts & Design,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Civil Engineering",False,False,4.0,Ranked,Available,51.0
50,5,University of Cambridge,97.5,50,95.8,7,100.0,1,98.0,12,87.9,180,97.4,15,United Kingdom,20565,11.5,38.0,48 : 52,27.0,University of Cambridge,"Politics & International Studies (incl Development Studies),Biological Sciences,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,General Engineering,Physics & Astronomy,Chemical Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Accounting & Finance,Education,Veterinary Science,Electrical & Electronic Engineering,Geography,Other Health,Architecture,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics",False,False,5.0,Ranked,Available,48.0
60,6,Princeton University,96.9,60,96.3,6,97.9,7,98.8,7,95.1,118,89.1,136,United States,7753,7.3,23.0,47 : 53,43.0,Princeton University,"History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Languages, Literature & Linguistics,Architecture,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology",False,False,6.0,Ranked,Available,47.0
70,7,California Institute of Technology,96.5,70,96.6,4,98.0,6,95.9,38,100.0,2,90.6,124,United States,2240,6.1,33.0,37 : 63,49.0,California Institute of Technology caltech,"Computer Science,Chemistry,Chemical Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management",False,False,7.0,Ranked,Available,37.0
80,8,Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,United Kingdom,20275,11.8,61.0,42 : 58,28.0,Imperial College London,"Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",False,False,8.0,Ranked,Available,42.0
90,9,"University of California, Berkeley",94.6,90,87.2,18,98.8,4,99.0,4,99.4,63,86.8,172,United States,39991,17.9,22.0,52 : 48,36.0,"University of California, Berkeley","Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Archaeology,History, Philosophy & Theology,Law,Agriculture & Forestry,Education,Communication & Media Studies,Other Health,Art, Performing Arts & Design,Civil Engineering,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Geography,Economics & Econometrics,Biological Sciences,Sociology,General Engineering,Physics & Astronomy,Business & Management",False,False,9.0,Ranked,Available,52.0
100,10,Yale University,94.2,100,94.0,10,94.9,13,97.7,18,86.5,192,82.4,217,United States,11924,5.2,21.0,51 : 49,13.0,Yale University,"Law,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics,Accounting & Finance,Archaeology,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Architecture,Sociology,Politics & International Studies (incl Development Studies),Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Chemistry,Other Health,Psychology",False,False,10.0,Ranked,Available,51.0
