variable,spearman_correlation,absolute_correlation
qs_academic_reputation_score,0.8271300365023463,0.8271300365023463
the_overall_score_2024,0.8127813619496115,0.8127813619496115
the_research_score_2024,0.798349599213994,0.798349599213994
the_teaching_score_2024,0.701760939519329,0.701760939519329
qs_employer_reputation_score,0.6990157903664797,0.6990157903664797
qs_sustainability_score,0.6217021912546535,0.6217021912546535
qs_employment_outcomes_score,0.621516842902003,0.621516842902003
the_industry_income_score_2024,0.5514210814794017,0.5514210814794017
the_citations_score_2024,0.5336213952234636,0.5336213952234636
qs_citations_per_faculty_score,0.4774577714405203,0.4774577714405203
the_international_outlook_score_2024,0.399564123440934,0.399564123440934
the_international_students_pct_2024,0.39901779341758464,0.39901779341758464
qs_international_students_score,0.3690152147188877,0.3690152147188877
qs_international_faculty_score,0.3449283725281082,0.3449283725281082
qs_faculty_student_score,0.27717967289180834,0.27717967289180834
the_student_staff_ratio_2024,-0.16603881078387067,0.16603881078387067
wb_tertiary_pupil_teacher_ratio_2015,-0.16594950837742026,0.16594950837742026
wb_tertiary_enrollment_ratio_2015,0.12383314761953386,0.12383314761953386
the_female_percentage_2024,-0.10185721425787529,0.10185721425787529
wb_tertiary_graduation_ratio_2015,0.08406701548748526,0.08406701548748526
wb_female_tertiary_students_pct_2015,0.08292677239179079,0.08292677239179079
wb_youth_literacy_15_24_pct_2015,-0.06303707168835007,0.06303707168835007
wb_tertiary_graduates_2015,0.05565158497652193,0.05565158497652193
