university_name,qs_rank_2025,qs_overall_score
indian institute of technology bombay (iitb),118.0,56.3
indian institute of technology delhi (iitd),150.0,52.1
indian institute of science,211.0,45.0
indian institute of technology kharagpur (iit-kgp),222.0,43.7
indian institute of technology madras (iitm),227.0,43.5
indian institute of technology kanpur (iitk),263.0,39.3
university of delhi,328.0,33.8
indian institute of technology roorkee (iitr),335.0,33.4
indian institute of technology guwahati (iitg),344.0,32.9
anna university,383.0,30.6
indian institute of technology indore (iit indore),477.0,25.1
indian institute of technology (bhu) varanasi,531.0,23.1
jawaharlal nehru university,580.0,21.3
shoolini university of biotechnology and management sciences,587.0,21.1
savitribai phule pune university,,
symbiosis international (deemed university),,
indian institute of technology hyderabad,,
chandigarh university,,
national institute of technology tiruchirappalli,,
university of mumbai,,
jadavpur university,,
university of calcutta,,
vellore institute of technology (vit),,
"birla institute of technology and science, pilani",,
university of hyderabad,,
university of petroleum and energy studies (upes),,
jamia millia islamia,,
thapar institute of engineering & technology,,
"manipal academy of higher education, manipal, karnataka, india",,
indian institute of technology bhubaneswar,,
saveetha institute of medical and technical sciences (deemed to be university),,
aligarh muslim university,,
amity university,,
amrita vishwa vidyapeetham,,
banaras hindu university,,
guru gobind singh indraprastha university,,
o.p. jindal global university,,
panjab university,,
srm institute of science and technology,,
chitkara university,,
jamia hamdard,,
osmania university,,
pondicherry university,,
sathyabama institute of science and technology (deemed to be university),,
siksha 'o' anusandhan (deemed to be university),,
"indian institute of information technology, allahabad",,
