,count,mean,std,min,25%,50%,75%,max,missing,missing_percentage
qs_rank_2025,600.0,299.81,172.9052947953893,1.0,150.0,300.5,448.75,596.0,2930,83.0028328611898
qs_overall_score,600.0,41.84033333333334,18.826756256476852,20.8,26.575000000000003,36.349999999999994,52.1,100.0,2930,83.0028328611898
qs_academic_reputation_score,1503.0,20.286693280106455,22.32616758197736,1.3,6.3,11.0,23.5,100.0,2027,57.422096317280456
qs_employer_reputation_score,1503.0,19.78729208250166,23.784738240203048,1.1,4.3,9.4,25.3,100.0,2027,57.422096317280456
qs_faculty_student_score,1503.0,28.128675981370588,27.613016938349055,1.0,7.3,16.0,40.4,100.0,2027,57.422096317280456
qs_citations_per_faculty_score,1503.0,23.50345974717232,27.870691548823533,1.0,2.8,9.9,36.4,100.0,2027,57.422096317280456
qs_international_students_score,1445.0,25.580346020761244,31.098689102100536,1.0,2.9,9.6,38.3,100.0,2085,59.06515580736544
qs_international_faculty_score,1403.0,30.73670705630791,34.34436519332575,1.0,4.2,12.5,51.6,100.0,2127,60.25495750708215
qs_employment_outcomes_score,1503.0,23.825083166999338,27.351315330516076,1.2,4.0,11.8,33.4,100.0,2027,57.422096317280456
qs_sustainability_score,1484.0,24.309299191374663,31.074717904316987,1.0,1.3,6.75,39.5,100.0,2046,57.960339943342774
the_rank_2024,112.0,73.54464285714286,53.561093919497964,1.0,28.75,62.5,114.25,198.0,3418,96.8271954674221
the_overall_score_2024,1906.0,36.306348373557185,16.80484070031866,16.2,25.5,34.8,47.2,98.5,1624,46.005665722379604
the_teaching_score_2024,1906.0,29.050996852046172,13.961323462033915,9.4,19.4,25.8,34.5,99.0,1624,46.005665722379604
the_research_score_2024,1906.0,23.411857292759706,16.69308958546119,4.6,11.8,17.25,29.875,100.0,1624,46.005665722379604
the_citations_score_2024,1906.0,52.20745015739769,25.065820484067725,3.4,30.424999999999997,52.45,73.275,99.7,1624,46.005665722379604
the_industry_income_score_2024,1906.0,47.05131164742917,26.14734065780932,15.6,22.225,41.05,68.175,100.0,1624,46.005665722379604
the_international_outlook_score_2024,1906.0,49.9310073452256,21.838593753890212,16.1,32.0,45.349999999999994,65.4,98.8,1624,46.005665722379604
the_student_staff_ratio_2024,2671.0,19.133695245226505,13.454522754719953,0.3,12.3,16.6,22.5,333.3,859,24.3342776203966
the_international_students_pct_2024,2671.0,9.812055409958816,13.490149712173459,0.0,1.0,5.0,13.0,100.0,859,24.3342776203966
the_female_percentage_2024,2671.0,51.33807562710595,14.069885999031374,0.0,44.0,53.0,59.0,100.0,859,24.3342776203966
the_rank_2023,1697.0,791.5822038892163,462.4998513402091,1.0,401.0,801.0,1201.0,1501.0,1833,51.92634560906516
the_overall_score_2023,1721.0,34.70389308541546,16.172680073670744,14.35,21.35,31.85,43.5,96.4,1809,51.24645892351275
the_teaching_score_2023,1721.0,27.144276583381757,13.341244104593128,11.6,18.0,22.9,32.0,94.8,1809,51.24645892351275
the_research_score_2023,1721.0,23.345090063916327,16.903183287149695,7.4,11.4,17.2,29.5,99.7,1809,51.24645892351275
the_citations_score_2023,1721.0,49.80185938407902,27.562977507860435,1.7,24.9,48.9,73.7,100.0,1809,51.24645892351275
the_industry_income_score_2023,1721.0,46.95241138872749,15.00292243803932,36.9,37.8,40.4,47.8,100.0,1809,51.24645892351275
the_international_outlook_score_2023,1721.0,47.37013364323068,22.725563989589343,14.1,28.3,42.6,62.9,99.7,1809,51.24645892351275
the_student_staff_ratio_2023,2233.0,18.973533363188537,12.066732122397255,0.4,12.7,16.6,22.2,232.2,1297,36.742209631728045
the_international_students_pct_2023,2233.0,10.06448723690103,13.344832303574389,0.0,1.0,5.0,14.0,100.0,1297,36.742209631728045
the_female_percentage_2023,2233.0,50.94446932377967,13.337182142687977,2.0,44.0,53.0,59.0,100.0,1297,36.742209631728045
wb_tertiary_enrollment_ratio_2015,2344.0,58.51664695947243,25.706074083473187,6.3905200958252,36.9222793579102,62.3007698059082,85.7957763671875,94.7322998046875,1186,33.597733711048164
wb_tertiary_graduation_ratio_2015,1086.0,36.532330388302725,13.03734744244036,3.57979011535645,26.9894104003906,32.0686416625977,47.6031112670898,67.1917724609375,2444,69.23512747875354
wb_female_tertiary_students_pct_2015,2427.0,52.098577341426285,5.212978918187029,37.5186805725098,47.9433212280273,53.1438102722167,56.2370185852051,65.976463317871,1103,31.246458923512748
wb_tertiary_pupil_teacher_ratio_2015,1302.0,16.4012097385805,5.944141491463998,4.59683990478516,10.7137098312378,15.3640804290771,21.5390300750732,64.4064178466797,2228,63.11614730878187
wb_youth_literacy_15_24_pct_2015,607.0,99.1793501812191,1.418194939500986,72.93561,98.94471,99.49439,99.65568,100.0,2923,82.80453257790367
wb_tertiary_graduates_2015,1627.0,2059122.6445192455,3735327.5726927835,107.0,133478.0,438616.0,752068.0,11923653.0,1903,53.90934844192634
