,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
qs_overall_score,1.0,0.9014597054387856,0.777220169539177,0.33286555690195807,0.4759578694130672,0.40448836909515073,0.35114445861048954,0.6299946555184968,0.5757150039157057,0.8469428741730666,0.8062887866768803,0.8677079599471641,0.46951508321565055,0.5076238930499442,0.38555521964597494,-0.1287629948242924,0.32576051765667724,-0.08331283481502093,0.1532957284689084,0.05725075335317416,0.08047089509116997,-0.1942424269455468,0.0298633787389409,-0.030803110117786026
qs_academic_reputation_score,0.9014597054387856,1.0,0.8573570312696409,0.3414877747615639,0.493844335987066,0.38786630347000256,0.3917669518706054,0.6785191687499333,0.7167483376394718,0.7632850545798341,0.8185710389305582,0.8555906570088208,0.48032705558593897,0.5471840919923858,0.39571857307691105,-0.11280532084254372,0.31575552761949444,0.002034778457430603,0.12123025682953295,0.09634369849069654,0.043598027229032,-0.19343927023442525,0.10346945909322601,-0.039948137306291945
qs_employer_reputation_score,0.777220169539177,0.8573570312696409,1.0,0.3262003079017837,0.39191090248865224,0.35410130696883263,0.32669709818372245,0.6436809743930858,0.6048243031277759,0.62406480892693,0.7032094182189598,0.7244656080557718,0.350123944215912,0.4497881917819552,0.32439192687138496,-0.09968814004949525,0.29234141450692597,-0.13115204015298165,0.03987707123880536,-8.180802902863795e-05,-0.06418081387775504,-0.13144234370906505,0.1454213511696036,-0.024546409049776386
qs_faculty_student_score,0.33286555690195807,0.3414877747615639,0.3262003079017837,1.0,0.09866464270513751,0.2384756303900991,0.1795242917780827,0.2302847857133142,0.20448942474767656,0.3656569561118704,0.5627067347507023,0.43925002881067376,0.10213028464275348,0.35431241352416754,0.13208770477057039,-0.44885031677449255,0.16457517909219543,-0.05968362234280032,0.133678614871106,0.15568861942652173,-0.012766186285526802,-0.3929008009228968,0.12905212343299044,-0.08474933731034431
qs_citations_per_faculty_score,0.4759578694130672,0.493844335987066,0.39191090248865224,0.09866464270513751,1.0,0.3227596835224484,0.3901756644743159,0.3025820628478034,0.48809012019258663,0.7423193437381834,0.6087728026218507,0.7046752866132822,0.6595198706693796,0.6479886066646845,0.3783264596598353,0.031319662861466965,0.27654966595335234,-0.11709687500748107,0.03449757335192864,-0.11374646300143904,-0.0768147276604636,0.028275618790572752,0.21545291117688617,0.479779329502691
qs_international_students_score,0.40448836909515073,0.38786630347000256,0.35410130696883263,0.2384756303900991,0.3227596835224484,1.0,0.6981713855695973,0.2767022501275935,0.4553038349130555,0.5200063280939546,0.32880070950052553,0.41547678839644275,0.46670241560051295,0.2830478651988259,0.8244242145255245,0.018209980721805,0.9064801671903704,0.1072255218901413,0.1828438337874722,0.14447574072132388,0.14419271186754234,-0.28429714830823716,0.2890197688011545,-0.289710387639756
qs_international_faculty_score,0.35114445861048954,0.3917669518706054,0.32669709818372245,0.1795242917780827,0.3901756644743159,0.6981713855695973,1.0,0.31353813328362823,0.49485765819370064,0.5449025312622806,0.2781658209768407,0.4133961751462536,0.563419969617888,0.31407155488134236,0.8470630318034207,0.09154411834586672,0.6538789650286363,0.17512283521093333,0.04660506717933682,0.11332153422774957,0.09585016371321613,-0.2070171991076248,0.23087888432260006,-0.24225194819994406
qs_employment_outcomes_score,0.6299946555184968,0.6785191687499333,0.6436809743930858,0.2302847857133142,0.3025820628478034,0.2767022501275935,0.31353813328362823,1.0,0.5208708653520634,0.5121518248995865,0.52293222210002,0.5609083232210395,0.3519340178005259,0.3307465476220203,0.29523142975472555,0.014697237908672237,0.2036230232704543,0.10542582693157476,0.08787414320286158,0.14428800525222588,0.11941849182776204,-0.07904034576235787,-0.03318006303051427,-0.10909523316584217
qs_sustainability_score,0.5757150039157057,0.7167483376394718,0.6048243031277759,0.20448942474767656,0.48809012019258663,0.4553038349130555,0.49485765819370064,0.5208708653520634,1.0,0.659576251974286,0.5107289686735951,0.6388140167717468,0.5520192786583333,0.5592809048677184,0.5326313894186918,0.0539731294184504,0.36954523733460554,0.07697983970475512,0.25916600879760504,0.23021211123738564,0.056520075536892825,-0.21091245799638036,0.16002064066901717,-0.14514364444865088
the_overall_score_2024,0.8469428741730666,0.7632850545798341,0.62406480892693,0.3656569561118704,0.7423193437381834,0.5200063280939546,0.5449025312622806,0.5121518248995865,0.659576251974286,1.0,0.8248215038595653,0.9090004263899454,0.8762315894654874,0.778610063735811,0.6851377124213189,-0.045976897391301674,0.5485276120816434,0.038865061502861925,0.22796790722753643,0.12447891178305368,0.10037828069601812,-0.3610711758223879,0.0924212039219329,0.10268419844721148
