country_name,university_count,average_qs_score,average_qs_rank,best_qs_rank
United States,197,48.90714285714286,249.41666666666666,1.0
United Kingdom,90,48.18571428571429,249.39285714285714,2.0
China (Mainland),71,38.325641025641026,337.64102564102564,14.0
Japan,49,49.778571428571425,219.64285714285714,32.0
Germany,48,39.63823529411765,310.2647058823529,28.0
Russia,47,29.186666666666667,434.8666666666667,94.0
India,46,35.8,339.7142857142857,118.0
South Korea,43,44.17058823529412,287.94117647058823,31.0
Italy,42,34.394444444444446,356.8333333333333,111.0
Australia,38,48.593548387096774,243.8709677419355,13.0
Brazil,35,41.2,279.25,92.0
Spain,35,33.78333333333333,360.8333333333333,164.0
France,35,41.51764705882353,313.7647058823529,24.0
Mexico,32,54.75,139.5,94.0
Canada,30,46.95,241.2,25.0
Malaysia,28,39.04615384615385,325.6923076923077,60.0
Taiwan,27,38.8875,308.25,68.0
Indonesia,26,33.22857142857143,373.7142857142857,206.0
Chile,25,40.675,317.25,93.0
Turkey,25,29.666666666666668,403.8333333333333,285.0
Argentina,25,34.75,402.5,71.0
Colombia,24,41.233333333333334,258.3333333333333,179.0
Poland,22,32.666666666666664,365.6666666666667,258.0
Kazakhstan,21,38.166666666666664,296.3333333333333,163.0
Saudi Arabia,20,37.93333333333333,339.1666666666667,101.0
Czech Republic,16,30.075,411.0,246.0
Egypt,15,27.5,450.6666666666667,350.0
Bangladesh,15,22.4,554.0,554.0
Pakistan,14,27.95,443.25,315.0
Netherlands,13,51.73076923076923,173.92307692307693,49.0
Thailand,13,29.375,440.0,229.0
Romania,13,,,
United Arab Emirates,12,29.622222222222224,418.55555555555554,202.0
Ecuador,11,,,
South Africa,11,35.61666666666667,331.1666666666667,171.0
Hungary,11,21.8,569.3333333333334,564.0
Ukraine,11,,,
Switzerland,10,54.27777777777778,195.22222222222223,7.0
Jordan,10,26.9,461.0,368.0
Peru,10,31.9,359.0,359.0
Belgium,9,42.2875,270.0,63.0
Finland,9,35.6875,346.375,113.0
"Iran, Islamic Republic of",9,28.016666666666666,431.6666666666667,342.0
Portugal,8,34.38,328.0,260.0
New Zealand,8,42.4,255.125,65.0
Ireland,8,41.85,266.8333333333333,87.0
Sweden,8,50.9875,184.125,74.0
Austria,8,38.08,304.2,137.0
Greece,7,29.333333333333332,407.3333333333333,321.0
Hong Kong SAR,7,71.51666666666667,78.5,17.0
Venezuela,7,,,
Vietnam,6,24.4,495.0,495.0
Slovakia,6,,,
Norway,6,44.1,224.66666666666666,119.0
Israel,6,34.3,344.25,209.0
Lebanon,6,31.25,408.5,250.0
Philippines,5,28.45,426.0,336.0
Iraq,5,,,
Denmark,5,48.2,196.6,100.0
Lithuania,5,27.1,439.0,439.0
Costa Rica,4,24.2,497.0,497.0
Cuba,4,,,
Singapore,4,57.575,262.0,8.0
Croatia,4,,,
Uruguay,4,,,
Serbia,4,,,
Tunisia,4,,,
Bahrain,3,22.8,539.0,539.0
Slovenia,3,20.8,596.0,596.0
Sri Lanka,3,,,
Kuwait,3,,,
Azerbaijan,3,,,
Belarus,3,30.3,387.0,387.0
Estonia,3,32.0,358.0,358.0
Latvia,3,,,
"Palestinian Territory, Occupied",3,,,
Kyrgyzstan,3,,,
Macau SAR,2,33.5,354.5,245.0
Oman,2,31.7,362.0,362.0
Kenya,2,,,
Qatar,2,52.0,152.5,122.0
Uzbekistan,2,22.6,547.0,547.0
Dominican Republic,2,,,
Georgia,2,,,
Brunei,2,26.299999999999997,473.5,385.0
Ghana,2,,,
Bolivia,2,,,
Nigeria,2,,,
Panama,2,,,
Armenia,1,,,
Iceland,1,22.6,547.0,547.0
Honduras,1,,,
Guatemala,1,,,
Ethiopia,1,,,
Bosnia and Herzegovina,1,,,
Bulgaria,1,,,
Cyprus,1,30.1,389.0,389.0
Luxembourg,1,32.1,355.0,355.0
Paraguay,1,,,
Malta,1,,,
Morocco,1,,,
Northern Cyprus,1,,,
Sudan,1,,,
Puerto Rico,1,,,
Uganda,1,,,
Syrian Arab Republic,1,,,
