country_name,university_count,average_score,best_rank
United States,197,48.90714285714286,1.0
United Kingdom,90,48.18571428571429,2.0
China (Mainland),71,38.325641025641026,14.0
Japan,49,49.778571428571425,32.0
Germany,48,39.63823529411765,28.0
Russia,47,29.186666666666667,94.0
India,46,35.8,118.0
South Korea,43,44.17058823529412,31.0
Italy,42,34.394444444444446,111.0
Australia,38,48.593548387096774,13.0
Brazil,35,41.2,92.0
Spain,35,33.78333333333333,164.0
France,35,41.51764705882353,24.0
Mexico,32,54.75,94.0
Canada,30,46.95,25.0
Malaysia,28,39.04615384615385,60.0
Taiwan,27,38.8875,68.0
Indonesia,26,33.22857142857143,206.0
Chile,25,40.675,93.0
Turkey,25,29.666666666666668,285.0
Argentina,25,34.75,71.0
Colombia,24,41.233333333333334,179.0
Poland,22,32.666666666666664,258.0
Kazakhstan,21,38.166666666666664,163.0
Saudi Arabia,20,37.93333333333333,101.0
Czech Republic,16,30.075,246.0
Egypt,15,27.5,350.0
Bangladesh,15,22.4,554.0
Pakistan,14,27.95,315.0
Netherlands,13,51.73076923076923,49.0
Thailand,13,29.375,229.0
Romania,13,,
United Arab Emirates,12,29.622222222222224,202.0
Ecuador,11,,
South Africa,11,35.61666666666667,171.0
Hungary,11,21.8,564.0
Ukraine,11,,
Switzerland,10,54.27777777777778,7.0
Jordan,10,26.9,368.0
Peru,10,31.9,359.0
Belgium,9,42.2875,63.0
Finland,9,35.6875,113.0
"Iran, Islamic Republic of",9,28.016666666666666,342.0
Portugal,8,34.38,260.0
New Zealand,8,42.4,65.0
Ireland,8,41.85,87.0
Sweden,8,50.9875,74.0
Austria,8,38.08,137.0
Greece,7,29.333333333333332,321.0
Hong Kong SAR,7,71.51666666666667,17.0
Venezuela,7,,
Vietnam,6,24.4,495.0
Slovakia,6,,
Norway,6,44.1,119.0
Israel,6,34.3,209.0
Lebanon,6,31.25,250.0
Philippines,5,28.45,336.0
Iraq,5,,
Denmark,5,48.2,100.0
Lithuania,5,27.1,439.0
Costa Rica,4,24.2,497.0
Cuba,4,,
Singapore,4,57.575,8.0
Croatia,4,,
Uruguay,4,,
Serbia,4,,
Tunisia,4,,
Bahrain,3,22.8,539.0
Slovenia,3,20.8,596.0
Sri Lanka,3,,
Kuwait,3,,
Azerbaijan,3,,
Belarus,3,30.3,387.0
Estonia,3,32.0,358.0
Latvia,3,,
"Palestinian Territory, Occupied",3,,
Kyrgyzstan,3,,
Macau SAR,2,33.5,245.0
Oman,2,31.7,362.0
Kenya,2,,
Qatar,2,52.0,122.0
Uzbekistan,2,22.6,547.0
Dominican Republic,2,,
Georgia,2,,
Brunei,2,26.299999999999997,385.0
Ghana,2,,
Bolivia,2,,
Nigeria,2,,
Panama,2,,
Armenia,1,,
Iceland,1,22.6,547.0
Honduras,1,,
Guatemala,1,,
Ethiopia,1,,
Bosnia and Herzegovina,1,,
Bulgaria,1,,
Cyprus,1,30.1,389.0
Luxembourg,1,32.1,355.0
Paraguay,1,,
Malta,1,,
Morocco,1,,
Northern Cyprus,1,,
Sudan,1,,
Puerto Rico,1,,
Uganda,1,,
Syrian Arab Republic,1,,
