university_name,country_name,qs_rank_2025,qs_overall_score
massachusetts institute of technology (mit),United States,1.0,100.0
imperial college london,United Kingdom,2.0,98.5
university of oxford,United Kingdom,3.0,96.9
harvard university,United States,4.0,96.8
university of cambridge,United Kingdom,5.0,96.7
stanford university,United States,6.0,96.1
eth zurich - swiss federal institute of technology,Switzerland,7.0,93.9
national university of singapore (nus),Singapore,8.0,93.7
ucl,United Kingdom,9.0,91.6
california institute of technology (caltech),United States,10.0,90.9
university of pennsylvania,United States,11.0,90.3
"university of california, berkeley (ucb)",United States,12.0,90.1
the university of melbourne,Australia,13.0,88.9
peking university,China (Mainland),14.0,88.5
"nanyang technological university, singapore (ntu)",Singapore,15.0,88.4
cornell university,United States,16.0,87.9
the university of hong kong,Hong Kong SAR,17.0,87.6
the university of sydney,Australia,18.0,87.3
the university of new south wales (unsw sydney),Australia,19.0,87.1
tsinghua university,China (Mainland),20.0,86.5
