qs_rank_2025,university_name,country_name,qs_overall_score
1.0,massachusetts institute of technology (mit),United States,100.0
2.0,imperial college london,United Kingdom,98.5
3.0,university of oxford,United Kingdom,96.9
4.0,harvard university,United States,96.8
5.0,university of cambridge,United Kingdom,96.7
6.0,stanford university,United States,96.1
7.0,eth zurich - swiss federal institute of technology,Switzerland,93.9
8.0,national university of singapore (nus),Singapore,93.7
9.0,ucl,United Kingdom,91.6
10.0,california institute of technology (caltech),United States,90.9
11.0,university of pennsylvania,United States,90.3
12.0,"university of california, berkeley (ucb)",United States,90.1
13.0,the university of melbourne,Australia,88.9
14.0,peking university,China (Mainland),88.5
15.0,"nanyang technological university, singapore (ntu)",Singapore,88.4
16.0,cornell university,United States,87.9
17.0,the university of hong kong,Hong Kong SAR,87.6
18.0,the university of sydney,Australia,87.3
19.0,the university of new south wales (unsw sydney),Australia,87.1
20.0,tsinghua university,China (Mainland),86.5
21.0,university of chicago,United States,86.2
22.0,princeton university,United States,85.5
23.0,yale university,United States,85.2
24.0,université psl,France,84.7
25.0,university of toronto,Canada,84.1
26.0,epfl,Switzerland,83.5
27.0,the university of edinburgh,United Kingdom,83.3
28.0,technical university of munich,Germany,83.2
29.0,mcgill university,Canada,83.0
30.0,the australian national university,Australia,82.4
31.0,seoul national university,South Korea,82.3
32.0,johns hopkins university,United States,82.1
32.0,the university of tokyo,Japan,82.1
34.0,columbia university,United States,82.0
34.0,the university of manchester,United Kingdom,82.0
36.0,the chinese university of hong kong (cuhk),Hong Kong SAR,81.3
37.0,monash university,Australia,81.2
38.0,university of british columbia,Canada,81.0
39.0,fudan university,China (Mainland),80.3
40.0,king's college london,United Kingdom,80.2
40.0,the university of queensland,Australia,80.2
42.0,"university of california, los angeles (ucla)",United States,79.8
43.0,new york university (nyu),United States,79.6
44.0,university of michigan-ann arbor,United States,79.0
45.0,shanghai jiao tong university,China (Mainland),77.8
46.0,institut polytechnique de paris,France,77.5
47.0,the hong kong university of science and technology,Hong Kong SAR,77.1
47.0,zhejiang university,China (Mainland),77.1
49.0,delft university of technology,Netherlands,77.0
50.0,kyoto university,Japan,76.0
50.0,northwestern university,United States,76.0
50.0,the london school of economics and political science (lse),United Kingdom,76.0
