university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,rank_difference,absolute_rank_difference
U0005,university of cambridge,United Kingdom,GB,united kingdom,5.0,96.7,100.0,100.0,100.0,84.6,94.8,100.0,100.0,84.8,True,5.0,97.5,95.8,100.0,98.0,87.9,97.4,11.5,38.0,48.0,True,3.0,94.8,90.9,99.5,97.0,54.2,95.8,11.3,39.0,47.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,0.0,0.0
U0004,harvard university,United States,US,united states,4.0,96.8,100.0,100.0,96.3,100.0,69.0,74.1,100.0,84.4,True,4.0,97.8,97.7,99.9,99.4,84.2,90.8,9.0,25.0,51.0,True,2.0,95.2,94.8,99.0,99.3,49.5,80.5,9.6,25.0,50.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,0.0,0.0
U0014,peking university,China (Mainland),CN,china,14.0,88.5,99.5,96.6,92.6,97.7,23.6,50.3,94.2,46.9,True,14.0,91.8,95.6,97.3,87.2,98.8,70.2,10.9,14.0,53.0,True,17.0,88.1,92.5,96.7,80.4,91.8,65.0,10.3,19.0,53.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,0.0,0.0
U0049,delft university of technology,Netherlands,NL,netherlands,49.0,77.0,74.4,83.0,39.4,79.7,91.4,100.0,54.8,99.1,True,48.0,76.3,66.7,78.2,76.5,100.0,92.8,15.9,30.0,31.0,True,70.0,67.7,58.8,76.4,59.1,93.4,94.2,16.1,31.0,31.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,1.0,1.0
U0045,shanghai jiao tong university,China (Mainland),CN,china,45.0,77.8,84.0,86.3,58.6,99.6,19.6,23.1,73.5,80.3,True,43.0,77.7,76.6,82.5,75.4,100.0,60.6,12.6,9.0,37.0,True,52.0,71.2,75.3,82.9,59.9,100.0,43.7,11.5,8.0,42.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,2.0,2.0
U0003,university of oxford,United Kingdom,GB,united kingdom,3.0,96.9,100.0,100.0,100.0,84.8,97.7,98.1,100.0,85.0,True,1.0,98.5,96.6,100.0,99.0,98.7,97.5,10.9,42.0,49.0,True,1.0,96.4,92.3,99.7,99.0,74.9,96.2,10.6,42.0,48.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,2.0,2.0
U0033,the university of tokyo,Japan,JP,japan,32.0,82.1,100.0,99.8,89.3,57.3,29.7,10.1,99.9,98.3,True,29.0,83.1,93.9,94.2,67.8,100.0,49.7,10.3,15.0,53.0,True,39.0,75.9,88.1,91.4,55.5,86.7,43.3,10.5,15.0,53.0,True,japan,JPN,Japan,Japan,JP,East Asia & Pacific,High income: OECD,True,,,,,,,False,3.0,3.0
U0038,university of british columbia,Canada,CA,canada,38.0,81.0,98.3,94.3,34.5,57.7,72.8,95.5,74.6,99.8,True,41.0,78.0,62.5,76.6,90.5,76.7,95.0,19.4,34.0,55.0,True,40.0,75.7,62.9,73.1,88.8,47.9,94.8,18.9,34.0,55.0,True,canada,CAN,Canada,Canada,CA,North America,High income: OECD,True,,,,,,,False,-3.0,3.0
U0025,university of toronto,Canada,CA,canada,25.0,84.1,99.7,96.9,44.9,50.8,96.1,96.9,98.7,100.0,True,21.0,88.6,77.5,94.1,92.8,96.1,90.7,25.8,27.0,56.0,True,18.0,87.4,77.3,93.3,92.8,65.5,89.7,25.8,26.0,56.0,True,canada,CAN,Canada,Canada,CA,North America,High income: OECD,True,,,,,,,False,4.0,4.0
U0016,cornell university,United States,US,united states,16.0,87.9,98.3,93.1,52.7,97.5,63.4,54.2,97.1,72.1,True,20.0,89.5,85.7,88.7,97.6,69.4,86.0,10.0,24.0,51.0,True,20.0,85.9,80.2,86.1,97.3,40.4,76.9,10.3,26.0,51.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-4.0,4.0
