university_id,university_name,the_rank_2023,the_rank_2023_numeric,the_2023_rank_type
U0067,korea university,201.0,201.0,Banded
U0104,university of st andrews,201.0,201.0,Banded
U0107,tohoku university,201.0,201.0,Banded
U0113,aalto university,201.0,201.0,Banded
U0115,university of waterloo,201.0,201.0,Banded
U0121,western university,201.0,201.0,Banded
U0122,qatar university,201.0,201.0,Banded
U0127,university college dublin,201.0,201.0,Banded
U0132,sapienza university of rome,201.0,201.0,Banded
U0136,eindhoven university of technology,201.0,201.0,Banded
U0155,university of geneva,201.0,201.0,Banded
U0168,university of wollongong,201.0,201.0,Banded
U0174,curtin university,201.0,201.0,Banded
U0194,university of gothenburg,201.0,201.0,Banded
U0199,university of calgary,201.0,201.0,Banded
U0209,tel aviv university,201.0,201.0,Banded
U0245,university of macau,201.0,201.0,Banded
U0247,university of sussex,201.0,201.0,Banded
U0290,university of surrey,201.0,201.0,Banded
U0292,university of bergen,201.0,201.0,Banded
U0318,university of notre dame,201.0,201.0,Banded
U0357,university of luxembourg,201.0,201.0,Banded
U0358,university of tartu,201.0,201.0,Banded
U0371,george washington university,201.0,201.0,Banded
U0384,western sydney university,201.0,201.0,Banded
U0418,university of dundee,201.0,201.0,Banded
U0464,macau university of science and technology,201.0,201.0,Banded
U0611,university of hohenheim,201.0,201.0,Banded
U0631,university of south florida,201.0,201.0,Banded
U1017,bielefeld university,201.0,201.0,Banded
U1571,Queensland University of Technology,201.0,201.0,Banded
U1577,King Fahd University of Petroleum and Minerals,201.0,201.0,Banded
U1578,Université Libre de Bruxelles,201.0,201.0,Banded
U1582,University of Newcastle,201.0,201.0,Banded
U1584,University of Padua,201.0,201.0,Banded
U1586,University of Potsdam,201.0,201.0,Banded
U1588,Rutgers University – New Brunswick,201.0,201.0,Banded
U1589,Sant’Anna School of Advanced Studies – Pisa,201.0,201.0,Banded
U1590,University of São Paulo,201.0,201.0,Banded
U1592,Vrije Universiteit Brussel,201.0,201.0,Banded
U1593,University of East Anglia,201.0,201.0,Banded
U1595,Humanitas University,201.0,201.0,Banded
U1599,University of Konstanz,201.0,201.0,Banded
U1601,Medical University of Innsbruck,201.0,201.0,Banded
U1603,RCSI University of Medicine and Health Sciences,201.0,201.0,Banded
U1605,Semmelweis University,201.0,201.0,Banded
U1609,Università della Svizzera italiana,201.0,201.0,Banded
U1611,Vita-Salute San Raffaele University,201.0,201.0,Banded
U1628,"St George’s, University of London",201.0,201.0,Banded
U0086,osaka university,251.0,251.0,Banded
U0139,chalmers university of technology,251.0,251.0,Banded
U0151,university of bath,251.0,251.0,Banded
U0192,tongji university,251.0,251.0,Banded
U0197,deakin university,251.0,251.0,Banded
U0201,king saud university,251.0,251.0,Banded
U0211,indian institute of science,251.0,251.0,Banded
U0217,la trobe university,251.0,251.0,Banded
U0233,university of twente,251.0,251.0,Banded
U0249,university of navarra,251.0,251.0,Banded
U0255,griffith university,251.0,251.0,Banded
U0271,beijing normal university,251.0,251.0,Banded
U0296,stellenbosch university,251.0,251.0,Banded
U0299,swansea university,251.0,251.0,Banded
U0304,linköping university,251.0,251.0,Banded
U0306,aalborg university,251.0,251.0,Banded
U0319,simon fraser university,251.0,251.0,Banded
U0328,kyung hee university,251.0,251.0,Banded
U0331,sun yat-sen university,251.0,251.0,Banded
U0347,tilburg university,251.0,251.0,Banded
U0391,virginia polytechnic institute and state university,251.0,251.0,Banded
U0398,sejong university,251.0,251.0,Banded
U0404,university of canberra,251.0,251.0,Banded
U0424,université laval,251.0,251.0,Banded
U0477,university of sharjah,251.0,251.0,Banded
U0500,"university of california, riverside",251.0,251.0,Banded
U0534,university of utah,251.0,251.0,Banded
U0552,united arab emirates university,251.0,251.0,Banded
U0587,bond university,251.0,251.0,Banded
U0635,boston college,251.0,251.0,Banded
U0772,bournemouth university,251.0,251.0,Banded
U0902,australian catholic university,251.0,251.0,Banded
U1574,Goethe University Frankfurt,251.0,251.0,Banded
U1575,University of Hawai’i at Mānoa,251.0,251.0,Banded
U1576,University of Illinois Chicago,251.0,251.0,Banded
U1594,Heinrich Heine University Düsseldorf,251.0,251.0,Banded
U1596,Johannes Gutenberg University of Mainz,251.0,251.0,Banded
U1602,Queen’s University,251.0,251.0,Banded
U1604,Ruhr University Bochum,251.0,251.0,Banded
