country_name,university_count,average_overall_score,average_student_staff_ratio,average_international_students,average_female_percentage
United States,175,53.65029585798816,14.32342857142857,13.205714285714286,53.44571428571429
Japan,169,26.7827731092437,14.627218934911243,5.443786982248521,42.11834319526627
United Kingdom,164,49.268095238095235,16.951829268292684,30.109756097560975,58.609756097560975
India,122,30.81923076923077,16.07704918032787,1.8360655737704918,40.032786885245905
Turkey,97,23.338666666666665,22.917525773195877,7.814432989690721,50.49484536082474
Pakistan,88,31.71125,22.907954545454547,0.7386363636363636,43.59090909090909
Algeria,86,17.628260869565217,20.38139534883721,0.3372093023255814,63.13953488372093
Russian Federation,82,21.465384615384615,13.528048780487804,12.792682926829269,48.90243902439025
Brazil,67,23.275,18.119402985074625,1.1492537313432836,51.82089552238806
Iran,67,30.978461538461538,24.047761194029853,3.0597014925373136,54.74626865671642
Iraq,63,20.49230769230769,19.593650793650795,0.4126984126984127,50.3968253968254
Spain,60,35.36517857142857,17.003333333333334,11.083333333333334,55.35
Italy,57,44.97053571428571,25.86842105263158,6.350877192982456,56.50877192982456
Germany,52,56.0734693877551,32.03653846153846,18.326923076923077,50.30769230769231
China,51,34.515686274509804,15.27450980392157,3.7254901960784315,50.84313725490196
France,49,42.00454545454546,22.185714285714283,19.632653061224488,49.142857142857146
Taiwan,48,29.934444444444445,19.493750000000002,6.854166666666667,47.5
Uzbekistan,48,,19.708333333333332,1.7291666666666667,43.5
Ukraine,42,25.723333333333336,11.938095238095238,4.595238095238095,49.666666666666664
South Korea,40,40.937179487179485,16.375,10.45,47.65
Nigeria,39,22.44,20.93846153846154,0.48717948717948717,44.794871794871796
Poland,39,25.7027027027027,13.094871794871795,8.102564102564102,56.717948717948715
Egypt,38,30.42142857142857,22.81578947368421,2.5526315789473686,48.71052631578947
Australia,37,55.479729729729726,30.37837837837838,26.324324324324323,58.513513513513516
Colombia,36,20.864285714285714,19.897222222222222,0.9444444444444444,51.861111111111114
China (Mainland),35,56.255714285714284,13.991428571428571,5.9714285714285715,48.57142857142857
Indonesia,33,20.075,20.715151515151515,1.9393939393939394,54.21212121212121
Saudi Arabia,32,40.475,13.48125,11.53125,56.625
Chile,32,23.151785714285715,19.73125,2.125,53.71875
Canada,31,51.91935483870968,24.103225806451615,21.70967741935484,54.516129032258064
Kazakhstan,29,25.375,14.744827586206897,4.413793103448276,56.62068965517241
Thailand,27,24.28684210526316,19.70740740740741,1.962962962962963,61.148148148148145
Mexico,27,19.22,21.56666666666667,2.7037037037037037,53.51851851851852
Russia,26,28.951923076923077,13.073076923076922,16.23076923076923,52.42307692307692
Malaysia,26,33.9195652173913,13.357692307692307,14.923076923076923,54.5
Romania,25,23.44090909090909,18.052,8.76,56.12
Jordan,21,29.521428571428572,20.81904761904762,18.80952380952381,52.333333333333336
Bangladesh,21,31.283333333333335,18.504761904761907,1.0952380952380953,35.80952380952381
Czech Republic,20,27.02777777777778,15.690000000000001,17.85,55.95
Greece,18,30.11875,37.19444444444444,3.4444444444444446,51.05555555555556
Portugal,17,35.99333333333333,16.958823529411767,14.294117647058824,54.94117647058823
Ecuador,17,19.564285714285713,19.311764705882354,2.588235294117647,48.64705882352941
South Africa,14,41.61666666666667,30.357142857142858,11.0,56.857142857142854
Philippines,14,22.0875,27.364285714285717,0.9285714285714286,54.714285714285715
Sweden,14,52.6,13.821428571428571,13.714285714285714,56.357142857142854
United Arab Emirates,14,49.6,13.950000000000001,52.714285714285715,56.714285714285715
Switzerland,14,58.565384615384616,12.728571428571428,34.142857142857146,49.92857142857143
Morocco,14,20.87727272727273,54.471428571428575,2.357142857142857,52.357142857142854
Austria,13,49.041666666666664,14.623076923076923,34.61538461538461,51.69230769230769
Hungary,13,29.05454545454546,16.007692307692306,13.307692307692308,49.0
Netherlands,12,66.49583333333334,21.316666666666666,28.5,52.25
Turkmenistan,11,,13.409090909090908,0.2727272727272727,43.90909090909091
Tunisia,11,26.11875,11.7,3.1818181818181817,61.09090909090909
Finland,11,51.69500000000001,20.78181818181818,8.636363636363637,55.27272727272727
Belgium,10,56.44,34.12,18.5,55.7
Peru,10,24.05,23.43,1.3,55.6
Ireland,9,50.11666666666667,23.822222222222223,23.88888888888889,54.77777777777778
"Iran, Islamic Republic of",8,43.6375,25.25,3.25,37.5
Slovakia,8,24.25714285714286,11.4375,16.375,53.5
Ghana,8,29.125,39.2125,0.375,40.75
Israel,8,43.28125,21.3625,7.5,54.25
New Zealand,8,48.75625,19.5875,26.75,58.125
Argentina,7,16.2,17.142857142857142,3.2857142857142856,58.285714285714285
Georgia,7,19.3,12.771428571428572,27.285714285714285,40.285714285714285
Denmark,7,57.135714285714286,13.37142857142857,16.285714285714285,52.57142857142857
Belarus,7,25.5,9.514285714285714,15.571428571428571,48.714285714285715
Vietnam,7,25.483333333333334,28.24285714285714,0.5714285714285714,51.57142857142857
Sri Lanka,6,23.325000000000003,26.316666666666663,1.0,57.166666666666664
Norway,6,48.86666666666667,11.633333333333333,11.333333333333334,58.666666666666664
Azerbaijan,6,16.2,11.516666666666666,6.833333333333333,50.333333333333336
Lebanon,6,38.22,12.533333333333333,16.833333333333332,55.166666666666664
Lithuania,5,29.22,11.02,13.2,54.0
Bulgaria,5,19.3,14.459999999999999,19.8,47.8
Oman,5,39.4,19.880000000000003,5.2,56.8
Northern Cyprus,5,39.4,16.16,58.0,46.4
Latvia,4,23.325000000000003,26.25,15.5,57.0
Armenia,4,16.2,8.225,3.25,50.75
Palestine,4,,26.775000000000002,10.75,58.0
Yemen,4,,26.275,0.25,37.5
Slovenia,4,25.5,11.675,23.25,59.5
Cyprus,4,42.199999999999996,16.95,34.0,57.25
Hong Kong SAR,4,65.6375,18.475,45.5,55.75
Kenya,4,25.5,42.175,0.75,39.25
Kuwait,3,30.450000000000003,38.333333333333336,17.333333333333332,61.0
Somalia,3,,19.633333333333333,1.0,37.0
Serbia,3,27.150000000000002,15.666666666666666,2.3333333333333335,60.666666666666664
Venezuela,3,16.2,15.200000000000001,1.3333333333333333,57.0
Costa Rica,3,20.85,13.433333333333332,2.3333333333333335,49.0
Libya,3,,15.433333333333332,3.0,62.666666666666664
Croatia,3,24.05,15.366666666666667,2.6666666666666665,58.666666666666664
Estonia,3,40.63333333333333,10.1,13.333333333333334,59.666666666666664
Paraguay,2,,7.4,1.5,47.0
Bosnia and Herzegovina,2,16.2,12.25,7.0,63.0
Botswana,2,25.5,15.3,6.0,46.0
Bolivia,2,,95.75,0.0,55.0
Ethiopia,2,30.450000000000003,14.350000000000001,0.5,37.5
Tanzania,2,23.325000000000003,17.55,1.0,40.0
Zimbabwe,2,25.5,34.5,0.0,46.0
Uganda,2,34.8,16.75,1.5,43.5
Hong Kong,2,77.85,18.55,34.0,54.0
Macau SAR,2,56.725,30.2,66.5,55.5
Iceland,2,41.5,20.6,11.0,57.5
Luxembourg,2,57.25,177.3,74.5,53.0
Zambia,2,25.5,34.55,1.5,42.0
"Palestinian Territory, Occupied",2,30.450000000000003,17.55,18.5,63.5
Singapore,2,86.15,18.35,25.5,49.0
Angola,1,,12.2,0.0,44.0
Malawi,1,,12.4,0.0,15.0
Macao,1,,12.8,10.0,61.0
Kosovo,1,16.2,31.4,1.0,65.0
Kyrgyzstan,1,,15.0,11.0,57.0
Brunei Darussalam,1,47.2,11.3,14.0,66.0
Brunei,1,,6.7,7.0,45.0
Cambodia,1,,8.1,0.0,59.0
Bahrain,1,,6.9,74.0,69.0
Jamaica,1,30.450000000000003,16.3,1.0,68.0
Cuba,1,16.2,9.0,5.0,64.0
Dominican Republic,1,,117.8,4.0,62.0
Fiji,1,30.450000000000003,36.9,1.0,59.0
Senegal,1,,17.4,69.0,31.0
Rwanda,1,,31.7,11.0,44.0
Qatar,1,54.45,8.4,36.0,77.0
Puerto Rico,1,25.5,15.2,1.0,58.0
Malta,1,34.8,12.3,14.0,59.0
Mauritius,1,25.5,22.8,1.0,54.0
Nepal,1,25.5,30.9,0.0,52.0
North Macedonia,1,16.2,13.5,5.0,63.0
Namibia,1,25.5,21.6,3.0,63.0
Mozambique,1,25.5,28.7,0.0,41.0
Montenegro,1,16.2,20.3,2.0,68.0
Moldova,1,,11.6,2.0,33.0
Sudan,1,,15.1,5.0,51.0
Turks and Caicos Islands,1,,4.2,86.0,52.0
Unknown,1,,12.6,3.0,50.0
Uruguay,1,,6.7,3.0,46.0
