country_name,university_count,average_score,average_rank,best_rank
United States,175,53.65029585798816,56.9,2.0
Japan,169,26.7827731092437,29.0,29.0
United Kingdom,164,49.268095238095235,85.35714285714286,1.0
India,122,30.81923076923077,,
Turkey,97,23.338666666666665,,
Pakistan,88,31.71125,,
Algeria,86,17.628260869565217,,
Russian Federation,82,21.465384615384615,,
Brazil,67,23.275,,
Iran,67,30.978461538461538,,
Iraq,63,20.49230769230769,,
Spain,60,35.36517857142857,,
Italy,57,44.97053571428571,181.0,181.0
Germany,52,56.0734693877551,101.71428571428571,47.0
China,51,34.515686274509804,,
France,49,42.00454545454546,61.0,40.0
Taiwan,48,29.934444444444445,,
Uzbekistan,48,,,
Ukraine,42,25.723333333333336,,
South Korea,40,40.937179487179485,92.5,62.0
Nigeria,39,22.44,,
Poland,39,25.7027027027027,,
Egypt,38,30.42142857142857,,
Australia,37,55.479729729729726,87.5,37.0
Colombia,36,20.864285714285714,,
China (Mainland),35,56.255714285714284,40.5,12.0
Indonesia,33,20.075,,
Saudi Arabia,32,40.475,,
Chile,32,23.151785714285715,,
Canada,31,51.91935483870968,37.0,21.0
Kazakhstan,29,25.375,,
Thailand,27,24.28684210526316,,
Mexico,27,19.22,,
Russia,26,28.951923076923077,,
Malaysia,26,33.9195652173913,,
Romania,25,23.44090909090909,,
Jordan,21,29.521428571428572,,
Bangladesh,21,31.283333333333335,,
Czech Republic,20,27.02777777777778,,
Greece,18,30.11875,,
Portugal,17,35.99333333333333,,
Ecuador,17,19.564285714285713,,
South Africa,14,41.61666666666667,167.0,167.0
Philippines,14,22.0875,,
Sweden,14,52.6,119.5,50.0
United Arab Emirates,14,49.6,,
Switzerland,14,58.565384615384616,76.75,11.0
Morocco,14,20.87727272727273,,
Austria,13,49.041666666666664,,
Hungary,13,29.05454545454546,,
Netherlands,12,66.49583333333334,95.66666666666667,48.0
Turkmenistan,11,,,
Tunisia,11,26.11875,,
Finland,11,51.69500000000001,121.0,121.0
Belgium,10,56.44,80.0,45.0
Peru,10,24.05,,
Ireland,9,50.11666666666667,134.0,134.0
"Iran, Islamic Republic of",8,43.6375,,
Slovakia,8,24.25714285714286,,
Ghana,8,29.125,,
Israel,8,43.28125,,
New Zealand,8,48.75625,,
Argentina,7,16.2,,
Georgia,7,19.3,,
Denmark,7,57.135714285714286,126.0,126.0
Belarus,7,25.5,,
Vietnam,7,25.483333333333334,,
Sri Lanka,6,23.325000000000003,,
Norway,6,48.86666666666667,127.0,127.0
Azerbaijan,6,16.2,,
Lebanon,6,38.22,,
Lithuania,5,29.22,,
Bulgaria,5,19.3,,
Oman,5,39.4,,
Northern Cyprus,5,39.4,,
Latvia,4,23.325000000000003,,
Armenia,4,16.2,,
Palestine,4,,,
Yemen,4,,,
Slovenia,4,25.5,,
Cyprus,4,42.199999999999996,,
Hong Kong SAR,4,65.6375,82.0,82.0
Kenya,4,25.5,,
Kuwait,3,30.450000000000003,,
Somalia,3,,,
Serbia,3,27.150000000000002,,
Venezuela,3,16.2,,
Costa Rica,3,20.85,,
Libya,3,,,
Croatia,3,24.05,,
Estonia,3,40.63333333333333,,
Paraguay,2,,,
Bosnia and Herzegovina,2,16.2,,
Botswana,2,25.5,,
Bolivia,2,,,
Ethiopia,2,30.450000000000003,,
Tanzania,2,23.325000000000003,,
Zimbabwe,2,25.5,,
Uganda,2,34.8,,
Hong Kong,2,77.85,44.0,35.0
Macau SAR,2,56.725,,
Iceland,2,41.5,,
Luxembourg,2,57.25,,
Zambia,2,25.5,,
"Palestinian Territory, Occupied",2,30.450000000000003,,
Singapore,2,86.15,25.5,19.0
Angola,1,,,
Malawi,1,,,
Macao,1,,,
Kosovo,1,16.2,,
Kyrgyzstan,1,,,
Brunei Darussalam,1,47.2,,
Brunei,1,,,
Cambodia,1,,,
Bahrain,1,,,
Jamaica,1,30.450000000000003,,
Cuba,1,16.2,,
Dominican Republic,1,,,
Fiji,1,30.450000000000003,,
Senegal,1,,,
Rwanda,1,,,
Qatar,1,54.45,,
Puerto Rico,1,25.5,,
Malta,1,34.8,,
Mauritius,1,25.5,,
Nepal,1,25.5,,
North Macedonia,1,16.2,,
Namibia,1,25.5,,
Mozambique,1,25.5,,
Montenegro,1,16.2,,
Moldova,1,,,
Sudan,1,,,
Turks and Caicos Islands,1,,,
Unknown,1,,,
Uruguay,1,,,
