country_name,university_count,average_score,average_rank,best_rank
Netherlands,12,66.49583333333334,95.66666666666667,48.0
Switzerland,14,58.565384615384616,76.75,11.0
Denmark,7,57.135714285714286,126.0,126.0
Belgium,10,56.44,80.0,45.0
China (Mainland),35,56.255714285714284,40.5,12.0
Germany,52,56.0734693877551,101.71428571428571,47.0
Australia,37,55.479729729729726,87.5,37.0
United States,175,53.65029585798816,56.9,2.0
Sweden,14,52.6,119.5,50.0
Canada,31,51.91935483870968,37.0,21.0
Finland,11,51.69500000000001,121.0,121.0
Ireland,9,50.11666666666667,134.0,134.0
United Arab Emirates,14,49.6,,
United Kingdom,164,49.268095238095235,85.35714285714286,1.0
Austria,13,49.041666666666664,,
Norway,6,48.86666666666667,127.0,127.0
New Zealand,8,48.75625,,
Italy,57,44.97053571428571,181.0,181.0
"Iran, Islamic Republic of",8,43.6375,,
Israel,8,43.28125,,
France,49,42.00454545454546,61.0,40.0
South Africa,14,41.61666666666667,167.0,167.0
South Korea,40,40.937179487179485,92.5,62.0
Saudi Arabia,32,40.475,,
Oman,5,39.4,,
Northern Cyprus,5,39.4,,
Lebanon,6,38.22,,
Portugal,17,35.99333333333333,,
Spain,60,35.36517857142857,,
China,51,34.515686274509804,,
Malaysia,26,33.9195652173913,,
Pakistan,88,31.71125,,
Bangladesh,21,31.283333333333335,,
Iran,67,30.978461538461538,,
India,122,30.81923076923077,,
Egypt,38,30.42142857142857,,
Greece,18,30.11875,,
Taiwan,48,29.934444444444445,,
Jordan,21,29.521428571428572,,
Lithuania,5,29.22,,
Ghana,8,29.125,,
Hungary,13,29.05454545454546,,
Russia,26,28.951923076923077,,
Czech Republic,20,27.02777777777778,,
Japan,169,26.7827731092437,29.0,29.0
Tunisia,11,26.11875,,
Ukraine,42,25.723333333333336,,
Poland,39,25.7027027027027,,
Belarus,7,25.5,,
Vietnam,7,25.483333333333334,,
Kazakhstan,29,25.375,,
Thailand,27,24.28684210526316,,
Slovakia,8,24.25714285714286,,
Peru,10,24.05,,
Romania,25,23.44090909090909,,
Turkey,97,23.338666666666665,,
Sri Lanka,6,23.325000000000003,,
Brazil,67,23.275,,
Chile,32,23.151785714285715,,
Nigeria,39,22.44,,
Philippines,14,22.0875,,
Russian Federation,82,21.465384615384615,,
Morocco,14,20.87727272727273,,
Colombia,36,20.864285714285714,,
Iraq,63,20.49230769230769,,
Indonesia,33,20.075,,
Ecuador,17,19.564285714285713,,
Georgia,7,19.3,,
Bulgaria,5,19.3,,
Mexico,27,19.22,,
Algeria,86,17.628260869565217,,
Argentina,7,16.2,,
Azerbaijan,6,16.2,,
Turkmenistan,11,,,
Uzbekistan,48,,,
