university_name,the_rank_2024,the_overall_score_2024
indian institute of science,,57.25
university of delhi,,34.8
anna university,,43.6
jawaharlal nehru university,,39.4
shoolini university of biotechnology and management sciences,,43.6
savitribai phule pune university,,34.8
jadavpur university,,30.450000000000003
university of calcutta,,30.450000000000003
"birla institute of technology and science, pilani",,34.8
jamia millia islamia,,43.6
aligarh muslim university,,39.4
amity university,,34.8
amrita vishwa vidyapeetham,,34.8
banaras hindu university,,39.4
o.p. jindal global university,,
panjab university,,39.4
srm institute of science and technology,,25.5
chitkara university,,
osmania university,,25.5
pondicherry university,,30.450000000000003
