university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,rank_difference,absolute_rank_difference
U0287,university of cologne,Germany,DE,germany,285.0,37.2,35.2,30.4,15.7,29.3,30.1,35.9,56.8,91.9,True,160.0,61.5,42.9,47.1,85.6,98.8,73.3,28.7,17.0,53.0,True,146.0,58.0,44.5,46.5,80.0,77.3,64.4,30.4,16.0,53.0,True,germany,DEU,Germany,Federal Republic of Germany,DE,Europe & Central Asia,High income: OECD,True,68.2655868530273,,47.9433212280273,7.51541996002197,,,True,125.0,125.0
U0218,"university of maryland, college park",United States,US,united states,218.0,44.0,48.6,29.4,32.5,55.0,16.2,20.9,41.2,54.4,True,114.0,65.7,49.4,58.1,92.8,70.2,48.6,17.0,9.0,49.0,True,104.0,62.9,48.1,57.7,89.7,40.0,42.6,16.5,11.0,49.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,104.0,104.0
U0238,university of rochester,United States,US,united states,236.0,42.3,22.6,20.8,99.1,33.6,93.8,63.9,40.4,63.7,True,133.0,63.6,50.8,42.9,88.3,89.0,81.7,7.3,34.0,50.0,True,154.0,57.6,42.0,40.5,87.0,49.3,73.8,7.7,36.0,50.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,103.0,103.0
U0221,vrije universiteit amsterdam,Netherlands,NL,netherlands,221.0,43.8,39.4,17.8,21.3,63.7,47.4,67.3,45.1,50.8,True,125.0,64.7,40.4,51.0,93.4,91.5,84.3,19.2,18.0,57.0,True,121.0,60.9,38.4,52.2,87.5,59.1,79.4,19.8,16.0,56.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,96.0,96.0
U0216,university of florida,United States,US,united states,215.0,44.2,46.7,42.3,62.9,32.1,10.3,17.8,44.5,60.6,True,132.0,63.7,55.5,56.7,78.3,88.9,50.9,16.7,9.0,56.0,True,151.0,57.7,55.0,58.7,64.2,51.4,41.4,16.1,8.0,56.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,83.0,83.0
U0160,university of groningen,Netherlands,NL,netherlands,159.0,51.3,52.3,34.4,49.3,41.2,83.5,93.2,40.0,40.1,True,79.0,70.0,47.5,57.2,94.5,99.9,93.4,28.8,29.0,53.0,True,75.0,66.6,45.4,57.6,90.4,75.8,89.8,24.4,28.0,52.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,80.0,80.0
U0114,georgia institute of technology,United States,US,united states,114.0,57.3,67.1,82.6,20.3,52.8,66.4,21.3,43.1,39.5,True,36.0,80.0,63.4,78.9,94.1,94.6,84.8,28.0,29.0,34.0,True,38.0,76.0,60.2,75.9,91.4,64.9,81.2,24.7,40.0,33.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,78.0,78.0
U0135,university of science and technology of china,China (Mainland),CN,china,133.0,54.1,50.0,23.7,94.7,97.7,5.1,11.6,31.9,11.9,True,57.0,74.8,74.3,66.3,88.2,95.6,45.4,8.1,5.0,53.0,True,74.0,67.1,65.0,64.9,78.8,69.4,36.9,8.1,6.0,53.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,76.0,76.0
U0145,nanjing university,China (Mainland),CN,china,145.0,53.0,57.1,32.5,35.6,93.0,7.6,61.9,29.0,16.5,True,73.0,70.9,64.0,61.7,85.3,96.8,61.8,16.7,8.0,54.0,True,95.0,63.6,58.4,58.2,74.3,87.3,55.2,16.5,8.0,54.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,72.0,72.0
U0130,"university of california, davis",United States,US,united states,130.0,54.4,63.0,48.0,23.5,52.5,51.3,72.7,22.8,76.1,True,59.0,74.1,63.7,67.8,87.2,91.5,78.7,13.3,18.0,60.0,True,63.0,68.5,59.7,66.3,80.9,52.4,68.7,13.1,18.0,60.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,71.0,71.0
