country_name,universities,avg_rank_2023,avg_rank_2024,avg_rank_change,avg_absolute_rank_change
France,4,81.25,61.0,20.25,20.25
Netherlands,6,109.0,95.66666666666667,13.333333333333334,16.333333333333332
China (Mainland),6,50.833333333333336,40.5,10.333333333333334,10.333333333333334
Switzerland,4,83.75,76.75,7.0,7.0
South Korea,4,97.0,92.5,4.5,7.5
United States,40,59.375,56.9,2.475,9.075
United Kingdom,14,85.78571428571429,85.35714285714286,0.42857142857142855,6.0
Canada,3,34.666666666666664,37.0,-2.3333333333333335,2.3333333333333335
Germany,7,93.42857142857143,101.71428571428571,-8.285714285714286,10.857142857142858
Australia,8,78.25,87.5,-9.25,9.25
