the_rank_2024,university_name,country_name,the_overall_score_2024
1.0,university of oxford,United Kingdom,98.5
2.0,stanford university,United States,98.0
3.0,Massachusetts Institute of Technology,United States,97.9
4.0,harvard university,United States,97.8
5.0,university of cambridge,United Kingdom,97.5
6.0,princeton university,United States,96.9
7.0,California Institute of Technology,United States,96.5
8.0,imperial college london,United Kingdom,95.1
9.0,"University of California, Berkeley",United States,94.6
10.0,yale university,United States,94.2
11.0,ETH Zurich,Switzerland,93.1
12.0,tsinghua university,China (Mainland),92.4
13.0,The University of Chicago,United States,92.1
14.0,peking university,China (Mainland),91.8
15.0,johns hopkins university,United States,91.1
16.0,university of pennsylvania,United States,91.0
17.0,columbia university,United States,90.9
18.0,"University of California, Los Angeles",United States,90.1
19.0,National University of Singapore,Singapore,90.0
20.0,cornell university,United States,89.5
