wb_country_code,wb_country_name,wb_region,wb_income_group,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
QAT,Qatar,Middle East & North Africa,High income: nonOECD,14.5180797576904,3.57979011535645,65.976463317871,12.9428701400757,,3234.0
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,50.116390228271506,22.3049697875977,64.4203414916992,25.525169372558604,97.61406,42982.0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,27.2202701568604,,62.5823402404785,,,
TUN,Tunisia,Middle East & North Africa,Upper middle income,34.6065788269042,24.4065208435059,61.6124000549316,,,64612.0
LKA,Sri Lanka,South Asia,Lower middle income,19.7966194152832,11.0762100219727,61.0555191040039,,,46337.0
BRN,Brunei,East Asia & Pacific,High income: nonOECD,30.8447799682617,,60.9791984558105,11.9144697189331,,2768.0
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,44.2832183837891,30.5414791107178,60.2412490844727,26.140510559082,99.34061,39720.0
DZA,Algeria,Middle East & North Africa,Upper middle income,36.9222793579102,,60.20244979858399,24.0474796295166,,287914.0
BHR,Bahrain,Middle East & North Africa,High income: nonOECD,43.2632293701172,,59.589729309082,15.436900138855,,5691.0
LVA,Latvia,Europe & Central Asia,High income: nonOECD,,34.5982093811035,59.56613922119139,12.5612096786499,,17021.0
SWE,Sweden,Europe & Central Asia,High income: OECD,62.3007698059082,,59.1986618041992,12.5553598403931,,
EST,Estonia,Europe & Central Asia,High income: OECD,69.5504302978516,,58.8057403564453,,,10491.0
THA,Thailand,East Asia & Pacific,Upper middle income,48.8574409484863,26.9894104003906,58.3397102355957,21.5390300750732,98.14663,371412.0
MYS,Malaysia,East Asia & Pacific,Upper middle income,26.074089050293,15.1786804199219,58.2287902832031,10.1904096603394,,192260.0
OMN,Oman,Middle East & North Africa,High income: nonOECD,,,58.1746711730957,16.1571807861328,99.15373,18605.0
NOR,Norway,Europe & Central Asia,High income: OECD,76.6963806152344,47.5122604370117,57.8713912963867,9.92749977111816,,48212.0
LTU,Lithuania,Europe & Central Asia,High income: nonOECD,,57.47573852539059,57.5741806030273,10.7555599212646,,32205.0
BWA,Botswana,Sub-Saharan Africa,Upper middle income,27.5310897827148,,57.4930305480957,,,15594.0
MNG,Mongolia,East Asia & Pacific,Lower middle income,68.5670166015625,,57.4323310852051,20.2595405578613,,35181.0
CZE,Czech Republic,Europe & Central Asia,High income: OECD,64.9667129516602,39.0339508056641,57.2906188964844,,,98119.0
