wb_country_code,wb_country_name,wb_region,wb_income_group,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,8.78775024414063,,37.5186805725098,10.7137098312378,100.0,68192.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,25.483200073242205,,51.7134284973145,9.70718955993652,99.94278,48021.0
SGP,Singapore,East Asia & Pacific,High income: nonOECD,,,,,99.7849,
IDN,Indonesia,East Asia & Pacific,Lower middle income,24.254940032959,,52.1860504150391,,99.67006999999998,941038.0
ESP,Spain,Europe & Central Asia,High income: OECD,89.6701431274414,51.223751068115206,53.14381027221669,12.5089902877808,99.65568000000002,438616.0
TUR,Turkey,Europe & Central Asia,Upper middle income,94.7322998046875,,45.9554710388184,,99.49439,
BOL,Bolivia,Latin America & Caribbean,Lower middle income,,,,,99.39917,
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,44.2832183837891,30.5414791107178,60.2412490844727,26.140510559082,99.34061,39720.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,,,,,99.3,
KWT,Kuwait,Middle East & North Africa,High income: nonOECD,,,,,99.25909,
OMN,Oman,Middle East & North Africa,High income: nonOECD,,,58.1746711730957,16.1571807861328,99.15373,18605.0
ECU,Ecuador,Latin America & Caribbean,Upper middle income,,,,,99.1262,
PER,Peru,Latin America & Caribbean,Upper middle income,,,,,99.00954,
VEN,Venezuela,Latin America & Caribbean,Upper middle income,,,,,99.00763,
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,,,,,98.95578,
MEX,Mexico,Latin America & Caribbean,Upper middle income,,,,,98.94471,
URY,Uruguay,Latin America & Caribbean,High income: nonOECD,55.5662689208984,,,7.0883898735046404,98.9276,12036.0
COL,Colombia,Latin America & Caribbean,Upper middle income,55.6572685241699,21.1114101409912,52.9310913085938,15.364080429077102,98.53473,374738.0
PRY,Paraguay,Latin America & Caribbean,Lower middle income,,,,,98.32855,
THA,Thailand,East Asia & Pacific,Upper middle income,48.8574409484863,26.9894104003906,58.3397102355957,21.5390300750732,98.14663,371412.0
