country_name,university_count,average_score,best_rank
Hong Kong SAR,7,71.51666666666667,17.0
Mexico,32,54.75,94.0
Switzerland,10,54.27777777777778,7.0
Netherlands,13,51.73076923076923,49.0
Sweden,8,50.9875,74.0
Japan,49,49.778571428571425,32.0
United States,197,48.90714285714286,1.0
Australia,38,48.593548387096774,13.0
Denmark,5,48.2,100.0
United Kingdom,90,48.18571428571429,2.0
Canada,30,46.95,25.0
South Korea,43,44.17058823529412,31.0
Norway,6,44.1,119.0
New Zealand,8,42.4,65.0
Belgium,9,42.2875,63.0
Ireland,8,41.85,87.0
France,35,41.51764705882353,24.0
Colombia,24,41.233333333333334,179.0
Brazil,35,41.2,92.0
Chile,25,40.675,93.0
Germany,48,39.63823529411765,28.0
Malaysia,28,39.04615384615385,60.0
Taiwan,27,38.8875,68.0
China (Mainland),71,38.325641025641026,14.0
Kazakhstan,21,38.166666666666664,163.0
Austria,8,38.08,137.0
Saudi Arabia,20,37.93333333333333,101.0
India,46,35.8,118.0
Finland,9,35.6875,113.0
South Africa,11,35.61666666666667,171.0
Argentina,25,34.75,71.0
Italy,42,34.394444444444446,111.0
Portugal,8,34.38,260.0
Israel,6,34.3,209.0
Spain,35,33.78333333333333,164.0
Indonesia,26,33.22857142857143,206.0
Poland,22,32.666666666666664,258.0
Peru,10,31.9,359.0
Lebanon,6,31.25,250.0
Czech Republic,16,30.075,246.0
Turkey,25,29.666666666666668,285.0
United Arab Emirates,12,29.622222222222224,202.0
Thailand,13,29.375,229.0
Greece,7,29.333333333333332,321.0
Russia,47,29.186666666666667,94.0
Philippines,5,28.45,336.0
"Iran, Islamic Republic of",9,28.016666666666666,342.0
Pakistan,14,27.95,315.0
Egypt,15,27.5,350.0
Lithuania,5,27.1,439.0
Jordan,10,26.9,368.0
Vietnam,6,24.4,495.0
Bangladesh,15,22.4,554.0
Hungary,11,21.8,564.0
Ecuador,11,,
Iraq,5,,
Romania,13,,
Slovakia,6,,
Ukraine,11,,
Venezuela,7,,
