university_id,university_name,country_name,qs_rank_2025,the_rank_2024,the_rank_2023
U0002,imperial college london,United Kingdom,2.0,8.0,10.0
U0003,university of oxford,United Kingdom,3.0,1.0,1.0
U0004,harvard university,United States,4.0,4.0,2.0
U0005,university of cambridge,United Kingdom,5.0,5.0,3.0
U0006,stanford university,United States,6.0,2.0,3.0
U0009,ucl,United Kingdom,9.0,22.0,22.0
U0011,university of pennsylvania,United States,11.0,16.0,14.0
U0014,peking university,China (Mainland),14.0,14.0,17.0
U0016,cornell university,United States,16.0,20.0,20.0
U0018,the university of sydney,Australia,18.0,60.0,54.0
U0020,tsinghua university,China (Mainland),20.0,12.0,16.0
U0022,princeton university,United States,22.0,6.0,7.0
U0023,yale university,United States,23.0,10.0,9.0
U0025,university of toronto,Canada,25.0,21.0,18.0
U0028,technical university of munich,Germany,28.0,,30.0
U0029,mcgill university,Canada,29.0,49.0,46.0
U0031,seoul national university,South Korea,31.0,62.0,56.0
U0032,johns hopkins university,United States,32.0,15.0,15.0
U0033,the university of tokyo,Japan,32.0,29.0,39.0
U0034,columbia university,United States,34.0,17.0,11.0
U0037,monash university,Australia,37.0,54.0,44.0
U0038,university of british columbia,Canada,38.0,41.0,40.0
U0039,fudan university,China (Mainland),39.0,44.0,51.0
U0041,the university of queensland,Australia,40.0,70.0,53.0
U0044,university of michigan-ann arbor,United States,44.0,23.0,23.0
U0045,shanghai jiao tong university,China (Mainland),45.0,43.0,52.0
U0046,institut polytechnique de paris,France,46.0,71.0,95.0
U0047,the hong kong university of science and technology,Hong Kong SAR,47.0,,58.0
U0048,zhejiang university,China (Mainland),47.0,,67.0
U0049,delft university of technology,Netherlands,49.0,48.0,70.0
U0050,kyoto university,Japan,50.0,,68.0
U0051,northwestern university,United States,50.0,28.0,26.0
U0054,university of bristol,United Kingdom,54.0,81.0,76.0
U0055,university of amsterdam,Netherlands,55.0,61.0,60.0
U0058,carnegie mellon university,United States,58.0,24.0,28.0
U0061,duke university,United States,61.0,26.0,25.0
U0062,city university of hong kong,Hong Kong SAR,62.0,82.0,99.0
U0063,ku leuven,Belgium,63.0,45.0,42.0
U0064,sorbonne university,France,63.0,75.0,90.0
U0066,university of texas at austin,United States,66.0,52.0,50.0
U0067,korea university,South Korea,67.0,,201.0
U0068,national taiwan university (ntu),Taiwan,68.0,,187.0
U0070,university of illinois at urbana-champaign,United States,69.0,42.0,48.0
U0073,université paris-saclay,France,73.0,58.0,93.0
U0074,kth royal institute of technology,Sweden,74.0,,155.0
U0075,lund university,Sweden,75.0,,119.0
U0076,university of washington,United States,76.0,25.0,26.0
U0077,the university of western australia,Australia,77.0,,131.0
U0078,university of glasgow,United Kingdom,78.0,,82.0
U0079,brown university,United States,79.0,,61.0
