university_id,university_name,country_name,wb_country_code,wb_region,wb_income_group
U0013,the university of melbourne,Australia,AUS,East Asia & Pacific,High income: OECD
U0018,the university of sydney,Australia,AUS,East Asia & Pacific,High income: OECD
U0019,the university of new south wales (unsw sydney),Australia,AUS,East Asia & Pacific,High income: OECD
U0025,university of toronto,Canada,CAN,North America,High income: OECD
U0029,mcgill university,Canada,CAN,North America,High income: OECD
U0030,the australian national university,Australia,AUS,East Asia & Pacific,High income: OECD
U0033,the university of tokyo,Japan,JPN,East Asia & Pacific,High income: OECD
U0037,monash university,Australia,AUS,East Asia & Pacific,High income: OECD
U0038,university of british columbia,Canada,CAN,North America,High income: OECD
U0041,the university of queensland,Australia,AUS,East Asia & Pacific,High income: OECD
U0050,kyoto university,Japan,JPN,East Asia & Pacific,High income: OECD
U0068,national taiwan university (ntu),Taiwan,,,
U0077,the university of western australia,Australia,AUS,East Asia & Pacific,High income: OECD
U0082,the university of adelaide,Australia,AUS,East Asia & Pacific,High income: OECD
U0085,tokyo institute of technology (tokyo tech),Japan,JPN,East Asia & Pacific,High income: OECD
U0086,osaka university,Japan,JPN,East Asia & Pacific,High income: OECD
U0088,university of technology sydney,Australia,AUS,East Asia & Pacific,High income: OECD
U0096,university of alberta,Canada,CAN,North America,High income: OECD
U0107,tohoku university,Japan,JPN,East Asia & Pacific,High income: OECD
U0115,university of waterloo,Canada,CAN,North America,High income: OECD
U0121,western university,Canada,CAN,North America,High income: OECD
U0123,rmit university,Australia,AUS,East Asia & Pacific,High income: OECD
U0134,macquarie university,Australia,AUS,East Asia & Pacific,High income: OECD
U0153,nagoya university,Japan,JPN,East Asia & Pacific,High income: OECD
U0159,université de montréal,Canada,CAN,North America,High income: OECD
U0167,kyushu university,Japan,JPN,East Asia & Pacific,High income: OECD
U0168,university of wollongong,Australia,AUS,East Asia & Pacific,High income: OECD
U0173,hokkaido university,Japan,JPN,East Asia & Pacific,High income: OECD
U0174,curtin university,Australia,AUS,East Asia & Pacific,High income: OECD
U0176,mcmaster university,Canada,CAN,North America,High income: OECD
U0179,"the university of newcastle, australia (uon)",Australia,AUS,East Asia & Pacific,High income: OECD
U0182,waseda university,Japan,JPN,East Asia & Pacific,High income: OECD
U0188,keio university,Japan,JPN,East Asia & Pacific,High income: OECD
U0189,university of ottawa,Canada,CAN,North America,High income: OECD
U0193,queen's university at kingston,Canada,CAN,North America,High income: OECD
U0197,deakin university,Australia,AUS,East Asia & Pacific,High income: OECD
U0199,university of calgary,Canada,CAN,North America,High income: OECD
U0210,national tsing hua university,Taiwan,,,
U0213,queensland university of technology (qut),Australia,AUS,East Asia & Pacific,High income: OECD
U0215,national cheng kung university (ncku),Taiwan,,,
U0217,la trobe university,Australia,AUS,East Asia & Pacific,High income: OECD
U0219,national yang ming chiao tung university,Taiwan,,,
U0255,griffith university,Australia,AUS,East Asia & Pacific,High income: OECD
U0275,dalhousie university,Canada,CAN,North America,High income: OECD
U0291,swinburne university of technology,Australia,AUS,East Asia & Pacific,High income: OECD
U0294,university of tasmania,Australia,AUS,East Asia & Pacific,High income: OECD
U0319,simon fraser university,Canada,CAN,North America,High income: OECD
U0322,national technical university of athens,Greece,GRC,Europe & Central Asia,High income: OECD
U0336,flinders university,Australia,AUS,East Asia & Pacific,High income: OECD
U0339,university of the philippines,Philippines,PHL,East Asia & Pacific,Lower middle income
U0340,university of saskatchewan,Canada,CAN,North America,High income: OECD
U0341,university of south australia,Australia,AUS,East Asia & Pacific,High income: OECD
U0349,university of victoria (uvic),Canada,CAN,North America,High income: OECD
U0357,university of luxembourg,Luxembourg,LUX,Europe & Central Asia,High income: OECD
U0364,york university,Canada,CAN,North America,High income: OECD
U0379,university of tsukuba,Japan,JPN,East Asia & Pacific,High income: OECD
U0384,western sydney university,Australia,AUS,East Asia & Pacific,High income: OECD
U0392,national taiwan university of science and technology (taiwan tech),Taiwan,,,
U0393,national and kapodistrian university of athens,Greece,GRC,Europe & Central Asia,High income: OECD
U0400,university of southern queensland,Australia,AUS,East Asia & Pacific,High income: OECD
U0404,university of canberra,Australia,AUS,East Asia & Pacific,High income: OECD
U0415,concordia university,Canada,CAN,North America,High income: OECD
U0424,université laval,Canada,CAN,North America,High income: OECD
U0425,national taipei university of technology,Taiwan,,,
