wb_country_code,wb_country_name,wb_region,wb_income_group,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
AGO,Angola,Sub-Saharan Africa,Upper middle income,9.30801963806152,,44.5065803527832,25.5238990783691,,
ALB,Albania,Europe & Central Asia,Upper middle income,58.1099510192871,36.8129501342773,56.7119483947754,,,33529.0
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,,,54.916259765625,17.8090705871582,,27893.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,,,,,99.3,
ARM,Armenia,Europe & Central Asia,Lower middle income,44.3095016479492,37.4854888916016,54.2729797363281,6.86901998519897,,
AUS,Australia,East Asia & Pacific,High income: OECD,,,,,,
AUT,Austria,Europe & Central Asia,High income: OECD,81.5405120849609,34.8578910827637,53.2282218933105,6.995240211486819,,83587.0859375
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,25.483200073242205,,51.7134284973145,9.70718955993652,99.94278,48021.0
BEL,Belgium,Europe & Central Asia,High income: OECD,75.0368270874023,,55.8789100646973,,,
BGD,Bangladesh,South Asia,Low income,,,,,,
BGR,Bulgaria,Europe & Central Asia,Upper middle income,73.934196472168,49.56098937988279,54.5615196228027,,,62718.0
BHR,Bahrain,Middle East & North Africa,High income: nonOECD,43.2632293701172,,59.589729309082,15.436900138855,,5691.0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,,,56.0138282775879,11.3218898773193,,20589.0
BLR,Belarus,Europe & Central Asia,Upper middle income,87.9407424926758,,55.635440826416,14.5663003921509,,127520.0
BOL,Bolivia,Latin America & Caribbean,Lower middle income,,,,,99.39917,
BRA,Brazil,Latin America & Caribbean,Upper middle income,50.6049194335938,,57.0587997436523,,,
BRN,Brunei,East Asia & Pacific,High income: nonOECD,30.8447799682617,,60.9791984558105,11.9144697189331,,2768.0
BWA,Botswana,Sub-Saharan Africa,Upper middle income,27.5310897827148,,57.4930305480957,,,15594.0
CAN,Canada,North America,High income: OECD,,,,,,
CHE,Switzerland,Europe & Central Asia,High income: OECD,57.672191619873004,51.3324813842773,49.8023414611816,,,86178.0
CHL,Chile,Latin America & Caribbean,High income: OECD,88.577293395996,,51.902889251709,,,
CHN,China,East Asia & Pacific,Upper middle income,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0
COL,Colombia,Latin America & Caribbean,Upper middle income,55.6572685241699,21.1114101409912,52.9310913085938,15.364080429077102,98.53473,374738.0
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,53.6296615600586,50.3252410888672,55.6451683044434,,,49778.0
CUB,Cuba,Latin America & Caribbean,Upper middle income,36.2803993225098,36.6180191040039,56.767261505126996,4.59683990478516,,84139.0
CYP,Cyprus,Europe & Central Asia,High income: nonOECD,60.101230621337905,,56.76963043212889,12.6544103622437,,7941.0
CZE,Czech Republic,Europe & Central Asia,High income: OECD,64.9667129516602,39.0339508056641,57.2906188964844,,,98119.0
DEU,Germany,Europe & Central Asia,High income: OECD,68.2655868530273,,47.9433212280273,7.51541996002197,,
DNK,Denmark,Europe & Central Asia,High income: OECD,82.7869720458984,,57.0733299255371,8.46296977996826,,74428.0
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,50.116390228271506,22.3049697875977,64.4203414916992,25.525169372558604,97.61406,42982.0
DZA,Algeria,Middle East & North Africa,Upper middle income,36.9222793579102,,60.20244979858399,24.0474796295166,,287914.0
ECU,Ecuador,Latin America & Caribbean,Upper middle income,,,,,99.1262,
EGY,Egypt,Middle East & North Africa,Lower middle income,36.2285385131836,,48.0099792480469,,,
ESP,Spain,Europe & Central Asia,High income: OECD,89.6701431274414,51.223751068115206,53.14381027221669,12.5089902877808,99.65568000000002,438616.0
EST,Estonia,Europe & Central Asia,High income: OECD,69.5504302978516,,58.8057403564453,,,10491.0
ETH,Ethiopia,Sub-Saharan Africa,Low income,,,,,,
FIN,Finland,Europe & Central Asia,High income: OECD,87.28970336914058,53.0008697509766,53.594970703125,,,56829.0
FJI,Fiji,East Asia & Pacific,Upper middle income,,,,,,
FRA,France,Europe & Central Asia,High income: OECD,,47.0227584838867,,,,752068.0
GBR,United Kingdom,Europe & Central Asia,High income: OECD,,,,,,740276.0
GEO,Georgia,Europe & Central Asia,Lower middle income,43.4195289611816,,54.0213012695313,7.08954000473022,,22214.0
GHA,Ghana,Sub-Saharan Africa,Lower middle income,16.2305107116699,,40.0305099487305,28.927120208740195,,67472.0
GRC,Greece,Europe & Central Asia,High income: OECD,,,,,,
GTM,Guatemala,Latin America & Caribbean,Lower middle income,21.846809387207,,53.5707511901855,,,33680.0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income: nonOECD,68.475456237793,,52.449649810791,,,
HND,Honduras,Latin America & Caribbean,Lower middle income,22.0593700408936,10.9112396240234,57.0028991699219,19.9702701568604,96.00751,21481.0
HRV,Croatia,Europe & Central Asia,High income: nonOECD,69.052490234375,48.5432395935059,56.4713401794434,10.0503702163696,,36144.0
HUN,Hungary,Europe & Central Asia,Upper middle income,50.8622016906738,34.0990982055664,54.5398712158203,14.622429847717301,,68485.0
IDN,Indonesia,East Asia & Pacific,Lower middle income,24.254940032959,,52.1860504150391,,99.67006999999998,941038.0
IND,India,South Asia,Lower middle income,26.874879837036104,28.7010097503662,47.1949195861816,24.2897605895996,,8428836.0
IRL,Ireland,Europe & Central Asia,High income: OECD,83.7777862548828,,50.907600402832,,,
IRN,Iran,Middle East & North Africa,Upper middle income,71.8811416625977,32.0686416625977,45.8151702880859,15.25767993927,,738260.0
IRQ,Iraq,Middle East & North Africa,Upper middle income,,,,,,
ISL,Iceland,Europe & Central Asia,High income: OECD,,,,,,
ISR,Israel,Middle East & North Africa,High income: OECD,64.7467803955078,,56.7566184997559,,,
ITA,Italy,Europe & Central Asia,High income: OECD,62.49607086181639,,56.331508636474595,20.300500869751,,
JAM,Jamaica,Latin America & Caribbean,Upper middle income,27.2202701568604,,62.5823402404785,,,
JOR,Jordan,Middle East & North Africa,Upper middle income,44.8695182800292,,51.5971183776855,22.453159332275398,,69704.0
JPN,Japan,East Asia & Pacific,High income: OECD,,,,,,
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,46.039909362793,67.1917724609375,55.4981384277344,12.975190162658699,,241472.0
KEN,Kenya,Sub-Saharan Africa,Low income,,,,,,
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,46.90145111083981,33.9849090576172,55.703098297119105,12.8191499710083,,52570.0
KHM,Cambodia,East Asia & Pacific,Low income,13.0882596969604,,43.7082481384277,17.7497997283936,,48772.0
KOR,Korea,East Asia & Pacific,High income: OECD,93.1791381835938,,40.7566299438477,,,
KWT,Kuwait,Middle East & North Africa,High income: nonOECD,,,,,99.25909,
LBN,Lebanon,Middle East & North Africa,Upper middle income,38.4847717285156,,,,,
LBY,Libya,Middle East & North Africa,Upper middle income,,,,,,
LKA,Sri Lanka,South Asia,Lower middle income,19.7966194152832,11.0762100219727,61.0555191040039,,,46337.0
LTU,Lithuania,Europe & Central Asia,High income: nonOECD,,57.47573852539059,57.5741806030273,10.7555599212646,,32205.0
LUX,Luxembourg,Europe & Central Asia,High income: OECD,,,,,,
LVA,Latvia,Europe & Central Asia,High income: nonOECD,,34.5982093811035,59.56613922119139,12.5612096786499,,17021.0
MAC,"Macao SAR, China",East Asia & Pacific,High income: nonOECD,75.5988464355469,53.4912300109863,56.29975891113279,15.2709703445435,,6674.0
MAR,Morocco,Middle East & North Africa,Lower middle income,28.1435794830322,,48.0312385559082,,,159028.0
MDA,Moldova,Europe & Central Asia,Lower middle income,41.2134819030762,,56.2895889282227,16.5099601745605,,31459.0
MEX,Mexico,Latin America & Caribbean,Upper middle income,,,,,98.94471,
