university_id,university_name,country_code,country_name,country_name_canonical,wb_country_code,wb_region,wb_income_group
U0001,massachusetts institute of technology (mit),US,United States,united states,USA,North America,High income: OECD
U0002,imperial college london,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0003,university of oxford,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0004,harvard university,US,United States,united states,USA,North America,High income: OECD
U0005,university of cambridge,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0006,stanford university,US,United States,united states,USA,North America,High income: OECD
U0007,eth zurich - swiss federal institute of technology,CH,Switzerland,switzerland,CHE,Europe & Central Asia,High income: OECD
U0008,national university of singapore (nus),SG,Singapore,singapore,SGP,East Asia & Pacific,High income: nonOECD
U0009,ucl,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0010,california institute of technology (caltech),US,United States,united states,USA,North America,High income: OECD
U0011,university of pennsylvania,US,United States,united states,USA,North America,High income: OECD
U0012,"university of california, berkeley (ucb)",US,United States,united states,USA,North America,High income: OECD
U0013,the university of melbourne,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0014,peking university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0015,"nanyang technological university, singapore (ntu)",SG,Singapore,singapore,SGP,East Asia & Pacific,High income: nonOECD
U0016,cornell university,US,United States,united states,USA,North America,High income: OECD
U0017,the university of hong kong,HK,Hong Kong SAR,hong kong,HKG,East Asia & Pacific,High income: nonOECD
U0018,the university of sydney,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0019,the university of new south wales (unsw sydney),AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0020,tsinghua university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0021,university of chicago,US,United States,united states,USA,North America,High income: OECD
U0022,princeton university,US,United States,united states,USA,North America,High income: OECD
U0023,yale university,US,United States,united states,USA,North America,High income: OECD
U0024,université psl,FR,France,france,FRA,Europe & Central Asia,High income: OECD
U0025,university of toronto,CA,Canada,canada,CAN,North America,High income: OECD
U0026,epfl,CH,Switzerland,switzerland,CHE,Europe & Central Asia,High income: OECD
U0027,the university of edinburgh,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0028,technical university of munich,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0029,mcgill university,CA,Canada,canada,CAN,North America,High income: OECD
U0030,the australian national university,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0031,seoul national university,KR,South Korea,south korea,KOR,East Asia & Pacific,High income: OECD
U0032,johns hopkins university,US,United States,united states,USA,North America,High income: OECD
U0033,the university of tokyo,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0034,columbia university,US,United States,united states,USA,North America,High income: OECD
U0035,the university of manchester,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0036,the chinese university of hong kong (cuhk),HK,Hong Kong SAR,hong kong,HKG,East Asia & Pacific,High income: nonOECD
U0037,monash university,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0038,university of british columbia,CA,Canada,canada,CAN,North America,High income: OECD
U0039,fudan university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0040,king's college london,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0041,the university of queensland,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0042,"university of california, los angeles (ucla)",US,United States,united states,USA,North America,High income: OECD
U0043,new york university (nyu),US,United States,united states,USA,North America,High income: OECD
U0044,university of michigan-ann arbor,US,United States,united states,USA,North America,High income: OECD
U0045,shanghai jiao tong university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0046,institut polytechnique de paris,FR,France,france,FRA,Europe & Central Asia,High income: OECD
U0047,the hong kong university of science and technology,HK,Hong Kong SAR,hong kong,HKG,East Asia & Pacific,High income: nonOECD
U0048,zhejiang university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0049,delft university of technology,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0050,kyoto university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0051,northwestern university,US,United States,united states,USA,North America,High income: OECD
U0052,the london school of economics and political science (lse),GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0053,kaist - korea advanced institute of science & technology,KR,South Korea,south korea,KOR,East Asia & Pacific,High income: OECD
U0054,university of bristol,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0055,university of amsterdam,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0056,yonsei university,KR,South Korea,south korea,KOR,East Asia & Pacific,High income: OECD
U0057,the hong kong polytechnic university,HK,Hong Kong SAR,hong kong,HKG,East Asia & Pacific,High income: nonOECD
U0058,carnegie mellon university,US,United States,united states,USA,North America,High income: OECD
U0059,ludwig-maximilians-universität münchen,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0060,universiti malaya (um),MY,Malaysia,malaysia,MYS,East Asia & Pacific,Upper middle income
U0061,duke university,US,United States,united states,USA,North America,High income: OECD
U0062,city university of hong kong,HK,Hong Kong SAR,hong kong,HKG,East Asia & Pacific,High income: nonOECD
U0063,ku leuven,BE,Belgium,belgium,BEL,Europe & Central Asia,High income: OECD
U0064,sorbonne university,FR,France,france,FRA,Europe & Central Asia,High income: OECD
U0065,the university of auckland,NZ,New Zealand,new zealand,NZL,East Asia & Pacific,High income: OECD
U0066,university of texas at austin,US,United States,united states,USA,North America,High income: OECD
U0067,korea university,KR,South Korea,south korea,KOR,East Asia & Pacific,High income: OECD
U0068,national taiwan university (ntu),TW,Taiwan,taiwan,,,
U0069,the university of warwick,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0070,university of illinois at urbana-champaign,US,United States,united states,USA,North America,High income: OECD
U0071,universidad de buenos aires (uba),AR,Argentina,argentina,ARG,Latin America & Caribbean,Upper middle income
U0072,"university of california, san diego (ucsd)",US,United States,united states,USA,North America,High income: OECD
U0073,université paris-saclay,FR,France,france,FRA,Europe & Central Asia,High income: OECD
U0074,kth royal institute of technology,SE,Sweden,sweden,SWE,Europe & Central Asia,High income: OECD
U0075,lund university,SE,Sweden,sweden,SWE,Europe & Central Asia,High income: OECD
U0076,university of washington,US,United States,united states,USA,North America,High income: OECD
U0077,the university of western australia,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0078,university of glasgow,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0079,brown university,US,United States,united states,USA,North America,High income: OECD
U0080,university of birmingham,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0081,university of southampton,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0082,the university of adelaide,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0083,university of leeds,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0084,ruprecht-karls-universität heidelberg,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0085,tokyo institute of technology (tokyo tech),JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0086,osaka university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0087,"trinity college dublin, the university of dublin",IE,Ireland,ireland,IRL,Europe & Central Asia,High income: OECD
U0088,university of technology sydney,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0089,durham university,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0090,pennsylvania state university,US,United States,united states,USA,North America,High income: OECD
U0091,purdue university,US,United States,united states,USA,North America,High income: OECD
U0092,universidade de são paulo,BR,Brazil,brazil,BRA,Latin America & Caribbean,Upper middle income
U0093,pontificia universidad católica de chile (uc),CL,Chile,chile,CHL,Latin America & Caribbean,High income: OECD
U0094,lomonosov moscow state university,RU,Russia,russia,RUS,Europe & Central Asia,High income: nonOECD
U0095,universidad nacional autónoma de méxico (unam),MX,Mexico,mexico,MEX,Latin America & Caribbean,Upper middle income
U0096,university of alberta,CA,Canada,canada,CAN,North America,High income: OECD
U0097,freie universitaet berlin,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0098,pohang university of science and technology (postech),KR,South Korea,south korea,KOR,East Asia & Pacific,High income: OECD
U0099,rwth aachen university,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0100,university of copenhagen,DK,Denmark,denmark,DNK,Europe & Central Asia,High income: OECD
U0101,king fahd university of petroleum & minerals,SA,Saudi Arabia,saudi arabia,SAU,Middle East & North Africa,High income: nonOECD
U0102,"kit, karlsruhe institute of technology",DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0103,uppsala university,SE,Sweden,sweden,SWE,Europe & Central Asia,High income: OECD
U0104,university of st andrews,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0105,the university of sheffield,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0106,utrecht university,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0107,tohoku university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
