university_id,year,global_ranking_score,research_impact_score,student_staff_ratio,faculty_student_ratio_score,international_student_percentage,academic_reputation_score,research_productivity_index
U0001,2024,100.0,100.0,,,,100.0,
U0002,2024,98.5,93.9,11.8,77.51778360164732,61.0,98.5,95.635
U0003,2024,96.9,84.8,10.9,81.50505428678397,42.0,100.0,93.67
U0004,2024,96.8,100.0,9.0,90.00374391613629,25.0,100.0,99.815
U0005,2024,96.7,84.6,11.5,78.99663047547735,38.0,100.0,93.34
U0006,2024,96.1,99.0,6.4,96.42456008985398,23.0,100.0,98.73
U0007,2024,93.9,97.9,,,,98.8,
U0008,2024,93.7,93.1,,,,99.5,
U0009,2024,91.6,72.2,11.3,79.95132909022837,61.0,99.5,83.77000000000001
U0010,2024,90.9,100.0,,,,96.5,
U0011,2024,90.3,74.0,6.2,96.81767128416324,22.0,96.3,85.39500000000001
U0012,2024,90.1,98.2,,,,100.0,
U0013,2024,88.9,93.0,,,,98.5,
U0014,2024,88.5,97.7,10.9,81.50505428678397,14.0,99.5,94.935
U0015,2024,88.4,92.4,,,,91.9,
U0016,2024,87.9,97.5,10.0,86.0539123923624,24.0,98.3,94.445
U0017,2024,87.6,86.4,,,,97.4,
U0018,2024,87.3,93.7,23.1,23.41819543242232,51.0,96.4,84.595
U0019,2024,87.1,94.9,,,,90.5,
U0020,2024,86.5,99.1,11.2,80.49419692998877,10.0,99.2,97.275
U0021,2024,86.2,60.8,,,,99.1,
U0022,2024,85.5,100.0,7.3,94.92699363534255,23.0,99.8,98.965
U0023,2024,85.2,38.6,5.2,97.60389367278172,21.0,99.9,73.08
U0024,2024,84.7,87.6,,,,74.4,
U0025,2024,84.1,50.8,25.8,17.63384500187196,27.0,99.7,76.455
U0026,2024,83.5,93.6,,,,84.2,
U0027,2024,83.3,47.7,,,,98.3,
U0028,2024,83.2,75.9,44.4,2.789217521527521,39.0,83.0,82.645
U0029,2024,83.0,57.9,11.9,76.97491576188693,29.0,94.3,70.66499999999999
U0030,2024,82.4,84.6,,,,93.8,
U0031,2024,82.3,71.7,16.1,52.639460876076384,13.0,98.5,73.685
U0032,2024,82.1,84.2,4.1,98.427555222763,28.0,86.0,90.285
U0033,2024,82.1,57.3,10.3,84.5001871958068,15.0,100.0,72.84
U0034,2024,82.0,31.7,5.2,97.60389367278172,35.0,99.6,68.42500000000001
U0035,2024,82.0,45.1,,,,95.6,
U0036,2024,81.3,92.9,,,,86.7,
U0037,2024,81.2,87.6,43.1,2.995132909022835,38.0,89.2,82.445
U0038,2024,81.0,57.7,19.4,36.70909771621116,34.0,98.3,72.515
U0039,2024,80.3,80.7,12.6,73.23099962560839,9.0,85.7,79.50999999999999
U0040,2024,80.2,53.6,,,,90.3,
U0041,2024,80.2,90.2,39.1,4.473979782852866,42.0,86.7,80.86000000000001
U0042,2024,79.8,74.0,,,,100.0,
U0043,2024,79.6,28.6,,,,96.3,
U0044,2024,79.0,47.6,8.1,92.86783976038936,16.0,97.9,73.505
U0045,2024,77.8,99.6,12.6,73.23099962560839,9.0,84.0,87.565
U0046,2024,77.5,86.1,6.8,95.80681392736804,42.0,44.7,73.7
U0047,2024,77.1,99.7,19.9,34.18195432422314,30.0,81.1,84.84
U0048,2024,77.1,99.5,12.0,76.3010108573568,16.0,75.3,85.83
U0049,2024,77.0,79.7,15.9,54.26806439535754,30.0,74.4,78.375
U0050,2024,76.0,39.3,9.0,90.00374391613629,11.0,98.8,60.225
U0051,2024,76.0,67.7,13.1,70.46050168476225,18.0,84.0,79.11
U0052,2024,76.0,69.4,,,,67.2,
U0053,2024,75.7,96.2,,,,87.7,
U0054,2024,75.4,75.9,14.8,60.61400224634967,31.0,75.8,74.46000000000001
U0055,2024,73.7,92.2,13.2,69.89891426432048,36.0,83.8,83.14
U0056,2024,72.9,44.1,,,,81.5,
U0057,2024,72.1,94.9,30.6,10.819917633845,30.0,68.0,80.52
U0058,2024,72.0,98.9,11.9,76.97491576188693,44.0,69.8,93.895
U0059,2024,71.6,50.0,,,,92.2,
U0060,2024,71.2,29.1,,,,82.9,
U0061,2024,70.8,35.1,3.9,98.61475102957694,18.0,86.0,64.725
U0062,2024,70.7,100.0,13.2,69.89891426432048,67.0,60.9,81.11500000000001
U0063,2024,70.3,91.0,37.3,5.466117558966676,19.0,84.6,85.59
U0064,2024,70.3,72.3,14.5,62.67315612130289,22.0,87.2,71.125
U0065,2024,69.7,66.9,,,,82.2,
U0066,2024,69.5,76.7,16.4,50.86110071134407,8.0,93.5,79.92500000000001
U0067,2024,69.0,45.0,16.3,51.535005615874205,31.0,78.2,52.31
U0068,2024,68.7,44.3,11.1,80.88730812429802,13.0,93.4,54.6
U0069,2024,68.2,37.7,,,,72.2,
U0070,2024,68.2,77.5,19.6,35.49232497192063,23.0,83.9,80.825
U0071,2024,67.6,1.6,,,,94.1,
U0072,2024,67.1,67.0,,,,89.3,
U0073,2024,67.0,35.0,13.0,71.19056533133659,24.0,60.7,57.735
U0074,2024,65.7,86.1,15.9,54.26806439535754,26.0,45.2,74.91999999999999
U0075,2024,65.6,44.6,12.0,76.3010108573568,18.0,68.3,59.3
U0076,2024,65.3,78.8,10.1,85.62336203669038,16.0,81.9,85.295
U0077,2024,65.2,98.8,22.4,25.32759266192437,26.0,55.5,78.705
U0078,2024,65.0,32.5,14.4,63.38450018719581,43.0,77.4,55.33
U0079,2024,64.7,76.4,10.3,84.5001871958068,19.0,59.9,73.845
U0080,2024,64.1,40.5,15.2,57.88094346686634,32.0,68.9,57.33
U0081,2024,64.1,83.4,13.0,71.19056533133659,35.0,50.1,74.07000000000001
U0082,2024,63.8,87.0,,,,56.0,
U0083,2024,63.8,39.8,14.4,63.38450018719581,32.0,70.5,54.92999999999999
U0084,2024,63.7,32.7,,,,76.9,
U0085,2024,63.7,43.1,,,,75.1,
U0086,2024,63.5,54.9,10.4,84.06963684013478,10.0,82.4,57.58
U0087,2024,62.9,58.4,,,,69.5,
U0088,2024,62.4,97.7,37.4,5.3725196555597154,25.0,43.9,78.21000000000001
U0089,2024,61.7,40.9,14.0,65.27517783601647,32.0,59.6,52.81
U0090,2024,61.7,55.4,,,,76.6,
U0091,2024,61.7,54.3,,,,63.3,
U0092,2024,61.6,28.5,,,,92.8,
U0093,2024,61.5,8.8,,,,93.7,
U0094,2024,61.4,4.1,9.6,87.81355297641333,37.0,78.0,36.435
U0095,2024,61.4,2.4,,,,97.0,
U0096,2024,61.2,61.3,22.8,24.18569824035942,27.0,57.0,64.16999999999999
U0097,2024,60.6,71.7,,,,80.3,
U0098,2024,60.3,96.9,10.5,83.60164732309995,5.0,45.9,76.08500000000001
U0099,2024,59.9,71.9,43.3,2.9576937476600507,29.0,46.6,71.16499999999999
U0100,2024,59.6,23.1,4.3,98.25907899663048,14.0,74.0,49.95
U0101,2024,59.5,78.0,,,,38.0,
U0102,2024,59.4,68.4,,,,44.9,
U0103,2024,59.3,42.3,13.3,69.18757019842757,17.0,61.4,56.495000000000005
U0104,2024,59.2,49.2,12.4,74.11081991763385,46.0,46.5,54.015
U0105,2024,59.1,43.9,,,,58.3,
U0106,2024,59.1,79.5,,,,66.5,
U0107,2024,58.8,23.9,11.8,77.51778360164732,12.0,73.8,46.25
U0108,2024,58.5,37.6,16.0,53.46312242605767,27.0,61.1,53.755
U0109,2024,58.3,84.4,7.7,93.72894047173344,28.0,33.2,71.15
U0110,2024,58.3,40.1,14.7,61.25046798951704,24.0,59.9,57.68000000000001
U0111,2024,58.2,40.2,25.7,17.87719955073006,19.0,70.8,51.45
U0112,2024,58.6,41.3,10.8,82.01048296518158,29.0,61.9,59.03
U0113,2024,57.9,73.6,20.4,32.02920254586298,23.0,45.7,64.45
U0114,2024,57.3,52.8,28.0,13.983526769000376,29.0,67.1,72.25999999999999
U0115,2024,57.2,78.9,24.2,20.74129539498315,23.0,40.4,69.74
U0116,2024,57.1,23.7,9.9,86.42830400599027,13.0,77.7,54.48
U0117,2024,56.8,49.6,15.9,54.26806439535754,5.0,62.3,62.65
U0118,2024,56.3,79.1,,,,58.5,
U0119,2024,56.1,55.7,12.5,73.66154998128043,15.0,55.6,63.015
U0120,2024,55.8,62.8,14.6,61.92437289404717,45.0,48.3,64.505
U0121,2024,55.8,93.4,33.0,8.536128790715091,24.0,32.6,71.17500000000001
U0122,2024,55.7,48.2,8.4,91.96929988768252,36.0,29.8,52.59
U0123,2024,55.5,77.7,24.0,21.35904155746912,34.0,40.4,64.55
U0124,2024,55.5,41.3,,,,57.9,
U0125,2024,55.2,58.0,14.2,64.30175964058404,24.0,50.4,66.905
U0126,2024,55.0,27.0,,,,89.2,
U0127,2024,55.0,46.4,20.7,30.756271059528263,25.0,51.4,54.015
U0128,2024,54.8,64.5,20.3,32.590789966304754,13.0,52.5,65.91
U0129,2024,54.5,38.7,14.8,60.61400224634967,26.0,50.0,53.315
U0130,2024,54.4,52.5,13.3,69.18757019842757,18.0,63.0,66.53
U0131,2024,54.3,94.5,10.4,84.06963684013478,31.0,26.6,74.74000000000001
U0132,2024,54.2,45.3,22.2,25.795582178959187,9.0,80.7,54.43
U0133,2024,54.1,46.6,,,,80.8,
U0134,2024,54.1,79.6,51.7,1.5537251965555998,22.0,33.4,69.16
U0135,2024,54.1,97.7,8.1,92.86783976038936,5.0,50.0,84.33500000000001
U0136,2024,54.0,79.3,21.4,28.491201797079743,27.0,28.7,67.57
U0137,2024,53.9,13.0,37.4,5.3725196555597154,31.0,70.9,45.655
U0138,2024,53.8,14.1,,,,61.7,
U0139,2024,53.7,77.4,15.4,56.77648820666417,17.0,26.3,67.12
U0140,2024,53.7,11.2,,,,82.8,
U0141,2024,53.6,69.6,13.9,65.87420441782103,38.0,38.9,65.56
U0142,2024,53.6,54.5,19.3,37.06476974915762,21.0,68.4,66.995
U0143,2024,53.6,87.9,9.8,86.95245226506927,26.0,39.1,72.745
U0144,2024,53.3,63.8,13.5,67.83976038936727,9.0,54.7,67.745
U0145,2024,53.0,93.0,16.7,49.2137776113815,8.0,57.1,80.12
U0146,2024,52.7,19.6,,,,63.3,
