country_id,country_name,country_code
C0001,afghanistan,AFG
C0002,africa eastern and southern,AFE
C0003,africa western and central,AFW
C0004,albania,ALB
C0005,algeria,DZA
C0006,american samoa,ASM
C0007,andorra,AND
C0008,angola,AGO
C0009,antigua and barbuda,ATG
C0010,arab world,ARB
C0011,argentina,ARG
C0012,armenia,ARM
C0013,aruba,ABW
C0014,australia,AUS
C0015,austria,AUT
C0016,azerbaijan,AZE
C0017,bahamas the,BHS
C0018,bahrain,BHR
C0019,bangladesh,BGD
C0020,barbados,BRB
C0021,belarus,BLR
C0022,belgium,BEL
C0023,belize,BLZ
C0024,benin,BEN
C0025,bermuda,BMU
C0026,bhutan,BTN
C0027,bolivia,BOL
C0028,bosnia and herzegovina,BIH
C0029,botswana,BWA
C0030,brazil,BRA
C0031,british virgin islands,VGB
C0032,brunei darussalam,BRN
C0033,bulgaria,BGR
C0034,burkina faso,BFA
C0035,burundi,BDI
C0036,cabo verde,CPV
C0037,cambodia,KHM
C0038,cameroon,CMR
C0039,canada,CAN
C0040,caribbean small states,CSS
C0041,cayman islands,CYM
C0042,central african republic,CAF
C0043,central europe and the baltics,CEB
C0044,chad,TCD
C0045,chile,CHL
C0046,china,CHN
C0047,colombia,COL
C0048,comoros,COM
C0049,congo dem rep,COD
C0050,congo rep,COG
C0051,costa rica,CRI
C0052,cote divoire,CIV
C0053,croatia,HRV
C0054,cuba,CUB
C0055,curacao,CUW
C0056,cyprus,CYP
C0057,czechia,CZE
C0058,denmark,DNK
C0059,djibouti,DJI
C0060,dominica,DMA
C0061,dominican republic,DOM
C0062,earlydemographic dividend,EAR
C0063,east asia pacific,EAS
C0064,east asia pacific ida ibrd countries,TEA
C0065,east asia pacific excluding high income,EAP
C0066,ecuador,ECU
C0067,egypt arab rep,EGY
C0068,el salvador,SLV
C0069,equatorial guinea,GNQ
C0070,eritrea,ERI
C0071,estonia,EST
C0072,eswatini,SWZ
C0073,ethiopia,ETH
C0074,euro area,EMU
C0075,europe central asia,ECS
