university_id,university_name,country_id,country_name,region
U0001,aalborg university,C0058,denmark,Europe
U0002,aalto university,C0080,finland,Europe
U0003,aarhus university,C0058,denmark,Europe
U0004,abai kazakh national pedagogical university,C0118,kazakhstan,Asia
U0005,abbes laghrour university of khenchala,C0005,algeria,
U0006,abbottabad university of science and technology,C0181,pakistan,
U0007,abdelhafid boussouf university center of mila,C0005,algeria,
U0008,abdelmalek essaâdi university,C0162,morocco,
U0009,abdullah gül university,C0257,turkey,
U0010,abdul wali khan university mardan,C0181,pakistan,
U0011,abertay university,C0244,united kingdom,
U0012,aberystwyth university,C0244,united kingdom,Europe
U0013,abia state university,C0173,nigeria,
U0014,abo akademi university,C0080,finland,Europe
U0015,abrar university,C0211,somalia,
U0016,abu dhabi university,C0243,united arab emirates,Asia
U0017,academy of economic studies of moldova,C0158,moldova,
U0018,acıbadem university,C0257,turkey,
U0019,acharya nagarjuna university,C0108,india,
U0020,ada kent university,C0258,northern cyprus,
U0021,adamawa state university mubi,C0173,nigeria,
U0022,adam mickiewicz university poznań,C0188,poland,
U0023,adam mickiewicz university poznan,C0188,poland,Europe
U0024,addis ababa university,C0073,ethiopia,Africa
U0025,adelphi university,C0245,united states,
U0026,adolfo ibáñez university,C0045,chile,
U0027,adventist university of central africa,C0196,rwanda,
U0028,aecc university college,C0244,united kingdom,
U0029,afe babalola university,C0173,nigeria,
U0030,aga khan university,C0181,pakistan,
U0031,agh university of krakow,C0188,poland,
U0032,agh university of science and technology,C0188,poland,Europe
U0033,ahl al bayt university,C0111,iraq,
U0034,ahlia university,C0018,bahrain,Asia
U0035,ahvaz jundishapur university of medical sciences ajums,C0259,iran,
U0036,aichi medical university,C0116,japan,
U0037,aichi prefectural university,C0116,japan,
U0038,ain shams university,C0260,egypt,Africa
U0039,airlangga university,C0109,indonesia,Asia
U0040,air university,C0181,pakistan,
U0041,aixmarseille university,C0082,france,Europe
U0042,ajeenkya dy patil university,C0108,india,
U0043,ajman university,C0243,united arab emirates,Asia
U0044,ajou university,C0261,south korea,Asia
U0045,akdeniz üniversitesi,C0257,turkey,Asia
U0046,akdeniz university,C0257,turkey,
U0047,akhmet yassawi university,C0118,kazakhstan,
U0048,akita prefectural university,C0116,japan,
U0049,akita university,C0116,japan,
U0050,akli mohand oulhadj bouira university,C0005,algeria,
U0051,aksaray university,C0257,turkey,
U0052,akwa ibom state university,C0173,nigeria,
U0053,alagappa university,C0108,india,
U0054,alahliyya amman university,C0117,jordan,Asia
U0055,al ain university,C0243,united arab emirates,Asia
U0056,al akhawayn university,C0162,morocco,
U0057,al albayt university,C0117,jordan,
U0058,alayen university,C0111,iraq,
U0059,alazhar university,C0260,egypt,Africa
U0060,albaha university,C0200,saudi arabia,
U0061,albalqa applied university,C0117,jordan,Asia
U0062,albayan university,C0111,iraq,
U0063,albaydha university,C0262,yemen,
U0064,albertludwigsuniversitaet freiburg,C0086,germany,Europe
U0065,alesraa university college,C0111,iraq,
U0066,alexandria university,C0260,egypt,Africa
U0067,alexandru ioan cuza university,C0194,romania,Europe
U0068,alex ekwueme federal university ndufualike,C0173,nigeria,
U0069,alfaisal university,C0200,saudi arabia,Asia
U0070,alfarabi kazakh national university,C0118,kazakhstan,Asia
U0071,alfarabi university college,C0111,iraq,
U0072,alfarahidi university,C0111,iraq,
U0073,alfurat alawsat technical university,C0111,iraq,
U0074,algiers 2 university,C0005,algeria,
U0075,alhussein bin talal university,C0117,jordan,
U0076,aligarh muslim university,C0108,india,Asia
U0077,alisher navoi tashkent state university of uzbek language and literature,C0248,uzbekistan,
U0078,aljanad university for science and technology,C0262,yemen,
U0079,alkarkh university of science,C0111,iraq,
U0080,alkitab university,C0111,iraq,
U0081,allameh tabataba i university,C0259,iran,
U0082,almaarefa university,C0200,saudi arabia,
U0083,almaarif university college,C0111,iraq,
U0084,alma mater studiorum university of bologna,C0114,italy,Europe
U0085,almanara college for medical sciences,C0111,iraq,
U0086,almaty technological university,C0118,kazakhstan,Asia
U0087,almazov national medical research centre,C0195,russian federation,
U0088,almustaqbal university,C0111,iraq,
U0089,almuthanna university,C0111,iraq,
U0090,alnahrain university,C0111,iraq,
U0091,alnisour university college,C0111,iraq,
U0092,alnoor university college,C0111,iraq,
U0093,alqalam university college,C0111,iraq,
U0094,alqasim green university,C0111,iraq,
U0095,alquds university,C0263,palestinian territory occupied,Asia
U0096,alrafidain university college,C0111,iraq,
U0097,al safwa university college,C0111,iraq,
U0098,altai state university,C0195,russian federation,Europe
U0099,altınbaş university,C0257,turkey,
U0100,altoosi university college,C0111,iraq,
U0101,al turath university,C0111,iraq,
U0102,alzahra university,C0259,iran,
U0103,alzaytoonah university of jordan,C0117,jordan,
U0104,amedeo avogadro university of eastern piedmont,C0114,italy,
U0105,american international university bangladesh,C0019,bangladesh,
U0106,american university,C0245,united states,Americas
U0107,the american university in cairo,C0260,egypt,Africa
U0108,american university in dubai,C0243,united arab emirates,Asia
U0109,american university in the emirates aue,C0243,united arab emirates,
U0110,american university of beirut,C0132,lebanon,
U0111,american university of beirut aub,C0132,lebanon,Asia
U0112,american university of madaba,C0117,jordan,
U0113,american university of nigeria,C0173,nigeria,
U0114,american university of ras al khaimah,C0243,united arab emirates,
U0115,american university of ras al khaimah aurak ,C0243,united arab emirates,Asia
U0116,american university of sharjah,C0243,united arab emirates,Asia
U0117,american university of the middle east,C0123,kuwait,Asia
U0118,amirkabir university of technology,C0264,iran islamic republic of,Asia
U0119,amity university,C0108,india,Asia
U0120,amity university chhattisgarh,C0108,india,
U0121,amity university gurugram,C0108,india,
U0122,amity university gwalior,C0108,india,
U0123,amity university mumbai,C0108,india,
U0124,amity university rajasthan jaipur,C0108,india,
U0125,amrita vishwa vidyapeetham,C0108,india,Asia
U0126,anadolu university,C0257,turkey,Asia
U0127,andhra university,C0108,india,
U0128,andijan machinebuilding institute,C0248,uzbekistan,
U0129,andijan state medical institute,C0248,uzbekistan,
U0130,andijan state pedagogical institute aspi,C0248,uzbekistan,
U0131,andijan state university,C0248,uzbekistan,
U0132,andrés bello catholic university ucab,C0265,venezuela,
U0133,anglia ruskin university aru,C0244,united kingdom,
U0134,angloamerican university,C0057,czechia,
U0135,anáhuac university,C0152,mexico,
U0136,ankara üniversitesi,C0257,turkey,Asia
U0137,ankara science university,C0257,turkey,
U0138,ankara university,C0257,turkey,
U0139,ankara yildirim beyazit university,C0257,turkey,
U0140,çankırı karatekin university,C0257,turkey,
U0141,annajah national university,C0263,palestinian territory occupied,Asia
U0142,annamalai university,C0108,india,
U0143,anna university,C0108,india,Asia
U0144,antonio nariño university,C0047,colombia,
U0145,aoyama gakuin university,C0116,japan,Asia
U0146,applied science private university,C0117,jordan,
U0147,applied science private university jordan,C0117,jordan,Asia
U0148,applied science university bahrain,C0018,bahrain,Asia
U0149,arab academy for science technology and maritime transport,C0260,egypt,Africa
U0150,arab american university,C0266,palestine,
U0151,arabian gulf university,C0018,bahrain,
U0152,arab open university,C0123,kuwait,
U0153,arab open university kuwait,C0123,kuwait,
U0154,arab open university lebanon,C0132,lebanon,
U0155,arak university,C0259,iran,
U0156,arak university of medical sciences,C0259,iran,
U0157,ariel university,C0113,israel,
U0158,aristotle university of thessaloniki,C0089,greece,Europe
U0159,arizona state university,C0245,united states,Americas
U0160,arizona state university tempe,C0245,united states,
U0161,arkın university of creative arts and design arucad,C0258,northern cyprus,
U0162,armenian state pedagogical university,C0012,armenia,
U0163,arts et métiers,C0082,france,
U0164,arts university bournemouth,C0244,united kingdom,
U0165,arts university plymouth,C0244,united kingdom,
U0166,arturo prat university,C0045,chile,
U0167,asahi university,C0116,japan,
U0168,asfendiyarov kazakh national medical university,C0118,kazakhstan,
U0169,ashikaga university,C0116,japan,
U0170,ashur university college,C0111,iraq,
U0171,asia pacific university of technology and innovation apu,C0145,malaysia,Asia
U0172,asia university taiwan,C0267,taiwan,Asia
U0173,assiut university,C0260,egypt,Africa
U0174,aston university,C0244,united kingdom,Europe
U0175,aswan university,C0260,egypt,
U0176,atatürk university,C0257,turkey,
U0177,ataturk university,C0257,turkey,Asia
U0178,ateneo de manila university,C0187,philippines,Asia
U0179,athens university of economics and business,C0089,greece,Europe
U0180,atılım university,C0257,turkey,
