university_id,year,citations_per_faculty_score,international_research_network_score,research_score,citation_score,research_impact,source,research_productivity_index
U1290,2025,100.0,96.0,,100.0,100.0,QS 2025,98.3838383838384
U0851,2025,93.9,97.4,,93.9,93.9,QS 2025,95.25252525252526
U3049,2025,84.8,100.0,,84.8,84.8,QS 2025,90.78787878787878
U0773,2025,100.0,99.6,,100.0,100.0,QS 2025,99.83838383838383
U2718,2025,84.6,99.3,,84.6,84.6,QS 2025,90.38383838383838
U1970,2025,99.0,96.8,,99.0,99.0,QS 2025,98.1010101010101
U0600,2025,97.9,95.7,,97.9,97.9,QS 2025,96.98989898989899
U1481,2025,93.1,91.6,,93.1,93.1,QS 2025,92.42424242424242
U2175,2025,72.2,99.9,,72.2,72.2,QS 2025,83.11111111111111
U0322,2025,100.0,65.5,,100.0,100.0,QS 2025,86.06060606060606
U3062,2025,74.0,91.9,,74.0,74.0,QS 2025,80.96969696969697
U2706,2025,98.2,97.2,,98.2,98.2,QS 2025,97.77777777777777
U2966,2025,93.0,97.4,,93.0,93.0,QS 2025,94.70707070707071
U1627,2025,97.7,79.8,,97.7,97.7,QS 2025,90.44444444444446
U1405,2025,92.4,89.4,,92.4,92.4,QS 2025,91.11111111111111
U0478,2025,97.5,94.0,,97.5,97.5,QS 2025,96.06060606060606
U2851,2025,86.4,81.4,,86.4,86.4,QS 2025,84.24242424242425
U3174,2025,93.7,95.8,,93.7,93.7,QS 2025,94.48484848484848
U3019,2025,94.9,98.3,,94.9,94.9,QS 2025,96.22222222222223
U2157,2025,99.1,79.2,,99.1,99.1,QS 2025,91.05050505050505
U2738,2025,60.8,85.1,,60.8,60.8,QS 2025,70.22222222222223
U1702,2025,100.0,78.3,,100.0,100.0,QS 2025,91.23232323232322
U3420,2025,38.6,93.9,,38.6,38.6,QS 2025,60.32323232323233
U2582,2025,87.6,99.8,,87.6,87.6,QS 2025,92.4040404040404
U3228,2025,50.8,97.7,,50.8,50.8,QS 2025,69.25252525252526
U0585,2025,93.6,81.7,,93.6,93.6,QS 2025,88.72727272727272
U2788,2025,47.7,99.5,,47.7,47.7,QS 2025,68.1010101010101
U2071,2025,75.9,95.6,,75.9,75.9,QS 2025,83.61616161616162
U1296,2025,57.9,94.2,,57.9,57.9,QS 2025,72.14141414141415
U0191,2025,84.6,91.4,,84.6,84.6,QS 2025,87.1919191919192
U1855,2025,71.7,73.2,,71.7,71.7,QS 2025,72.02020202020202
U1016,2025,84.2,98.7,,84.2,84.2,QS 2025,89.8989898989899
U3226,2025,57.3,87.4,,57.3,57.3,QS 2025,69.03030303030303
U0467,2025,31.7,98.5,,31.7,31.7,QS 2025,58.0
U2945,2025,45.1,99.2,,45.1,45.1,QS 2025,66.40404040404042
U0401,2025,92.9,74.2,,92.9,92.9,QS 2025,85.27272727272728
U1349,2025,87.6,94.8,,87.6,87.6,QS 2025,90.38383838383838
U2697,2025,57.7,96.2,,57.7,57.7,QS 2025,72.82828282828282
U0673,2025,80.7,67.2,,80.7,80.7,QS 2025,75.05050505050505
U1118,2025,53.6,98.6,,53.6,53.6,QS 2025,71.31313131313131
U3086,2025,90.2,96.7,,90.2,90.2,QS 2025,92.72727272727273
U2710,2025,74.0,95.5,,74.0,74.0,QS 2025,82.42424242424241
U1502,2025,28.6,92.6,,28.6,28.6,QS 2025,53.737373737373744
U2971,2025,47.6,95.8,,47.6,47.6,QS 2025,66.54545454545455
U1878,2025,99.6,73.7,,99.6,99.6,QS 2025,89.13131313131314
U0907,2025,86.1,89.6,,86.1,86.1,QS 2025,87.37373737373737
U0808,2025,99.7,46.7,,99.7,99.7,QS 2025,78.28282828282828
U3456,2025,99.5,91.8,,99.5,99.5,QS 2025,96.3838383838384
U0514,2025,79.7,93.7,,79.7,79.7,QS 2025,85.15151515151516
U1177,2025,39.3,85.7,,39.3,39.3,QS 2025,57.43434343434343
U1539,2025,67.7,89.4,,67.7,67.7,QS 2025,76.14141414141415
U1237,2025,69.4,81.2,,69.4,69.4,QS 2025,73.85858585858585
U1032,2025,96.2,46.8,,96.2,96.2,QS 2025,76.20202020202021
U2696,2025,75.9,94.6,,75.9,75.9,QS 2025,83.21212121212122
U2644,2025,92.2,96.3,,92.2,92.2,QS 2025,93.77777777777777
U3439,2025,44.1,78.7,,44.1,44.1,QS 2025,57.515151515151516
U0807,2025,94.9,78.9,,94.9,94.9,QS 2025,88.3838383838384
U0337,2025,98.9,79.9,,98.9,98.9,QS 2025,91.21212121212122
U1247,2025,50.0,95.5,,50.0,50.0,QS 2025,67.87878787878788
U2539,2025,29.1,91.8,,29.1,29.1,QS 2025,53.71717171717172
U0550,2025,35.1,93.3,,35.1,35.1,QS 2025,57.95959595959596
U0421,2025,100.0,62.9,,100.0,100.0,QS 2025,85.01010101010101
U1159,2025,91.0,99.5,,91.0,91.0,QS 2025,94.34343434343434
U1940,2025,72.3,99.8,,72.3,72.3,QS 2025,83.13131313131314
U2653,2025,66.9,87.4,,66.9,66.9,QS 2025,74.84848484848484
U3194,2025,76.7,91.7,,76.7,76.7,QS 2025,82.52525252525253
U1149,2025,45.0,65.7,,45.0,45.0,QS 2025,52.8080808080808
U1451,2025,44.3,71.5,,44.3,44.3,QS 2025,54.727272727272734
U3271,2025,37.7,94.2,,37.7,37.7,QS 2025,59.8989898989899
U2866,2025,77.5,90.4,,77.5,77.5,QS 2025,82.48484848484848
U2254,2025,1.6,73.4,,1.6,1.6,QS 2025,29.61616161616162
U2714,2025,67.0,95.5,,67.0,67.0,QS 2025,78.18181818181817
