university_id,year,global_rank,overall_score,academic_reputation_score,employer_reputation_score,source,teaching_score,research_score,citation_score,industry_income_score,international_outlook_score
U1290,2025,1.0,100.0,100.0,100.0,QS 2025,,,,,
U0851,2025,2.0,98.5,98.5,99.5,QS 2025,,,,,
U3049,2025,3.0,96.9,100.0,100.0,QS 2025,,,,,
U0773,2025,4.0,96.8,100.0,100.0,QS 2025,,,,,
U2718,2025,5.0,96.7,100.0,100.0,QS 2025,,,,,
U1970,2025,6.0,96.1,100.0,100.0,QS 2025,,,,,
U0600,2025,7.0,93.9,98.8,87.2,QS 2025,,,,,
U1481,2025,8.0,93.7,99.5,91.1,QS 2025,,,,,
U2175,2025,9.0,91.6,99.5,98.3,QS 2025,,,,,
U0322,2025,10.0,90.9,96.5,95.3,QS 2025,,,,,
U3062,2025,11.0,90.3,96.3,91.9,QS 2025,,,,,
U2706,2025,12.0,90.1,100.0,100.0,QS 2025,,,,,
U2966,2025,13.0,88.9,98.5,93.9,QS 2025,,,,,
U1627,2025,14.0,88.5,99.5,96.6,QS 2025,,,,,
U1405,2025,15.0,88.4,91.9,73.3,QS 2025,,,,,
U0478,2025,16.0,87.9,98.3,93.1,QS 2025,,,,,
U2851,2025,17.0,87.6,97.4,59.4,QS 2025,,,,,
U3174,2025,18.0,87.3,96.4,90.0,QS 2025,,,,,
U3019,2025,19.0,87.1,90.5,90.4,QS 2025,,,,,
U2157,2025,20.0,86.5,99.2,97.7,QS 2025,,,,,
U2738,2025,21.0,86.2,99.1,96.4,QS 2025,,,,,
U1702,2025,22.0,85.5,99.8,98.3,QS 2025,,,,,
U3420,2025,23.0,85.2,99.9,99.9,QS 2025,,,,,
U2582,2025,24.0,84.7,74.4,97.6,QS 2025,,,,,
U3228,2025,25.0,84.1,99.7,96.9,QS 2025,,,,,
U0585,2025,26.0,83.5,84.2,67.2,QS 2025,,,,,
U2788,2025,27.0,83.3,98.3,97.2,QS 2025,,,,,
U2071,2025,28.0,83.2,83.0,98.6,QS 2025,,,,,
U1296,2025,29.0,83.0,94.3,87.6,QS 2025,,,,,
U0191,2025,30.0,82.4,93.8,75.4,QS 2025,,,,,
U1855,2025,31.0,82.3,98.5,98.6,QS 2025,,,,,
