RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,RANK_2025_Original,Rank_Type,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
1,1,Massachusetts Institute of Technology (MIT),United States,Americas,M,CO,VH,B,100.0,4,100.0,2,100.0,11,100.0,9,99.3,100,86.8,143,96.0,58,100.0,8,99.0,15=,100,1,Exact,massachusetts institute of technology mit,united states,C102,U0463
2,6,Imperial College London,United Kingdom,Europe,L,FC,VH,A,98.5,22,99.5,11,98.2,45,93.9,54,100.0,66,99.6,44,97.4,34,93.4,61,99.7,6,98.5,2,Exact,imperial college london,united kingdom,C101,U0299
3,3,University of Oxford,United Kingdom,Europe,L,FC,VH,A,100.0,2,100.0,5,100.0,8,84.8,93,98.1,120,97.7,73,100.0,1,100.0,3,85.0,126,96.9,3,Exact,university of oxford,united kingdom,C101,U1263
4,4,Harvard University,United States,Americas,L,FC,VH,B,100.0,1,100.0,1,96.3,53,100.0,1,74.1,269,69.0,215,99.6,5,100.0,1,84.4,130,96.8,4,Exact,harvard university,united states,C102,U0272
5,2,University of Cambridge,United Kingdom,Europe,L,FC,VH,A,100.0,3,100.0,4,100.0,17,84.6,96,100.0,73,94.8,98,99.3,10,100.0,5,84.8,127=,96.7,5,Exact,university of cambridge,united kingdom,C101,U1117
6,5,Stanford University,United States,Americas,L,FC,VH,B,100.0,5,100.0,3,100.0,12,99.0,27,70.3,284,60.8,244,96.8,45,100.0,2,81.2,148=,96.1,6,Exact,stanford university,united states,C102,U0712
7,7,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,L,FO,VH,A,98.8,19,87.2,57,65.9,199,97.9,35,100.0,25,98.6,63,95.7,64,90.5,73,98.8,18,93.9,7,Exact,eth zurich swiss federal institute of technology,switzerland,C092,U0221
8,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,A,99.5,15,91.1,48,68.8,189,93.1,61,100.0,41,88.9,129,91.6,146,100.0,6,97.7,26=,93.7,8,Exact,national university of singapore nus,singapore,C083,U0530
9,9,UCL,United Kingdom,Europe,XL,FC,VH,A,99.5,14,98.3,18,95.9,56,72.2,145,99.0,106,100.0,21,99.9,2,70.3,157,74.8,190=,91.6,9,Exact,ucl,united kingdom,C101,U0831
10,15,California Institute of Technology (Caltech),United States,Americas,S,CO,VH,B,96.5,29,95.3,33,100.0,4,100.0,5,100.0,65,79.8,172,65.5,549,31.0,407,62.5,253,90.9,10,Exact,california institute of technology caltech,united states,C102,U0114
11,12,University of Pennsylvania,United States,Americas,L,FC,VH,B,96.3,31,91.9,45,99.8,28,74.0,138,90.9,188,66.2,226,91.9,137,100.0,7,93.0,71,90.3,11,Exact,university of pennsylvania,united states,C102,U1270
12,10,"University of California, Berkeley (UCB)",United States,Americas,XL,FC,VH,A,100.0,6,100.0,6,23.5,615,98.2,33,91.5,182,61.0,242,97.2,39,98.4,23,100.0,2,90.1,12,Exact,university of california berkeley ucb,united states,C102,U1109
13,14,The University of Melbourne,Australia,Oceania,XL,FC,VH,A,98.5,21,93.9,39,15.4,701+,93.0,62,95.1,148,99.8,39,97.4,33,96.5,39,99.6,9,88.9,13,Exact,the university of melbourne,australia,C003,U0795
14,17,Peking University,China (Mainland),Asia,XL,FC,VH,A,99.5,13,96.6,28,92.6,75,97.7,40,50.3,365,23.6,497,79.8,329,94.2,56,46.9,330=,88.5,14,Exact,peking university,china (mainland),C017,U0573
15,26,"Nanyang Technological University, Singapore (NTU)",Singapore,Asia,L,FC,VH,A,91.9,42,73.3,92,80.6,130,92.4,66,100.0,42,83.5,160,89.4,178,83.9,104,95.6,50=,88.4,15,Exact,nanyang technological university singapore ntu,singapore,C083,U0500
16,13,Cornell University,United States,Americas,L,FC,VH,B,98.3,25,93.1,42,52.7,289,97.5,43,54.2,347,63.4,237,94.0,99,97.1,34,72.1,208=,87.9,16,Exact,cornell university,united states,C102,U0170
17,26,The University of Hong Kong,Hong Kong SAR,Asia,L,FC,VH,A,97.4,27,59.4,135,81.2,124,86.4,89,100.0,33,99.3,52,81.4,300,99.7,14,89.2,101=,87.6,17,Exact,the university of hong kong,hong kong sar,C038,U0792
