University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
1,University of Oxford,United Kingdom,"20,965",10.6,42%,48 : 52,96.4,92.3,99.7,99.0,74.9,96.2,university of oxford,united kingdom,C109,U0001
2,Harvard University,United States,"21,887",9.6,25%,50 : 50,95.2,94.8,99.0,99.3,49.5,80.5,harvard university,united states,C110,U0002
3,University of Cambridge,United Kingdom,"20,185",11.3,39%,47 : 53,94.8,90.9,99.5,97.0,54.2,95.8,university of cambridge,united kingdom,C109,U0003
3,Stanford University,United States,"16,164",7.1,24%,46 : 54,94.8,94.2,96.7,99.8,65.0,79.8,stanford university,united states,C110,U0004
5,Massachusetts Institute of Technology,United States,"11,415",8.2,33%,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,massachusetts institute of technology,united states,C110,U0005
6,California Institute of Technology,United States,"2,237",6.2,34%,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,california institute of technology,united states,C110,U0006
7,Princeton University,United States,"8,279",8.0,23%,46 : 54,92.4,87.6,95.9,99.1,66.0,80.3,princeton university,united states,C110,U0007
8,"University of California, Berkeley",United States,"40,921",18.4,24%,52 : 48,92.1,86.4,95.8,99.0,76.8,78.4,university of california berkeley,united states,C110,U0008
9,Yale University,United States,"13,482",5.9,21%,52 : 48,91.4,92.6,92.7,97.0,55.0,70.9,yale university,united states,C110,U0009
10,Imperial College London,United Kingdom,"18,545",11.2,61%,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,imperial college london,united kingdom,C109,U0010
11,Columbia University,United States,"21,781",4.5,38%,,89.4,89.4,87.7,97.1,44.8,79.9,columbia university,united states,C110,U0011
11,ETH Zurich,Switzerland,"21,665",14.8,41%,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,eth zurich,switzerland,C099,U0012
13,The University of Chicago,United States,"15,366",6.0,36%,47 : 53,88.9,86.5,88.8,97.7,56.2,74.2,the university of chicago,united states,C110,U0013
14,University of Pennsylvania,United States,"21,453",6.3,23%,53 : 47,88.8,86.0,88.8,97.0,75.8,71.5,university of pennsylvania,united states,C110,U0014
15,Johns Hopkins University,United States,"17,584",4.7,29%,53 : 47,88.3,79.4,91.5,97.0,89.5,75.3,johns hopkins university,united states,C110,U0015
16,Tsinghua University,,"38,324",11.6,10%,,88.2,90.1,97.4,88.0,100.0,40.3,tsinghua university,,,U0016
17,Peking University,,"31,994",10.3,19%,,88.1,92.5,96.7,80.4,91.8,65.0,peking university,,,U0017
18,University of Toronto,Canada,"77,468",25.8,26%,56 : 44,87.4,77.3,93.3,92.8,65.5,89.7,university of toronto,canada,C015,U0018
19,National University of Singapore,,"32,337",19.8,25%,51 : 49,87.1,76.4,93.0,90.2,87.0,94.0,national university of singapore,,,U0019
20,Cornell University,United States,"24,027",10.3,26%,51 : 49,85.9,80.2,86.1,97.3,40.4,76.9,cornell university,united states,C110,U0020
21,"University of California, Los Angeles",United States,"42,434",9.7,16%,56 : 44,85.8,80.4,88.9,95.4,58.8,65.0,university of california los angeles,united states,C110,U0021
22,UCL,United Kingdom,"36,790",10.3,60%,59 : 41,85.7,74.5,85.4,97.9,44.5,96.7,ucl,united kingdom,C109,U0022
23,University of Michigan-Ann Arbor,United States,"45,912",8.2,17%,50 : 50,82.9,79.3,84.6,93.6,48.7,59.2,university of michiganann arbor,united states,C110,U0023
24,New York University,United States,"36,337",9.8,42%,57 : 43,82.7,74.2,84.0,95.0,44.6,74.7,new york university,united states,C110,U0024
25,Duke University,United States,"16,091",4.2,24%,52 : 48,82.6,78.1,76.2,95.7,99.6,68.0,duke university,united states,C110,U0025
26,Northwestern University,United States,"19,175",13.2,20%,51 : 49,82.1,71.7,80.7,97.5,85.0,67.0,northwestern university,united states,C110,U0026
26,University of Washington,United States,"47,727",10.8,18%,55 : 45,82.1,71.6,82.8,98.9,53.9,63.0,university of washington,united states,C110,U0027
28,Carnegie Mellon University,United States,"14,305",12.9,47%,44 : 56,81.1,65.4,81.8,98.7,55.2,80.1,carnegie mellon university,united states,C110,U0028
