country,country_id
United States,C001
United Kingdom,C002
Switzerland,C003
Singapore,C004
Australia,C005
China (Mainland),C006
Hong Kong SAR,C007
France,C008
Canada,C009
Germany,C010
South Korea,C011
Japan,C012
Netherlands,C013
Malaysia,C014
Belgium,C015
New Zealand,C016
Taiwan,C017
Argentina,C018
Sweden,C019
Ireland,C020
Brazil,C021
Chile,C022
Russia,C023
Mexico,C024
Denmark,C025
Saudi Arabia,C026
Italy,C027
Finland,C028
India,C029
Norway,C030
Qatar,C031
Austria,C032
Kazakhstan,C033
Spain,C034
South Africa,C035
Colombia,C036
United Arab Emirates,C037
Indonesia,C038
Israel,C039
Thailand,C040
Macau SAR,C041
Czech Republic,C042
Lebanon,C043
Poland,C044
Portugal,C045
Turkey,C046
Pakistan,C047
Greece,C048
Philippines,C049
"Iran, Islamic Republic of",C050
Egypt,C051
Luxembourg,C052
Estonia,C053
Peru,C054
Oman,C055
Jordan,C056
Brunei,C057
Belarus,C058
Cyprus,C059
Lithuania,C060
Vietnam,C061
Costa Rica,C062
Bahrain,C063
Uzbekistan,C064
Iceland,C065
Bangladesh,C066
Hungary,C067
Slovenia,C068
Kuwait,C069
Northern Cyprus,C070
Croatia,C071
Slovakia,C072
Bulgaria,C073
Uruguay,C074
Venezuela,C075
Cuba,C076
Ukraine,C077
Latvia,C078
Serbia,C079
Malta,C080
Ethiopia,C081
Tunisia,C082
Romania,C083
Georgia,C084
Ecuador,C085
Iraq,C086
"Palestinian Territory, Occupied",C087
Kyrgyzstan,C088
Ghana,C089
Uganda,C090
Kenya,C091
Armenia,C092
Azerbaijan,C093
Sri Lanka,C094
Puerto Rico,C095
Paraguay,C096
Panama,C097
Morocco,C098
Nigeria,C099
Sudan,C100
Bosnia and Herzegovina,C101
Syrian Arab Republic,C102
Dominican Republic,C103
Guatemala,C104
Bolivia,C105
Honduras,C106
China,C107
Hong Kong,C108
Russian Federation,C109
Macao,C110
Iran,C111
Brunei Darussalam,C112
Palestine,C113
Algeria,C114
Tanzania,C115
Fiji,C116
Jamaica,C117
Botswana,C118
Mozambique,C119
Mauritius,C120
Namibia,C121
Nepal,C122
Zambia,C123
Zimbabwe,C124
Montenegro,C125
Kosovo,C126
North Macedonia,C127
Somalia,C128
Rwanda,C129
Yemen,C130
Libya,C131
Turks and Caicos Islands,C132
Turkmenistan,C133
Senegal,C134
Malawi,C135
Cambodia,C136
Angola,C137
Moldova,C138
Mongolia,C139
Albania,C140
