university_name,university_id
massachusetts institute of technology mit,U0001
imperial college london,U0002
university of oxford,U0003
harvard university,U0004
university of cambridge,U0005
stanford university,U0006
eth zurich swiss federal institute of technology,U0007
national university of singapore nus,U0008
ucl,U0009
california institute of technology caltech,U0010
university of pennsylvania,U0011
university of california berkeley ucb,U0012
the university of melbourne,U0013
peking university,U0014
nanyang technological university singapore ntu,U0015
cornell university,U0016
the university of hong kong,U0017
the university of sydney,U0018
the university of new south wales unsw sydney,U0019
tsinghua university,U0020
university of chicago,U0021
princeton university,U0022
yale university,U0023
université psl,U0024
university of toronto,U0025
epfl,U0026
the university of edinburgh,U0027
technical university of munich,U0028
mcgill university,U0029
the australian national university,U0030
seoul national university,U0031
johns hopkins university,U0032
the university of tokyo,U0033
columbia university,U0034
the university of manchester,U0035
the chinese university of hong kong cuhk,U0036
monash university,U0037
university of british columbia,U0038
fudan university,U0039
kings college london,U0040
the university of queensland,U0041
university of california los angeles ucla,U0042
new york university nyu,U0043
university of michiganann arbor,U0044
shanghai jiao tong university,U0045
institut polytechnique de paris,U0046
the hong kong university of science and technology,U0047
zhejiang university,U0048
delft university of technology,U0049
kyoto university,U0050
northwestern university,U0051
the london school of economics and political science lse,U0052
kaist korea advanced institute of science technology,U0053
university of bristol,U0054
university of amsterdam,U0055
yonsei university,U0056
the hong kong polytechnic university,U0057
carnegie mellon university,U0058
ludwigmaximiliansuniversität münchen,U0059
universiti malaya um,U0060
duke university,U0061
city university of hong kong,U0062
ku leuven,U0063
sorbonne university,U0064
the university of auckland,U0065
university of texas at austin,U0066
korea university,U0067
national taiwan university ntu,U0068
the university of warwick,U0069
university of illinois at urbanachampaign,U0070
universidad de buenos aires uba,U0071
university of california san diego ucsd,U0072
université parissaclay,U0073
kth royal institute of technology,U0074
lund university,U0075
university of washington,U0076
the university of western australia,U0077
university of glasgow,U0078
brown university,U0079
university of birmingham,U0080
university of southampton,U0081
the university of adelaide,U0082
university of leeds,U0083
ruprechtkarlsuniversität heidelberg,U0084
tokyo institute of technology tokyo tech,U0085
osaka university,U0086
trinity college dublin the university of dublin,U0087
university of technology sydney,U0088
durham university,U0089
pennsylvania state university,U0090
purdue university,U0091
universidade de são paulo,U0092
