country,institute_type,direct_expenditure_type,year,expenditure_pct_gdp
OECD Average,All Institutions ,Public,1995,4.9
Australia,All Institutions ,Public,1995,4.5
Austria,All Institutions ,Public,1995,5.3
Belgium,All Institutions ,Public,1995,5.0
Canada,All Institutions ,Public,1995,5.8
Czech Republic,All Institutions ,Public,1995,4.8
Denmark,All Institutions ,Public,1995,6.5
Finland,All Institutions ,Public,1995,6.6
France,All Institutions ,Public,1995,5.8
Germany,All Institutions ,Public,1995,4.5
Greece,All Institutions ,Public,1995,3.7
Hungary,All Institutions ,Public,1995,4.9
Iceland,All Institutions ,Public,1995,4.5
Ireland,All Institutions ,Public,1995,4.7
Italy,All Institutions ,Public,1995,4.5
Japan,All Institutions ,Public,1995,3.6
"Korea, Republic of",All Institutions ,Public,1995,3.6
Luxembourg,All Institutions ,Public,1995,4.3
Mexico,All Institutions ,Public,1995,4.6
Netherlands,All Institutions ,Public,1995,4.6
New Zealand,All Institutions ,Public,1995,5.3
Norway,All Institutions ,Public,1995,6.8
Poland,All Institutions ,Public,1995,5.2
Portugal,All Institutions ,Public,1995,5.4
Slovak Republic,All Institutions ,Public,1995,4.6
Spain,All Institutions ,Public,1995,4.8
Sweden,All Institutions ,Public,1995,6.6
Switzerland,All Institutions ,Public,1995,5.5
Turkey,All Institutions ,Public,1995,2.2
United Kingdom,All Institutions ,Public,1995,4.6
United States,All Institutions ,Public,1995,5.0
Russia,All Institutions ,Public,1995,3.4
OECD Average,Elementary and Secondary Institutions ,Public,1995,3.5
Australia,Elementary and Secondary Institutions ,Public,1995,3.2
Austria,Elementary and Secondary Institutions ,Public,1995,3.8
Belgium,Elementary and Secondary Institutions ,Public,1995,3.4
Canada,Elementary and Secondary Institutions ,Public,1995,4.0
Czech Republic,Elementary and Secondary Institutions ,Public,1995,3.4
Denmark,Elementary and Secondary Institutions ,Public,1995,4.2
Finland,Elementary and Secondary Institutions ,Public,1995,4.2
France,Elementary and Secondary Institutions ,Public,1995,4.1
Germany,Elementary and Secondary Institutions ,Public,1995,2.9
Greece,Elementary and Secondary Institutions ,Public,1995,2.8
Hungary,Elementary and Secondary Institutions ,Public,1995,3.3
Iceland,Elementary and Secondary Institutions ,Public,1995,3.4
Ireland,Elementary and Secondary Institutions ,Public,1995,3.3
Italy,Elementary and Secondary Institutions ,Public,1995,3.2
Japan,Elementary and Secondary Institutions ,Public,1995,2.8
"Korea, Republic of",Elementary and Secondary Institutions ,Public,1995,3.0
Luxembourg,Elementary and Secondary Institutions ,Public,1995,4.2
Mexico,Elementary and Secondary Institutions ,Public,1995,3.4
Netherlands,Elementary and Secondary Institutions ,Public,1995,3.0
New Zealand,Elementary and Secondary Institutions ,Public,1995,3.8
Norway,Elementary and Secondary Institutions ,Public,1995,4.1
Poland,Elementary and Secondary Institutions ,Public,1995,3.3
Portugal,Elementary and Secondary Institutions ,Public,1995,4.1
Spain,Elementary and Secondary Institutions ,Public,1995,3.5
Sweden,Elementary and Secondary Institutions ,Public,1995,4.4
Switzerland,Elementary and Secondary Institutions ,Public,1995,4.1
Turkey,Elementary and Secondary Institutions ,Public,1995,1.4
United Kingdom,Elementary and Secondary Institutions ,Public,1995,3.8
United States,Elementary and Secondary Institutions ,Public,1995,3.5
Russia,Elementary and Secondary Institutions ,Public,1995,1.9
OECD Average,Higher Education Institutions ,Public,1995,0.9
Australia,Higher Education Institutions ,Public,1995,1.2
Austria,Higher Education Institutions ,Public,1995,0.9
Belgium,Higher Education Institutions ,Public,1995,0.9
Canada,Higher Education Institutions ,Public,1995,1.5
Czech Republic,Higher Education Institutions ,Public,1995,0.7
Denmark,Higher Education Institutions ,Public,1995,1.3
Finland,Higher Education Institutions ,Public,1995,1.7
France,Higher Education Institutions ,Public,1995,1.0
Germany,Higher Education Institutions ,Public,1995,1.0
Greece,Higher Education Institutions ,Public,1995,0.8
Hungary,Higher Education Institutions ,Public,1995,0.8
Iceland,Higher Education Institutions ,Public,1995,0.7
Ireland,Higher Education Institutions ,Public,1995,0.9
Italy,Higher Education Institutions ,Public,1995,0.7
Japan,Higher Education Institutions ,Public,1995,0.4
"Korea, Republic of",Higher Education Institutions ,Public,1995,0.3
Luxembourg,Higher Education Institutions ,Public,1995,0.1
Mexico,Higher Education Institutions ,Public,1995,0.8
Netherlands,Higher Education Institutions ,Public,1995,1.1
New Zealand,Higher Education Institutions ,Public,1995,1.1
Norway,Higher Education Institutions ,Public,1995,1.5
Poland,Higher Education Institutions ,Public,1995,0.8
Portugal,Higher Education Institutions ,Public,1995,1.0
Spain,Higher Education Institutions ,Public,1995,0.8
Sweden,Higher Education Institutions ,Public,1995,1.6
Switzerland,Higher Education Institutions ,Public,1995,1.1
Turkey,Higher Education Institutions ,Public,1995,0.8
United Kingdom,Higher Education Institutions ,Public,1995,0.7
United States,Higher Education Institutions ,Public,1995,1.1
Russia,Higher Education Institutions ,Public,1995,0.7
OECD Average,All Institutions ,Public,2000,4.9
Australia,All Institutions ,Public,2000,4.6
Austria,All Institutions ,Public,2000,5.4
Belgium,All Institutions ,Public,2000,5.1
Canada,All Institutions ,Public,2000,5.2
Chile,All Institutions ,Public,2000,4.2
Czech Republic,All Institutions ,Public,2000,4.2
Denmark,All Institutions ,Public,2000,6.4
Finland,All Institutions ,Public,2000,5.5
France,All Institutions ,Public,2000,5.7
Germany,All Institutions ,Public,2000,4.3
Greece,All Institutions ,Public,2000,3.7
Hungary,All Institutions ,Public,2000,4.4
Iceland,All Institutions ,Public,2000,5.7
Ireland,All Institutions ,Public,2000,4.1
Israel,All Institutions ,Public,2000,6.6
Italy,All Institutions ,Public,2000,4.5
Japan,All Institutions ,Public,2000,3.5
"Korea, Republic of",All Institutions ,Public,2000,4.3
Mexico,All Institutions ,Public,2000,4.7
Netherlands,All Institutions ,Public,2000,4.3
New Zealand,All Institutions ,Public,2000,5.8
Norway,All Institutions ,Public,2000,5.8
Poland,All Institutions ,Public,2000,5.2
Portugal,All Institutions ,Public,2000,5.6
Slovak Republic,All Institutions ,Public,2000,4.0
Spain,All Institutions ,Public,2000,4.3
Sweden,All Institutions ,Public,2000,6.3
Switzerland,All Institutions ,Public,2000,5.3
Turkey,All Institutions ,Public,2000,3.4
United Kingdom,All Institutions ,Public,2000,4.5
United States,All Institutions ,Public,2000,4.6
Russia,All Institutions ,Public,2000,3.0
OECD Average,Elementary and Secondary Institutions ,Public,2000,3.4
