university_id,university_name,country
UNI_00001,National University of Córdoba,Argentina
UNI_00002,National University of La Plata,Argentina
UNI_00003,University of Buenos Aires,Argentina
UNI_00004,National University of Rosario,Argentina
UNI_00005,"University of Technology, Sydney",Australia
UNI_00006,University of Tasmania,Australia
UNI_00007,Griffith University,Australia
UNI_00008,University of Wollongong,Australia
UNI_00009,Australian National University,Australia
UNI_00010,La Trobe University,Australia
UNI_00011,Flinders University,Australia
UNI_00012,Swinburne University of Technology,Australia
UNI_00013,University of New England (Australia),Australia
UNI_00014,The University of Queensland,Australia
UNI_00015,Monash University,Australia
UNI_00016,Deakin University,Australia
UNI_00017,Curtin University,Australia
UNI_00018,University of Newcastle,Australia
UNI_00019,University of Western Australia,Australia
UNI_00020,University of Adelaide,Australia
UNI_00021,James Cook University,Australia
UNI_00022,Queensland University of Technology,Australia
UNI_00023,University of New South Wales,Australia
UNI_00024,University of South Australia,Australia
UNI_00025,University of Sydney,Australia
UNI_00026,University of Melbourne,Australia
UNI_00027,Macquarie University,Australia
UNI_00028,Murdoch University,Australia
UNI_00029,University of Southern Queensland,Australia
UNI_00030,Western Sydney University,Australia
UNI_00031,Charles Darwin University,Australia
UNI_00032,Southern Cross University,Australia
UNI_00033,University of Western Sydney,Australia
UNI_00034,University of Canberra,Australia
UNI_00035,RMIT University,Australia
UNI_00036,Central Queensland University,Australia
UNI_00037,Edith Cowan University,Australia
UNI_00038,University of Vienna,Austria
UNI_00039,Medical University of Vienna,Austria
UNI_00040,Vienna University of Technology,Austria
UNI_00041,Johannes Kepler University of Linz,Austria
UNI_00042,University of Graz,Austria
UNI_00043,Graz University of Technology,Austria
UNI_00044,"University of Natural Resources and Life Sciences, Vienna",Austria
UNI_00045,University of Innsbruck,Austria
UNI_00046,Innsbruck Medical University,Austria
UNI_00047,University of Veterinary Medicine Vienna,Austria
UNI_00048,Medical University of Graz,Austria
UNI_00049,University of Salzburg,Austria
UNI_00050,University of Dhaka,Bangladesh
UNI_00051,Belarusian State University,Belarus
UNI_00052,University of Liège,Belgium
UNI_00053,Université libre de Bruxelles,Belgium
UNI_00054,University of Antwerp,Belgium
UNI_00055,Vrije Universiteit Brussel,Belgium
UNI_00056,KU Leuven,Belgium
UNI_00057,Ghent University,Belgium
UNI_00058,Université Catholique de Louvain,Belgium
UNI_00059,Université de Namur,Belgium
UNI_00060,Katholieke Universiteit Leuven,Belgium
UNI_00061,University of Mons,Belgium
UNI_00062,Hasselt University,Belgium
UNI_00063,University of São Paulo,Brazil
UNI_00064,Federal University of Paraná,Brazil
UNI_00065,Federal University of Santa Maria,Brazil
UNI_00066,University of Campinas,Brazil
UNI_00067,State University of Campinas,Brazil
UNI_00068,Federal University of São Carlos,Brazil
UNI_00069,"UNESP, São Paulo State University",Brazil
UNI_00070,Federal University of Rio de Janeiro,Brazil
UNI_00071,Federal University of Santa Catarina,Brazil
UNI_00072,University of Brasília,Brazil
UNI_00073,Rio de Janeiro State University,Brazil
UNI_00074,Federal University of Ceará,Brazil
UNI_00075,Fluminense Federal University,Brazil
UNI_00076,Federal University of Bahia,Brazil
UNI_00077,Federal University of ABC,Brazil
UNI_00078,Federal University of Rio Grande do Sul,Brazil
UNI_00079,Federal University of Pernambuco,Brazil
UNI_00080,Federal University of Paraná (UFPR),Brazil
UNI_00081,Federal University of São Paulo,Brazil
UNI_00082,Federal University of Viçosa,Brazil
UNI_00083,São Paulo State University (UNESP),Brazil
UNI_00084,Federal University of Lavras,Brazil
UNI_00085,Rio de Janeiro State University (UERJ),Brazil
UNI_00086,Federal University of Minas Gerais,Brazil
UNI_00087,Pontifical Catholic University of Paraná,Brazil
UNI_00088,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil
UNI_00089,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil
UNI_00090,Sofia University,Bulgaria
UNI_00091,University of Toronto,Canada
UNI_00092,University of Saskatchewan,Canada
UNI_00093,Memorial University of Newfoundland,Canada
UNI_00094,University of Alberta,Canada
UNI_00095,Université de Sherbrooke,Canada
UNI_00096,Simon Fraser University,Canada
UNI_00097,Laval University,Canada
UNI_00098,University of Calgary,Canada
UNI_00099,Queen’s University,Canada
UNI_00100,University of British Columbia,Canada
UNI_00101,University of Guelph,Canada
UNI_00102,York University,Canada
UNI_00103,University of Manitoba,Canada
UNI_00104,McGill University,Canada
UNI_00105,Trent University,Canada
UNI_00106,University of Regina,Canada
UNI_00107,University of Québec at Montreal,Canada
UNI_00108,McMaster University,Canada
UNI_00109,Western University (The University of Western Ontario),Canada
UNI_00110,Dalhousie University,Canada
UNI_00111,University of Ottawa,Canada
UNI_00112,University of Sherbrooke,Canada
UNI_00113,Université du Québec à Montréal,Canada
UNI_00114,Concordia University,Canada
UNI_00115,University of Montreal,Canada
UNI_00116,University of Victoria,Canada
UNI_00117,University of Windsor,Canada
UNI_00118,University of Western Ontario,Canada
UNI_00119,University of Waterloo,Canada
UNI_00120,Carleton University,Canada
UNI_00121,University of New Brunswick,Canada
UNI_00122,Ryerson University,Canada
UNI_00123,Brock University,Canada
UNI_00124,Wilfrid Laurier University,Canada
UNI_00125,École Polytechnique de Montréal,Canada
UNI_00126,University of Lethbridge,Canada
UNI_00127,"University of Santiago, Chile (USACH)",Chile
UNI_00128,Federico Santa María Technical University,Chile
UNI_00129,University of Chile,Chile
UNI_00130,Pontifical Catholic University of Chile,Chile
UNI_00131,Austral University of Chile,Chile
UNI_00132,Pontifical Catholic University of Valparaíso,Chile
UNI_00133,University of Concepción,Chile
UNI_00134,Fudan University,China
UNI_00135,Fourth Military Medical University,China
UNI_00136,Sun Yat-sen University,China
UNI_00137,University of Electronic Science and Technology of China,China
UNI_00138,Fuzhou University,China
UNI_00139,Donghua University,China
UNI_00140,Tianjin University,China
UNI_00141,University of Science and Technology Beijing,China
UNI_00142,Beijing Jiaotong University,China
UNI_00143,Shanghai University,China
UNI_00144,Huazhong University of Science and Technology,China
UNI_00145,Jiangnan University,China
UNI_00146,Xi’an Jiaotong University,China
UNI_00147,Xiamen University,China
UNI_00148,Shanghai Normal University,China
UNI_00149,Hunan Normal University,China
UNI_00150,Jinan University,China
UNI_00151,Tongji University,China
UNI_00152,South China Agricultural University,China
UNI_00153,China Pharmaceutical University,China
UNI_00154,Nanjing University,China
UNI_00155,Second Military Medical University,China
UNI_00156,Xidian University,China
UNI_00157,Tsinghua University,China
UNI_00158,China University of Geosciences (Wuhan),China
UNI_00159,East China Normal University,China
UNI_00160,Zhejiang University of Technology,China
UNI_00161,China Medical University (PRC),China
UNI_00162,Peking University,China
UNI_00163,South China University of Technology,China
UNI_00164,Northwest University (China),China
UNI_00165,Renmin University of China,China
UNI_00166,Nanjing University of Technology,China
UNI_00167,South China Normal University,China
UNI_00168,China University of Petroleum (Beijing),China
UNI_00169,Capital Medical University,China
UNI_00170,Ocean University of China,China
UNI_00171,Shanghai Jiao Tong University,China
UNI_00172,Northeast Normal University,China
UNI_00173,Nanjing University of Aeronautics and Astronautics,China
UNI_00174,Southwest University,China
UNI_00175,Northeastern University (China),China
UNI_00176,Zhengzhou University,China
UNI_00177,University of Science and Technology of China,China
UNI_00178,Beijing Institute of Technology,China
UNI_00179,Beijing University of Technology,China
UNI_00180,China Agricultural University,China
UNI_00181,Wuhan University of Technology,China
UNI_00182,Beijing University of Chemical Technology,China
UNI_00183,Soochow University (Suzhou),China
UNI_00184,Chongqing University,China
UNI_00185,Nanjing Medical University,China
UNI_00186,Wuhan University,China
UNI_00187,Shantou University,China
UNI_00188,Yangzhou University,China
UNI_00189,Zhejiang University,China
UNI_00190,Northwestern Polytechnical University,China
UNI_00191,Xiangtan University,China
UNI_00192,Peking Union Medical College,China
UNI_00193,Southern Medical University,China
UNI_00194,Huazhong Agricultural University,China
UNI_00195,Harbin Institute of Technology,China
UNI_00196,Beihang University,China
UNI_00197,East China University of Science and Technology,China
UNI_00198,Dalian University of Technology,China
UNI_00199,Jiangsu University,China
UNI_00200,Soochow University,China
UNI_00201,Nanjing Agricultural University,China
UNI_00202,Third Military Medical University,China
UNI_00203,Sichuan University,China
UNI_00204,Nanjing University of Science and Technology,China
UNI_00205,Central China Normal University,China
UNI_00206,Southwest Jiaotong University,China
UNI_00207,Nanjing Normal University,China
UNI_00208,Southeast University,China
UNI_00209,Central South University,China
UNI_00210,Jilin University,China
UNI_00211,Henan Normal University,China
UNI_00212,Guangxi University,China
UNI_00213,Beijing Normal University,China
UNI_00214,Nankai University,China
UNI_00215,Hunan University,China
UNI_00216,Shandong University,China
UNI_00217,Lanzhou University,China
UNI_00218,Harbin Engineering University,China
UNI_00219,Northwest A&F University,China
UNI_00220,Shanxi University,China
UNI_00221,Harbin Medical University,China
UNI_00222,Zhejiang Normal University,China
UNI_00223,Shaanxi Normal University,China
UNI_00224,National University of Defense Technology,China
UNI_00225,Yanbian University,China
UNI_00226,Hefei University of Technology,China
UNI_00227,Tianjin Medical University,China
UNI_00228,Shenzhen University,China
UNI_00229,"University of the Andes, Colombia",Colombia
UNI_00230,University of Los Andes (Colombia),Colombia
UNI_00231,University of Antioquia,Colombia
UNI_00232,National University of Colombia,Colombia
UNI_00233,University of Zagreb,Croatia
UNI_00234,University of Cyprus,Cyprus
UNI_00235,"University of Chemistry and Technology, Prague",Czech Republic
UNI_00236,Brno University of Technology,Czech Republic
UNI_00237,Czech Technical University in Prague,Czech Republic
UNI_00238,Charles University in Prague,Czech Republic
UNI_00239,Masaryk University,Czech Republic
UNI_00240,VŠB - Technical University of Ostrava,Czech Republic
UNI_00241,University of Pardubice,Czech Republic
UNI_00242,University of West Bohemia,Czech Republic
UNI_00243,"Palacký University, Olomouc",Czech Republic
UNI_00244,Palacký University in Olomouc,Czech Republic
UNI_00245,University of Southern Denmark,Denmark
UNI_00246,University of Copenhagen,Denmark
UNI_00247,Aalborg University,Denmark
UNI_00248,Aarhus University,Denmark
UNI_00249,Technical University of Denmark,Denmark
UNI_00250,Copenhagen Business School,Denmark
UNI_00251,Mansoura University,Egypt
UNI_00252,Ain Shams University,Egypt
UNI_00253,Alexandria University,Egypt
UNI_00254,Cairo University,Egypt
UNI_00255,Suez Canal University,Egypt
UNI_00256,University of Tartu,Estonia
UNI_00257,Tallinn University of Technology,Estonia
UNI_00258,Aalto University,Finland
UNI_00259,University of Oulu,Finland
UNI_00260,University of Tampere,Finland
UNI_00261,University of Jyväskylä,Finland
UNI_00262,University of Turku,Finland
UNI_00263,University of Helsinki,Finland
UNI_00264,Tampere University of Technology,Finland
UNI_00265,Lappeenranta University of Technology,Finland
UNI_00266,Åbo Akademi University,Finland
UNI_00267,University of Eastern Finland,Finland
UNI_00268,Paris Diderot University - Paris 7,France
UNI_00269,University of Burgundy,France
UNI_00270,Montpellier University,France
UNI_00271,Blaise Pascal University,France
UNI_00272,École centrale de Lyon,France
UNI_00273,Joseph Fourier University,France
UNI_00274,École Polytechnique,France
UNI_00275,Sorbonne University,France
UNI_00276,Mines ParisTech,France
UNI_00277,École Normale Supérieure de Lyon,France
UNI_00278,University of Valenciennes and Hainaut-Cambresis,France
UNI_00279,University of Picardie Jules Verne,France
UNI_00280,Paris Dauphine University,France
UNI_00281,École Normale Supérieure,France
UNI_00282,Jean Monnet University,France
UNI_00283,Versailles Saint-Quentin-en-Yvelines University,France
UNI_00284,Paris-Est Créteil Val-de-Marne University,France
UNI_00285,Claude Bernard University Lyon 1,France
UNI_00286,University of Orléans,France
UNI_00287,University of Pau and Pays de l'Adour,France
UNI_00288,University of Paris-Sud,France
UNI_00289,University of Poitiers,France
UNI_00290,Institut Polytechnique de Paris,France
UNI_00291,University of Lorraine,France
UNI_00292,Pierre and Marie Curie University,France
UNI_00293,Université Paris-Saclay,France
UNI_00294,University of Maine (Le Mans),France
UNI_00295,École Centrale Paris,France
UNI_00296,University of Strasbourg,France
UNI_00297,University of Caen Lower Normandy,France
UNI_00298,University of Montpellier,France
UNI_00299,Paris Descartes University,France
UNI_00300,University of Rennes 1,France
UNI_00301,Paul Sabatier University - Toulouse III,France
UNI_00302,University of Rouen,France
UNI_00303,University of Perpignan Via Domitia,France
UNI_00304,University of Franche-Comté,France
UNI_00305,University of Bordeaux II,France
UNI_00306,Paris-Sud University,France
UNI_00307,University of Paris North – Paris 13,France
UNI_00308,Aix-Marseille University,France
UNI_00309,University of Bordeaux I,France
UNI_00310,University of Reims Champagne-Ardenne,France
UNI_00311,Grenoble Institute of Technology,France
UNI_00312,University of Cergy-Pontoise,France
UNI_00313,University of Angers,France
UNI_00314,University of Bordeaux,France
UNI_00315,Institut national des sciences Appliquées de Lyon,France
UNI_00316,University of Savoy,France
UNI_00317,Paris Sciences et Lettres – PSL Research University Paris,France
UNI_00318,University Lille 1: Sciences and Technologies,France
UNI_00319,National Polytechnic Institute of Toulouse,France
UNI_00320,École normale supérieure - Paris,France
UNI_00321,University of Nantes,France
UNI_00322,University of Montpellier 2,France
UNI_00323,University of Montpellier 1,France
UNI_00324,University of Nice Sophia Antipolis,France
UNI_00325,University of Évry Val d'Essonne,France
UNI_00326,Lille 1 University – Science and Technology,France
UNI_00327,Paris-Sorbonne University – Paris 4,France
UNI_00328,University of Paris 13,France
UNI_00329,"Paul Valéry University, Montpellier III",France
UNI_00330,"University François Rabelais, Tours",France
UNI_00331,Lille 2 University – Health and Law,France
UNI_00332,University of Western Brittany,France
UNI_00333,Toulouse 1 Capitole University,France
UNI_00334,Panthéon-Sorbonne University – Paris 1,France
UNI_00335,National Institute of Applied Sciences of Lyon (INSA Lyon),France
UNI_00336,École normale supérieure de Cachan,France
UNI_00337,Lille 2 University of Health and Law,France
UNI_00338,University of Duisburg-Essen,Germany
UNI_00339,Otto-von-Guericke University Magdeburg,Germany
UNI_00340,University of Oldenburg,Germany
UNI_00341,Jacobs University Bremen,Germany
UNI_00342,Leipzig University,Germany
UNI_00343,Technical University of Berlin,Germany
UNI_00344,University of Bremen,Germany
UNI_00345,University of Stuttgart,Germany
UNI_00346,University of Münster,Germany
UNI_00347,University of Kiel,Germany
UNI_00348,TU Dresden,Germany
UNI_00349,University of Greifswald,Germany
UNI_00350,University of Hamburg,Germany
UNI_00351,Bielefeld University,Germany
UNI_00352,Free University of Berlin,Germany
UNI_00353,University of Cologne,Germany
UNI_00354,Technical University of Dortmund,Germany
UNI_00355,Johannes Gutenberg University of Mainz,Germany
UNI_00356,Goethe University Frankfurt,Germany
UNI_00357,University of Düsseldorf,Germany
UNI_00358,Saarland University,Germany
UNI_00359,University of Erlangen-Nuremberg,Germany
UNI_00360,University of Bayreuth,Germany
UNI_00361,University of Ulm,Germany
UNI_00362,Ruhr University Bochum,Germany
UNI_00363,Humboldt University of Berlin,Germany
UNI_00364,RWTH Aachen University,Germany
UNI_00365,University of Bonn,Germany
UNI_00366,University of Würzburg,Germany
UNI_00367,Braunschweig University of Technology,Germany
UNI_00368,Darmstadt University of Technology,Germany
UNI_00369,Justus Liebig University Giessen,Germany
UNI_00370,University of Kaiserslautern,Germany
UNI_00371,Karlsruhe Institute of Technology,Germany
UNI_00372,University of Konstanz,Germany
UNI_00373,LMU Munich,Germany
UNI_00374,University of Regensburg,Germany
UNI_00375,Technical University of Munich,Germany
UNI_00376,Heidelberg University,Germany
UNI_00377,University of Jena,Germany
UNI_00378,Ulm University,Germany
UNI_00379,University of Marburg,Germany
UNI_00380,Technical University of Darmstadt,Germany
UNI_00381,Dresden University of Technology,Germany
UNI_00382,University of Freiburg,Germany
UNI_00383,Julius-Maximilian's University of Würzburg,Germany
UNI_00384,University of Hohenheim,Germany
UNI_00385,University of Lübeck,Germany
UNI_00386,University of Göttingen,Germany
UNI_00387,University of Tübingen,Germany
UNI_00388,Charité - Universitätsmedizin Berlin,Germany
UNI_00389,University of Rostock,Germany
UNI_00390,University of Augsburg,Germany
UNI_00391,Albert Ludwig University of Freiburg,Germany
UNI_00392,University of Mannheim,Germany
UNI_00393,Ruprecht Karl University of Heidelberg,Germany
UNI_00394,Ludwig Maximilian University of Munich,Germany
UNI_00395,Bayreuth University,Germany
UNI_00396,Hannover Medical School,Germany
